business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SAGAR SANITATION,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Jaguar dealer, Tile store",422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 63031 58698,N/A,4.8,79.0,"pillar number 968, Shop No. 8-3-166/8/2 main road, Erragadda Main Rd, Hyderabad, Telangana 500114","Vikaspuri, Erragadda",17.4539675,78.4346942,ChIJzfzQWeGQyzsR0kYvjvspa7U,https://www.google.com/maps/place/?q=place_id:ChIJzfzQWeGQyzsR0kYvjvspa7U,part_137,2026-09-22 06:04:08
Sarda Sanitary Stores,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 73306 94646,N/A,4.4,56.0,"Tulasi Apartments, 200/G2, Srinagar Colony Main Rd, Sri Nagar Colony, Kamalapuri Colony, Jubilee Hills, Hyderabad, Telangana 500073","Sri Nagar Colony, Kamalapuri Colony, Jubilee Hills",17.429862,78.4305919,ChIJddDn7CqRyzsRxX4K12zI_b4,https://www.google.com/maps/place/?q=place_id:ChIJddDn7CqRyzsRxX4K12zI_b4,part_137,2026-09-22 06:04:08
Sri Laxmi Sanitary Stores,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",N/A,https://dealer.grohe.co.in/grohe/stores-in-hyderabad/stores-in-nagole/grohe-srilaxmi-sanitary-stores-in-nagole-hyderabad--2545a0e7-1393-4b6a-883e-e09f64070654/home,4.3,324.0,"11, Road No. 15, nearby Sri Venkateswara Swamy Temple, Alkapuri Colony, Ramakrishnapuram, L. B. Nagar, Hyderabad, Telangana 500068","Alkapuri Colony, Ramakrishnapuram, L. B. Nagar",17.3702507,78.5576154,ChIJbeI14s6YyzsR2Js3LuJLOik,https://www.google.com/maps/place/?q=place_id:ChIJbeI14s6YyzsR2Js3LuJLOik,part_137,2026-09-22 06:04:08
Om Prakash Bath World,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 93910 44162,N/A,4.2,232.0,"Shop.No., 7-1-215/9, Balkampet Rd, Sanjeeva Reddy Nagar, Hyderabad, Telangana 500016",Sanjeeva Reddy Nagar,17.4435573,78.4488989,ChIJH1fUMcGQyzsRrHFh8I7Y4C4,https://www.google.com/maps/place/?q=place_id:ChIJH1fUMcGQyzsRrHFh8I7Y4C4,part_137,2026-09-22 06:04:08
Sri Laxmi Bath World,Sanitaryware and Bathroom Fittings,Home goods store,Home goods store,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 81216 51339,N/A,4.7,71.0,"Flat No.: 2, 65/2, Narsingi - Puppalaguda Main Rd, Hydernagar, Narsingi, Hyderabad, Telangana 500075","Hydernagar, Narsingi",17.3859952,78.3547849,ChIJz-Um1UmVyzsRN5hZS6DZC6A,https://www.google.com/maps/place/?q=place_id:ChIJz-Um1UmVyzsRN5hZS6DZC6A,part_137,2026-09-22 06:04:08
JK Bath World.Tiles & Sanitaryware,Sanitaryware and Bathroom Fittings,Bathroom remodeler,"Bathroom remodeler, Bathroom supply store, Tile store",422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",N/A,N/A,4.4,14.0,"Moti Nagar Cross, Road, Mothi Nagar, Rama Rao Nagar, Borabanda, Hyderabad, Telangana 500114","Mothi Nagar, Rama Rao Nagar, Borabanda",17.454372499999998,78.4221543,ChIJw3HQ4LaRyzsRXQweyT_Jv0A,https://www.google.com/maps/place/?q=place_id:ChIJw3HQ4LaRyzsRXQweyT_Jv0A,part_137,2026-09-22 06:04:08
KEROVIT SALES,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 70046 34874,N/A,4.9,85.0,"281, Simran Tower, Zone-II, Maharana Pratap Nagar, Bhopal, Madhya Pradesh 462011","Zone-II, Maharana Pratap Nagar",23.2289541,77.4362349,ChIJlRhOCdZDfDkRC8KheTBhgtE,https://www.google.com/maps/place/?q=place_id:ChIJlRhOCdZDfDkRC8KheTBhgtE,part_137,2026-09-22 06:04:08
S S Ceramic Park,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Tile store, Countertop store",422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 98490 07172,N/A,4.5,106.0,"143A/1, Hi-Tension Rd, Eshwaripuri Colony, Sainikpuri, Hyderabad, Secunderabad, Telangana 500094","Eshwaripuri Colony, Sainikpuri",17.4886122,78.55156029999999,ChIJsWLCtXGbyzsRLdMkT5JIikA,https://www.google.com/maps/place/?q=place_id:ChIJsWLCtXGbyzsRLdMkT5JIikA,part_137,2026-09-22 06:04:08
Bhavanam Enterprises,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 85905 95911,http://www.bhavanamsanitary.com/,4.0,242.0,"Aryasala Rd, near Dewasom Temple, Chalai Bazaar, Chalai, Thiruvananthapuram, Keralam 695036","Chalai Bazaar, Chalai",8.483077699999999,76.9542184,ChIJwdgaJKi7BTsRfwvuWnAh0fI,https://www.google.com/maps/place/?q=place_id:ChIJwdgaJKi7BTsRfwvuWnAh0fI,part_137,2026-09-22 06:04:08
Aadi Udyog,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Building materials supplier",422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 91211 59999,http://www.aadiudyog.in/,4.8,62.0,"Reliance Complex, 4-1-569/G/22, Troop Bazaar, Koti, Hyderabad, Telangana 500001","Troop Bazaar, Koti",17.3852592,78.4773597,ChIJ_7WpRyWbyzsRGn9jMH_24c4,https://www.google.com/maps/place/?q=place_id:ChIJ_7WpRyWbyzsRGn9jMH_24c4,part_137,2026-09-22 06:04:08
