business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shiv Sai Auto Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 90115 62041,N/A,5.0,,"Shop No 2, Tram Trambakeshwar, near Jawahar Fata, Jawahar Phata, Trimbak, Maharashtra 422212",422204,19.9405075,73.5338421,ChIJDSq-SyL13TsRq9SkPX1JTFo,https://www.google.com/maps/place/?q=place_id:ChIJDSq-SyL13TsRq9SkPX1JTFo,part_137,2026-09-22 06:07:40
Bharat Automobile And Garage,Car Repair Workshop and Garage,Auto parts store,Auto parts store,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 89750 34503,N/A,,,"1 Javhar Fhata, Trimbak, Maharashtra 422212",422204,19.938163199999998,73.5368368,ChIJW8xgrAv13TsRiS517SmjnTk,https://www.google.com/maps/place/?q=place_id:ChIJW8xgrAv13TsRiS517SmjnTk,part_137,2026-09-22 06:07:40
MARUTI CARE GARAGE,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Electronics store",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 92738 94757,N/A,3.5,,"Rajivnagar, Mokhada, Maharashtra 401604",Rajivnagar,19.9166125,73.3516719,ChIJUyydSvRd5zsRmW9xzBePgG8,https://www.google.com/maps/place/?q=place_id:ChIJUyydSvRd5zsRmW9xzBePgG8,part_137,2026-09-22 06:07:40
Trimbakeshwar auto electrical गॅरेज ऑल कार बॅटरी स्टार्टर अलटरनेटर वायरिंग रीपेर,Car Repair Workshop and Garage,Car battery store,Car battery store,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 98812 66416,N/A,4.6,,"NH 848, Trimbak, Maharashtra 422212",422204,19.9407888,73.53365889999999,ChIJh36urTP13TsRx-N2rhQQ1CQ,https://www.google.com/maps/place/?q=place_id:ChIJh36urTP13TsRx-N2rhQQ1CQ,part_137,2026-09-22 06:07:40
Sai Auto Garage,Car Repair Workshop and Garage,Auto parts store,Auto parts store,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 70307 18220,N/A,,,"Sai Automobile, Harsul, Torangan, Maharashtra 422204",422204,19.9966242,73.43570009999999,ChIJyzFDSoJf5zsRzaIH6xPedMo,https://www.google.com/maps/place/?q=place_id:ChIJyzFDSoJf5zsRzaIH6xPedMo,part_137,2026-09-22 06:07:40
Rohit auto motercycle Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 70307 95347,N/A,,,"Harsul Rd, Thanapada, Harsul, Maharashtra 422204",422204,20.1173733,73.44578299999999,ChIJ34vx9vhX5zsR6XIKPXBcmNs,https://www.google.com/maps/place/?q=place_id:ChIJ34vx9vhX5zsR6XIKPXBcmNs,part_137,2026-09-22 06:07:40
Muajjam Pathan STAR Automobile Garage,Car Repair Workshop and Garage,Engine Rebuilding Service Station,Engine Rebuilding Service Station,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 81268 12118,N/A,,,"Shop No 1 Near Pegalwadi Fata Trambakeshwar, Maharashtra 422213",422204,19.944772699999998,73.5503135,ChIJB2iPWwv13TsR2Zd7PaBXnOY,https://www.google.com/maps/place/?q=place_id:ChIJB2iPWwv13TsR2Zd7PaBXnOY,part_137,2026-09-22 06:07:40
श्री समर्थ कृपा मोटार गॅरेज,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",N/A,N/A,5.0,,"W9G5+7CC, Mokhada, रोड, Maharashtra 401604",422204,19.9256897,73.3585161,ChIJEeIuWQBd5zsRBD0ZrNjxSRM,https://www.google.com/maps/place/?q=place_id:ChIJEeIuWQBd5zsRBD0ZrNjxSRM,part_137,2026-09-22 06:07:40
Sarvadnya Auto,Car Repair Workshop and Garage,Auto parts store,Auto parts store,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 92705 55892,N/A,4.4,,"Rajivnagar, Mokhada, Maharashtra 401604",Rajivnagar,19.917401299999998,73.35167539999999,ChIJAft7R_Rd5zsR1V0tp64N5Bs,https://www.google.com/maps/place/?q=place_id:ChIJAft7R_Rd5zsR1V0tp64N5Bs,part_137,2026-09-22 06:07:40
New Shree Bajrang Motors,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto restoration service",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 77278 31462,N/A,5.0,71.0,"Prajapati marbals ke pass, Guda Rd, chourha, Meera Nagar, Jhalamand, Jodhpur, Rajasthan 342016","chourha, Meera Nagar",26.2234281,73.04658309999999,ChIJw9OjTACLQTkRfpspppFXDlo,https://www.google.com/maps/place/?q=place_id:ChIJw9OjTACLQTkRfpspppFXDlo,part_137,2026-09-22 06:07:41
