business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
India Post Office,Courier and Cargo Service,Post office,Post office,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",N/A,N/A,3.0,2.0,"Vadpada At Thanapda, Rood, Kharshet, Maharashtra 422204",Rood,20.1278544,73.3976978,ChIJTUYRgGpX5zsRaENkOagkchU,https://www.google.com/maps/place/?q=place_id:ChIJTUYRgGpX5zsRaENkOagkchU,part_137,2026-09-22 06:07:56
Vakrangee Kendra,Courier and Cargo Service,Courier service,"Courier service, ATM, Bank, Insurance agency",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 22 6776 5178,N/A,,,"At Post- Vadoli Tal- Kaprada Dist- Valsad, Aslona, Gujarat 396067",Aslona,20.223623699999997,73.3354993,ChIJ_____69T5zsRI7q8j0_ZX30,https://www.google.com/maps/place/?q=place_id:ChIJ_____69T5zsRI7q8j0_ZX30,part_137,2026-09-22 06:07:56
Trackon Couriers Pvt. Ltd.,Courier and Cargo Service,Courier service,Courier service,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 90117 00901,N/A,3.3,49.0,"Shitole Building, Indrayani Chowk, Bhosari, Pune, Maharashtra 411026","MIDC, Bhosari",18.6331396,73.8378871,ChIJBxp0aXe4wjsR-Zqmf4_d1wY,https://www.google.com/maps/place/?q=place_id:ChIJBxp0aXe4wjsR-Zqmf4_d1wY,part_137,2026-09-22 06:07:56
Pimpalwati post office,Courier and Cargo Service,Post office,Post office,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",N/A,N/A,5.0,3.0,"5FPJ+2MC, Unnamed Road, Pimpalwati, Maharashtra 422208",422204,20.1849675,73.4816443,ChIJSQVYfwD53TsR-p4Ai_6fdLc,https://www.google.com/maps/place/?q=place_id:ChIJSQVYfwD53TsR-p4Ai_6fdLc,part_137,2026-09-22 06:07:56
Shirasgaon harsul,Courier and Cargo Service,Post office,Post office,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",N/A,N/A,4.5,2.0,"39RW+6CV, Shirasgaon, Maharashtra 422204",422204,20.090622099999997,73.3960347,ChIJwfwQVABZ5zsR1p74_JNejkU,https://www.google.com/maps/place/?q=place_id:ChIJwfwQVABZ5zsR1p74_JNejkU,part_137,2026-09-22 06:07:56
Vakrangee Kendra,Courier and Cargo Service,Courier service,"Courier service, ATM, Bank, Insurance agency",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 22 6776 5178,https://www.vakrangee.in/,,,"At Post- Ganuveri, Tal- Kaprada, At, Teri Chikhli, Gujarat 396067","Tal- Kaprada, At",20.1850132,73.2352525,ChIJq6qqqtZN5zsRqBxOeVusI80,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqtZN5zsRqBxOeVusI80,part_137,2026-09-22 06:07:56
India Post Office Kharshet,Courier and Cargo Service,Post office,Post office,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",N/A,N/A,,,"598X+G6, Sawarpada, Maharashtra 422204",422204,20.165439,73.39874499999999,ChIJgVifgpVX5zsR16ktikxT_1Y,https://www.google.com/maps/place/?q=place_id:ChIJgVifgpVX5zsR16ktikxT_1Y,part_137,2026-09-22 06:07:56
DHL Express (India) Pvt. Ltd,Courier and Cargo Service,Courier service,Courier service,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 90280 01162,https://www.dhl.com/,5.0,2.0,"Plot No.1, Gut No.70, Mahalaxmi Bhavan, Beed By Pass, opposite MIT College, Mayurban Colony, Gadia Vihar, Chhatrapati Sambhajinagar, Maharashtra 431009","Mayurban Colony, Gadia Vihar",19.8540341,75.3353875,ChIJt_xgMhGZ2zsR-5zyloACse8,https://www.google.com/maps/place/?q=place_id:ChIJt_xgMhGZ2zsR-5zyloACse8,part_137,2026-09-22 06:07:56
Shiva Courier & Cargo,Courier and Cargo Service,Courier and Cargo Service,Courier and Cargo Service,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",N/A,N/A,,,"V8GH+HHC, Ganesh Marg, Nutan Colony, Nirala Bazar, Chhatrapati Sambhajinagar, Maharashtra 431001","Nutan Colony, Nirala Bazar",19.87643,75.3288907,ChIJ_T8RBm6Y2zsRtW-fYHYCjrA,https://www.google.com/maps/place/?q=place_id:ChIJ_T8RBm6Y2zsRtW-fYHYCjrA,part_137,2026-09-22 06:07:56
Post Office Vavar,Courier and Cargo Service,Post office,Post office,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",N/A,https://www.facebook.com/PostOffice.IN?mibextid=2JQ9oc,5.0,2.0,"37P2+6V, Behadgaon, Maharashtra 401603",422204,20.085224699999998,73.2519858,ChIJiaPzMNFF5zsRj3NEV0kZ3oA,https://www.google.com/maps/place/?q=place_id:ChIJiaPzMNFF5zsRj3NEV0kZ3oA,part_137,2026-09-22 06:07:56
Trimbakraj Sweet,Courier and Cargo Service,Vegetarian restaurant,"Vegetarian restaurant, Post office",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 83799 74127,N/A,3.8,4.0,"Shop Mo, Girnra, 2, Harsul, Maharashtra 422204",422204,20.115725899999997,73.4511684,ChIJZ8uWCvpX5zsRGoa4G-ZiMJA,https://www.google.com/maps/place/?q=place_id:ChIJZ8uWCvpX5zsRGoa4G-ZiMJA,part_137,2026-09-22 06:07:56
Chepa Branch Post Office,Courier and Cargo Service,Post office,Post office,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",N/A,http://www.indiapost.gov.in/,3.0,4.0,"67M9+HHC, Unnamed Road, Singartati, Gujarat 396067",422204,20.233932,73.2688931,ChIJSXxzmeNN5zsRoEIln1Y83UU,https://www.google.com/maps/place/?q=place_id:ChIJSXxzmeNN5zsRoEIln1Y83UU,part_137,2026-09-22 06:07:56
Radhe Courier,Courier and Cargo Service,Courier service,"Courier service, Delivery service, Logistics service, Shipping service, Transportation service",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 93275 55522,http://radhecourier.com/,4.2,,"First Floor Shop No. 8, Dhananjay Tower, 100 Feet Anand Nagar Rd, Satellite, Ahmedabad, Gujarat 380015",Satellite,23.0131606,72.52574779999999,ChIJA_1e2tWEXjkR0X9z7YzxQ2E,https://www.google.com/maps/place/?q=place_id:ChIJA_1e2tWEXjkR0X9z7YzxQ2E,part_137,2026-09-22 06:07:57
Shree Rang Logistics Pvt Ltd,Courier and Cargo Service,Freight Forwarding Agency,Freight Forwarding Agency,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 79 2560 5040,http://srlogs.com/,4.5,,"Shop No. G 5, Municipal Shopping Centre, Opp. Kiran Nagar Society, Outside Shahpur Gate, Old City, Halim Ni Khadki, Shahpur, Ahmedabad, Gujarat 380004","Old City, Halim Ni Khadki, Shahpur",23.039303999999998,72.579844,ChIJH5B7tEKEXjkRplKd-TDdBKw,https://www.google.com/maps/place/?q=place_id:ChIJH5B7tEKEXjkRplKd-TDdBKw,part_137,2026-09-22 06:07:57
J D INTERNATIONAL COURIER,Courier and Cargo Service,Courier service,Courier service,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 95862 26000,http://www.jdic.in/,4.2,,"G1-2, ARUN COMPLEX, OPP SHEETAL LAW HOUSE NR C U SHAH COLLEGE, NR INCOME TEX CROSS ROAD, Ashram Rd, Ahmedabad, Gujarat 380009","Sattar Taluka Society, Usmanpura",23.0421651,72.5677771,ChIJdULPNrKFXjkRWuE5m_ocGrM,https://www.google.com/maps/place/?q=place_id:ChIJdULPNrKFXjkRWuE5m_ocGrM,part_137,2026-09-22 06:07:57
Bexpress Courier & Cargo,Courier and Cargo Service,Courier service,Courier service,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 78927 08181,http://bexpresscourier.com/,4.7,,"G-1,1-8-697, opposite Old Airport Road, Prakash Nagar, Begumpet, Hyderabad, Telangana 500011","Prakash Nagar, Begumpet",17.460117699999998,78.4566103,ChIJn2Bka5KQyzsR_PZMorOUysg,https://www.google.com/maps/place/?q=place_id:ChIJn2Bka5KQyzsR_PZMorOUysg,part_137,2026-09-22 06:07:57
Star Door To Door-(M),Courier and Cargo Service,Courier service,"Courier service, Delivery service, Freight Forwarding Agency, Logistics service, Shipping and mailing service, Shipping service, Transportation service",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 93270 77790,https://stardtd.com/,4.3,,"G-73, Shree Krishna Centre, Mithakhali Cir, above Cross Word nr, Mithakhali, Navrangpura, Ahmedabad, Gujarat 380009","Mithakhali, Navrangpura",23.0331407,72.5650445,ChIJLxPXe_aEXjkRYmR3xrRveJk,https://www.google.com/maps/place/?q=place_id:ChIJLxPXe_aEXjkRYmR3xrRveJk,part_137,2026-09-22 06:07:57
Mahakal cargo Logistics,Courier and Cargo Service,Transportation service,"Transportation service, Logistics service",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 93302 06091,https://www.mahakalcargo.com/,4.5,,"22A, Kali Krishna Tagore St, Malapara, Santoshpur, Jorabagan, Kolkata, West Bengal 700007","Malapara, Santoshpur, Jorabagan",22.5867844,88.3561208,ChIJq65Qy_V3AjoRDgWu5jBtpA8,https://www.google.com/maps/place/?q=place_id:ChIJq65Qy_V3AjoRDgWu5jBtpA8,part_137,2026-09-22 06:07:57
Xpress Delivery,Courier and Cargo Service,Courier service,Courier service,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 99672 59996,http://xpressdelivery.in/,4.3,,"Shop No. 3, 60/1, 15th Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008","HAL 2nd Stage, Indiranagar",12.9665012,77.64226959999999,ChIJM6kMnNkVrjsRuOIoK5EuZhk,https://www.google.com/maps/place/?q=place_id:ChIJM6kMnNkVrjsRuOIoK5EuZhk,part_137,2026-09-22 06:07:57
