business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hotel Sairaj,South Indian Restaurant,Restaurant,Restaurant,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",N/A,N/A,3.3,,"XJ42+393, Nashik, Anjaneri, Maharashtra 422213",422204,19.955129499999998,73.6009333,ChIJJwMNc1_z3TsR36phCyUc65k,https://www.google.com/maps/place/?q=place_id:ChIJJwMNc1_z3TsR36phCyUc65k,part_137,2026-09-22 06:07:33
Om Gurudev Dinning Hall,South Indian Restaurant,Punjabi restaurant,"Punjabi restaurant, Andhra restaurant, Chinese restaurant, Gujarati restaurant, Maharashtrian Restaurant",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 77579 03317,N/A,3.9,,"P.O Trimbakeshwar, Jawar Rd, Near Trimbakeshwar Bus Stand, Taluka, Trimbakeshwar, Trimbak, Maharashtra 422212",Trimbakeshwar,19.9342795,73.5321077,ChIJlTBCpcv03TsRXu4KJ9-csXs,https://www.google.com/maps/place/?q=place_id:ChIJlTBCpcv03TsRXu4KJ9-csXs,part_137,2026-09-22 06:07:33
Hotel Shiv Vrundavan,South Indian Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 90214 09199,N/A,3.3,,"XH3X+W9J, Nashik, Anjaneri, Maharashtra 422213",422204,19.9548345,73.5983954,ChIJm7mFhSPz3TsReHGIyfks7e0,https://www.google.com/maps/place/?q=place_id:ChIJm7mFhSPz3TsReHGIyfks7e0,part_137,2026-09-22 06:07:33
Hotel Shivraj,South Indian Restaurant,Indian restaurant,"Indian restaurant, Food bank, Food court, Hotel, Restaurant, Maharashtrian Restaurant, Vegetarian restaurant",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 99221 59774,N/A,3.2,,"Gat No.644/645, Tupadevi Stop, KMP Ltd, near Trimbakeshwar, Trimbak, Anjaneri, Maharashtra 422213",422204,19.9489376,73.55967679999999,ChIJTyn4nljz3TsRtZiZxLWvXJY,https://www.google.com/maps/place/?q=place_id:ChIJTyn4nljz3TsRtZiZxLWvXJY,part_137,2026-09-22 06:07:33
Sukh sagar restaurant,South Indian Restaurant,Indian restaurant,"Indian restaurant, Family restaurant",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",N/A,N/A,3.0,,"SHOP NO. 19, VYANKATESH SANKUL, TRIMBAKESHWAR, TAL. TRIMBAKESHWAR, DIST, Trimbak, Maharashtra 422212",422204,19.9343862,73.5325891,ChIJz9w2o8f13TsRFSN9BhNrfRo,https://www.google.com/maps/place/?q=place_id:ChIJz9w2o8f13TsRFSN9BhNrfRo,part_137,2026-09-22 06:07:33
Shobanas Kitchen,South Indian Restaurant,Fast food restaurant,"Fast food restaurant, Caterer, Restaurant, South Indian restaurant",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 93210 45218,N/A,4.7,,"Gala No 6, Thomre Compound, Vijay Garden Rd, Waghbil, Thane West, Thane, Maharashtra 400615","Waghbil, Thane West",19.2589257,72.9724866,ChIJqzWDxU-75zsRUgfHqX35vqE,https://www.google.com/maps/place/?q=place_id:ChIJqzWDxU-75zsRUgfHqX35vqE,part_137,2026-09-22 06:07:33
South Stories,South Indian Restaurant,South Indian restaurant,South Indian restaurant,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 88288 21597,https://thethaneclub.com/south-stories/,4.1,,"1st Floor, South Stories, The Thane Club, Mohan Koppikar, Road, Teen Hath Naka Flyover, opposite Raheja Garden, MIDC Colony, Louis Wadi, Thane West, Thane, Maharashtra 400604","MIDC Colony, Louis Wadi, Thane West",19.1880132,72.9603049,ChIJX8VBZEa55zsRzUPVghxj8Ts,https://www.google.com/maps/place/?q=place_id:ChIJX8VBZEa55zsRzUPVghxj8Ts,part_137,2026-09-22 06:07:33
Bala Dosa Plaza,South Indian Restaurant,South Indian restaurant,South Indian restaurant,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 97020 74292,N/A,4.3,,"6XFF+8G9, Dharam Veer Nagar, Kapurbawdi, Thane West, Thane, Maharashtra 400601","Dharam Veer Nagar, Kapurbawdi, Thane West",19.223297,72.9738662,ChIJ_2oqe1255zsRWVrIXyknjl8,https://www.google.com/maps/place/?q=place_id:ChIJ_2oqe1255zsRWVrIXyknjl8,part_137,2026-09-22 06:07:33
We Idliwale Barroom,South Indian Restaurant,South Indian restaurant,South Indian restaurant,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 93075 36165,http://www.weidliwale.com/,4.0,,"Unit no 102, 1st, Balewadi High Street, Baner, Pune, Maharashtra 411045",Baner,18.5669748,73.775958,ChIJvbZhxdC5wjsRUIJDUKL7ifY,https://www.google.com/maps/place/?q=place_id:ChIJvbZhxdC5wjsRUIJDUKL7ifY,part_137,2026-09-22 06:07:33
Mastan Dhaba Raitale,South Indian Restaurant,Restaurant,Restaurant,422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",N/A,N/A,4.1,,"Jawhar-Nashik Rd, near Raitale, Jawhar, Nyahale Kh, Maharashtra 401603",422204,19.9163753,73.27981539999999,ChIJPaHQ5Nld5zsRz4rYLQNSGdw,https://www.google.com/maps/place/?q=place_id:ChIJPaHQ5Nld5zsRz4rYLQNSGdw,part_137,2026-09-22 06:07:33
Hotel Shiva Prasad,South Indian Restaurant,North Indian restaurant,"North Indian restaurant, Breakfast restaurant, Chinese restaurant, Fast food restaurant, Punjabi restaurant, South Indian restaurant, Vegetarian restaurant",422204,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Harsul S.O, Amlon B.O, Berwal B.O",+91 70459 13357,N/A,4.1,,"5XVF+J3Q, Ram Maruti Road, Ram Maruti Rd, near ICICI Bank, Naupada, Thane West, Thane, Maharashtra 400602","Naupada, Thane West",19.1940609,72.9729275,ChIJu-VAsiO55zsRNSv7lhD4Dy4,https://www.google.com/maps/place/?q=place_id:ChIJu-VAsiO55zsRNSv7lhD4Dy4,part_137,2026-09-22 06:07:33
