business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Aarogya Wellness Center,Wellness Center,Naturopathic practitioner,Naturopathic practitioner,422205,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Khedgaon S.O (Nashik), Bahaduri B.O, Bopegaon B.O",+91 95117 32937,N/A,4.8,19.0,"Bank Of India Colony, Plot No. 26, Nagpur Rd, Nalwadi, Maharashtra 442001",Nalwadi,20.7569065,78.61830379999999,ChIJyeIzbZh_1DsRHK9-jO4uo-k,https://www.google.com/maps/place/?q=place_id:ChIJyeIzbZh_1DsRHK9-jO4uo-k,part_137,2026-09-22 06:08:21
Ayurvedic Center,Wellness Center,Ayurvedic clinic,Ayurvedic clinic,422205,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Khedgaon S.O (Nashik), Bahaduri B.O, Bopegaon B.O",N/A,N/A,,,"6WJM+VHW, Rd, Bopegaon, Jaulake Wani, Maharashtra 422205",Rd,20.2324213,73.93235969999999,ChIJYwXsAADd3TsRiuFZo_ifefs,https://www.google.com/maps/place/?q=place_id:ChIJYwXsAADd3TsRiuFZo_ifefs,part_137,2026-09-22 06:08:21
"Primary Health प्राथमिक आरोग्य केंद्र, खेडगांव",Wellness Center,Government hospital,Government hospital,422205,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Khedgaon S.O (Nashik), Bahaduri B.O, Bopegaon B.O",N/A,http://arogya.maharashtra.gov.in/,3.8,9.0,"6XP5+8RM, Khedgaon, Maharashtra 422205",422205,20.23583,73.9595554,ChIJqQkup8Lb3TsRE5p9y4R7lNU,https://www.google.com/maps/place/?q=place_id:ChIJqQkup8Lb3TsRE5p9y4R7lNU,part_137,2026-09-22 06:08:21
Primary Health Centre Vadner Bhairav,Wellness Center,Government hospital,Government hospital,422205,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Khedgaon S.O (Nashik), Bahaduri B.O, Bopegaon B.O",N/A,N/A,5.0,2.0,"723C+5P, Dhudhkhed, Vadner Bhairao, Maharashtra 423111",Dhudhkhed,20.2537427,74.02288539999999,ChIJFR5MPwDb3TsRreFwjpyeadc,https://www.google.com/maps/place/?q=place_id:ChIJFR5MPwDb3TsRreFwjpyeadc,part_137,2026-09-22 06:08:21
Wellness Forever Pharmacy - Khed Opp. Police Station,Wellness Center,Medical supply store,"Medical supply store, Convenience store, Drug store, Health and beauty shop, Pharmacy",422205,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Khedgaon S.O (Nashik), Bahaduri B.O, Bopegaon B.O",+91 86558 84388,https://www.wellnessforever.com/,4.9,175.0,"Shops No. 5, Ground floor, Siddhi Patharjai Complex, Dapoli - Khed Rd, opp. Khed Police Station, Khed, Maharashtra 415709",422205,17.719713199999997,73.3957855,ChIJN4S5NjrD6TsRHUa16rx71Vs,https://www.google.com/maps/place/?q=place_id:ChIJN4S5NjrD6TsRHUa16rx71Vs,part_137,2026-09-22 06:08:21
Patanjali Store,Wellness Center,Alternative medicine practitioner,Alternative medicine practitioner,422205,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Khedgaon S.O (Nashik), Bahaduri B.O, Bopegaon B.O",N/A,https://www.patanjaliayurved.net/,4.7,3.0,"Khedgaon, Maharashtra 422205",422205,20.231362999999998,73.9539095,ChIJdyDJTenb3TsRhsXI4-4OlmI,https://www.google.com/maps/place/?q=place_id:ChIJdyDJTenb3TsRhsXI4-4OlmI,part_137,2026-09-22 06:08:21
Primary Health Centre,Wellness Center,Government hospital,Government hospital,422205,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Khedgaon S.O (Nashik), Bahaduri B.O, Bopegaon B.O",N/A,N/A,5.0,2.0,"422001, Varkheda- Bopegaon Rd, Maharashtra 422205",422205,20.2458939,73.8904582,ChIJGcdX64De3TsR8muFWc7SfkA,https://www.google.com/maps/place/?q=place_id:ChIJGcdX64De3TsR8muFWc7SfkA,part_137,2026-09-22 06:08:21
Wellness medical,Wellness Center,Medical supply store,Medical supply store,422205,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Khedgaon S.O (Nashik), Bahaduri B.O, Bopegaon B.O",+91 93709 30833,https://wellness-medical.grexa.site/,3.7,10.0,"Karan Aashiyana, Azad Nagar, Somnath Nagar, Wadgaon Sheri, Pune, Maharashtra 411014","Azad Nagar, Somnath Nagar, Wadgaon Sheri",18.5549319,73.9206588,ChIJo-GMXQDBwjsRSFgCEFLzWhc,https://www.google.com/maps/place/?q=place_id:ChIJo-GMXQDBwjsRSFgCEFLzWhc,part_137,2026-09-22 06:08:22
Wellness Medical & General Store,Wellness Center,Medical Center,Medical Center,422205,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Khedgaon S.O (Nashik), Bahaduri B.O, Bopegaon B.O",+91 97889 96996,N/A,5.0,3.0,"R989+MV9, Baburao Nagar, Shirur, Maharashtra 412210",Baburao Nagar,18.8167972,74.3696286,ChIJd5V2cgAtwzsRqyJ0JXu4HgA,https://www.google.com/maps/place/?q=place_id:ChIJd5V2cgAtwzsRqyJ0JXu4HgA,part_137,2026-09-22 06:08:22
"Wellness Chemist , Tathawade",Wellness Center,Medical supply store,"Medical supply store, Supermarket",422205,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Khedgaon S.O (Nashik), Bahaduri B.O, Bopegaon B.O",+91 82086 18039,N/A,3.7,14.0,"Shop No. 2&3, Arjun Complex, behind J.S.P.M College, near little millennium, Ashok Nagar, Tathawade, Pimpri-Chinchwad, Maharashtra 411033","Ashok Nagar, Tathawade",18.619462199999997,73.7518832,ChIJR8iOOa-5wjsR3LmnTYZIsC8,https://www.google.com/maps/place/?q=place_id:ChIJR8iOOa-5wjsR3LmnTYZIsC8,part_137,2026-09-22 06:08:22
