business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vandana Oil And Flour Mill,Flour and Oil Mill,Flour mill,Flour mill,422221,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ojhar A.F. Stn. S.O,+91 87996 04032,http://vandanaoilandflourmill.com/,4.5,,"85V9+C3Q, Khohara, Uttar Pradesh 210207",422221,25.343562499999997,81.1676875,ChIJ_azBbajLhDkRYVqJzv4wk6I,https://www.google.com/maps/place/?q=place_id:ChIJ_azBbajLhDkRYVqJzv4wk6I,part_137,2026-09-22 06:15:34
National Oil And Flour Mill,Flour and Oil Mill,Home goods store,Home goods store,422221,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ojhar A.F. Stn. S.O,+91 79090 77135,N/A,4.4,,"Akopur, Bihar 841227",422221,26.254918699999998,84.3786749,ChIJ12UFE0n8kjkRdOotmHrjE6w,https://www.google.com/maps/place/?q=place_id:ChIJ12UFE0n8kjkRdOotmHrjE6w,part_137,2026-09-22 06:15:34
Geofast Flour Mills Private Limited,Flour and Oil Mill,Flour mill,Flour mill,422221,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ojhar A.F. Stn. S.O,N/A,http://www.geofast.com/,4.3,,"J4Q2+8QQ, Inayatnagar, Odisha 754296",422221,20.638334,86.101974,ChIJH7awfNtnGToRioTxs7QyIiA,https://www.google.com/maps/place/?q=place_id:ChIJH7awfNtnGToRioTxs7QyIiA,part_137,2026-09-22 06:15:34
DK OIL & FLOUR MILL,Flour and Oil Mill,Mill,"Mill, Flour mill",422221,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ojhar A.F. Stn. S.O,N/A,N/A,5.0,,"Mahabir chowk, Bero, Jharkhand 835202",Mahabir chowk,23.3016227,85.0171179,ChIJx7HRbFQr9TkRUACtaf6YNPk,https://www.google.com/maps/place/?q=place_id:ChIJx7HRbFQr9TkRUACtaf6YNPk,part_137,2026-09-22 06:15:34
Vikash Flour Mill,Flour and Oil Mill,Flour mill,Flour mill,422221,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ojhar A.F. Stn. S.O,+91 91998 32077,N/A,4.5,,"Jamuniya bazar Harsidhi Motihari, Ujjain Lohiyar, Bihar 845422",422221,26.634816899999997,84.74263979999999,ChIJeZMhprw5kzkRMIiXG3R9Pq0,https://www.google.com/maps/place/?q=place_id:ChIJeZMhprw5kzkRMIiXG3R9Pq0,part_137,2026-09-22 06:15:34
SAHOO FLOUR MILL,Flour and Oil Mill,Flour mill,"Flour mill, Olive oil manufacturer, Rice mill",422221,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ojhar A.F. Stn. S.O,+91 70088 14789,N/A,5.0,,"AH46, Jagamohanpur, Keonjhar, Odisha 758001",Jagamohanpur,21.638049199999998,85.6025074,ChIJL-1A7DD9HjoRb5wGW4Pmd70,https://www.google.com/maps/place/?q=place_id:ChIJL-1A7DD9HjoRb5wGW4Pmd70,part_137,2026-09-22 06:15:34
"Sree Krishna Oil Mills, Ulloor",Flour and Oil Mill,Mill,Mill,422221,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ojhar A.F. Stn. S.O,+91 471 796 5222,N/A,4.5,42.0,"Ulloor - Akkulam Rd, PSC Nagar, Ulloor, Thiruvananthapuram, Keralam 695011","PSC Nagar, Ulloor",8.5270429,76.9244251,ChIJL_iFfFa5BTsRNA6NBNu_Xm0,https://www.google.com/maps/place/?q=place_id:ChIJL_iFfFa5BTsRNA6NBNu_Xm0,part_137,2026-09-22 06:15:35
Aradhana Flour Mill,Flour and Oil Mill,Flour mill,Flour mill,422221,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ojhar A.F. Stn. S.O,+91 93884 13099,N/A,4.0,22.0,"60B, E Cliff Ln, Devaswom Board Junction, Kanaka Nagar, Nanthancodu, Thiruvananthapuram, Keralam 695003","Devaswom Board Junction, Kanaka Nagar, Nanthancodu",8.5174197,76.9573595,ChIJWaeVm9G7BTsRQx_Vef3vW6M,https://www.google.com/maps/place/?q=place_id:ChIJWaeVm9G7BTsRQx_Vef3vW6M,part_137,2026-09-22 06:15:35
Janatha Rice Flour Mill & Oil Mill,Flour and Oil Mill,Flour mill,"Flour mill, Health food store, Mill, Rice mill, Spice store, Spices Wholesaler",422221,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ojhar A.F. Stn. S.O,+91 94466 14339,N/A,4.4,41.0,"Kattu Rd, Kesari Nagar, Poojapura, Thiruvananthapuram, Keralam 695012","Kesari Nagar, Poojapura",8.494397,76.9773429,ChIJB49zNUW6BTsRt5HnXW2K3Gg,https://www.google.com/maps/place/?q=place_id:ChIJB49zNUW6BTsRt5HnXW2K3Gg,part_137,2026-09-22 06:15:35
Alavumkudy Flour Mill,Flour and Oil Mill,Flour mill,Flour mill,422221,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ojhar A.F. Stn. S.O,+91 97454 87505,N/A,4.1,16.0,"4C3X+494, Mukkuttinada Ponjassery P O Perumbavoor., Keralam 683547",422221,10.1027591,76.44844669999999,ChIJsxbq5NAJCDsRQmaP-oKjZeo,https://www.google.com/maps/place/?q=place_id:ChIJsxbq5NAJCDsRQmaP-oKjZeo,part_137,2026-09-22 06:15:35
Sri Mahamuni Oil Mills,Flour and Oil Mill,Store,Store,422221,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ojhar A.F. Stn. S.O,+91 91135 33020,http://srimahamunioilmills.com/,4.4,69.0,"Shop No, 12, 3rd Main Rd, New Tharagupet, Bengaluru, Karnataka 560002",New Tharagupet,12.961955099999999,77.5710187,ChIJPwMg8_wVrjsRikEnJdImO4U,https://www.google.com/maps/place/?q=place_id:ChIJPwMg8_wVrjsRikEnJdImO4U,part_137,2026-09-22 06:15:35
