business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr. Soumya's Physiotherapy and Rehab - Physiotherapy Clinic in Pimple Saudagar | Physiotherapist in Pimple Saudagar,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Doctor, Orthopedic clinic, Pain control clinic, Pain management physician, Physiotherapist, Rehabilitation center",422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 82491 71935,https://www.drsoumyaphysio.in/best-physiotherapy-clinics-in-pimple-saudagar/,4.8,59.0,"Shop No 2, Dhanawate Complex, Kalewadi - Rahatani Rd, near Mahadev Mandir, Rahatani Gaon, Pawana Nagar, Pimple Saudagar, Pimpri-Chinchwad, Maharashtra 411027","Rahatani Gaon, Pawana Nagar, Pimple Saudagar",18.6022113,73.7986062,ChIJ746oIga5wjsRnxtFJkAaQfQ,https://www.google.com/maps/place/?q=place_id:ChIJ746oIga5wjsRnxtFJkAaQfQ,part_137,2026-09-22 06:16:25
Orthopedic & Physio Rehab Centre,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,N/A,N/A,5.0,9.0,"BD-145/1, Talbagan South, Samarpally, Hanapara, Kestopur, Kolkata, West Bengal 700102","Talbagan South, Samarpally, Hanapara, Kestopur",22.595574799999998,88.43071119999999,ChIJ05no8tV1AjoR2w7LFjWakmA,https://www.google.com/maps/place/?q=place_id:ChIJ05no8tV1AjoR2w7LFjWakmA,part_137,2026-09-22 06:16:25
kinetic Experts Physiotherapy | Chiropractic & Rehabilitation Centre,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Alternative Medicine Clinic, Chiropractor, Kinesiotherapist, Pain control clinic, Physical fitness program, Physical rehabilitation center, Physiotherapist, Rehabilitation center, Sports medicine clinic",422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 95059 76324,https://kinetic-experts-boduppal.grexa.site/,4.9,152.0,"Aakruti Township Bluebells_2, Tulip Block, Mallikarjuna Nagar, Boduppal, Hyderabad, Telangana 500092","Tulip Block, Mallikarjuna Nagar, Boduppal",17.411976199999998,78.5858662,ChIJWdBFHACfyzsRIkuGULhcEo4,https://www.google.com/maps/place/?q=place_id:ChIJWdBFHACfyzsRIkuGULhcEo4,part_137,2026-09-22 06:16:26
Dr. Soumya’s Physiotherapy,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 82491 71935,https://www.drsoumyaphysio.com/,5.0,174.0,"Shop No. 9, Laxmi Market, Ravet (II, Celestial City Rd, near Urban skyline Phase 1, Ravet, Pimpri-Chinchwad, Maharashtra 412101",Ravet,18.6565224,73.7377118,ChIJw-VwoUO7wjsR2uHKqGlvnX4,https://www.google.com/maps/place/?q=place_id:ChIJw-VwoUO7wjsR2uHKqGlvnX4,part_137,2026-09-22 06:16:26
"Dr. Soumya’s Physiotherapy and Rehab Clinic | Physiotherapy Clinic and Physiotherapist in Aundh, PCMC",Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Acupuncture clinic, Doctor, Orthopedic clinic, Pain control clinic, Pain management physician, Physiotherapist, Rehabilitation center",422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 82491 71935,https://www.drsoumyaphysio.in/best-physiotherapy-clinic-in-aundh-pune/,4.9,29.0,"1 & 2 Anandghan Commercial Complex 1st Floor,Parihar Chowk, opposite ITI Rd, Aundh, Pune, Maharashtra 411067","Sanghvi Nagar, Aundh",18.55999,73.8089001,ChIJeVBxH0K_wjsRlKk-b4zzL7w,https://www.google.com/maps/place/?q=place_id:ChIJeVBxH0K_wjsRlKk-b4zzL7w,part_137,2026-09-22 06:16:26
Dr. Hironmoy Sil - Physiotherapist in kolkata,Orthopedic and Physiotherapy Clinic,Physiotherapist,"Physiotherapist, Doctor",422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 98300 22224,http://www.hironmoysil.com/,4.9,,"Dr SC Banerjee Rd, Subhas Sarobar Park, Phoolbagan, Beleghata, Kolkata, West Bengal 700010","Subhas Sarobar Park, Phoolbagan, Beleghata",22.5639084,88.3997579,ChIJDyaO6rSZOoQRoswX4BO_tQI,https://www.google.com/maps/place/?q=place_id:ChIJDyaO6rSZOoQRoswX4BO_tQI,part_137,2026-09-22 06:16:27
Movement Ortho & Sports Physiotherapy,Orthopedic and Physiotherapy Clinic,Medical group,Medical group,422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 97911 43649,N/A,5.0,,"Plot No 65, Last Cross, Kailash Nagar, Perumbakkam, Tamil Nadu 600100","Kailash Nagar, Perumbakkam",12.9035891,80.20348349999999,ChIJtxeszo1dUjoRtXaXuH_8cG0,https://www.google.com/maps/place/?q=place_id:ChIJtxeszo1dUjoRtXaXuH_8cG0,part_137,2026-09-22 06:16:27
Physiotherapy equipment pune,Orthopedic and Physiotherapy Clinic,Manufacturer,"Manufacturer, Physiotherapy equipment supplier",422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 92261 23524,https://www.instagram.com/physio_store_pune?igsh=ZmZra2JxOXB2OWJu&igsi=ZmZra2JxOXB2OWJu,5.0,6.0,"Shop no.11, grafticon arcade, Balkrishna Sakharam Dhole Patil Rd, opp. Jahangir nursing home, near by professional courier, Sangamvadi, Pune, Maharashtra 411001",Sangamvadi,18.5317765,73.8763227,ChIJF-2fmD7BwjsRgzlXy9q9_NY,https://www.google.com/maps/place/?q=place_id:ChIJF-2fmD7BwjsRgzlXy9q9_NY,part_137,2026-09-22 06:16:27
Physiocare & Orthosis,Orthopedic and Physiotherapy Clinic,Surgical supply store,Surgical supply store,422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 84204 21572,N/A,5.0,9.0,"H78F+X56, Podra More, Andul Rd, beside Indus Nursing Home, Howrah, West Bengal 711109",Mourigram,22.567417,88.27289999999999,ChIJZS7_0fx4AjoRfVHYEq90qYc,https://www.google.com/maps/place/?q=place_id:ChIJZS7_0fx4AjoRfVHYEq90qYc,part_137,2026-09-22 06:16:27
Physiotherapy Equipment (Physio Aid),Orthopedic and Physiotherapy Clinic,Medical Equipment Manufacturer,"Medical Equipment Manufacturer, Disability equipment supplier, Equipment Exporter, Equipment rental agency, Equipment supplier, Physiotherapy equipment supplier",422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 99117 89630,http://www.indiamart.com/physioaid,4.9,30.0,"C C, Lawrence Rd, Pocket C7, Block C6, Keshav Puram, Tri Nagar, New Delhi, Delhi, 110035","Pocket C7, Block C6, Keshav Puram, Tri Nagar",28.6927672,77.15776029999999,ChIJdYRI0DACDTkRggzxyABWj9Q,https://www.google.com/maps/place/?q=place_id:ChIJdYRI0DACDTkRggzxyABWj9Q,part_137,2026-09-22 06:16:27
