business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sunrise Play School and Day Care,Play School and Daycare,Preschool,Preschool,422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,N/A,N/A,5.0,,"Bhavna Bldg, 422, Swatantryaveer Savarkar Rd, RBI Colony, Century Bazaar, Prabhadevi, Mumbai, Maharashtra 400025","RBI Colony, Century Bazaar, Prabhadevi",19.0143707,72.8238432,ChIJUxtnoMDO5zsRBFa2U-Fo8Do,https://www.google.com/maps/place/?q=place_id:ChIJUxtnoMDO5zsRBFa2U-Fo8Do,part_137,2026-09-22 06:16:39
Priyanka Play House,Play School and Daycare,Preschool,"Preschool, Playgroup",422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,N/A,N/A,4.0,,"ininfront of botre hospital, shahar police station, behind karad, Shri Datta Housing Society, Karad, Maharashtra 415110",Shri Datta Housing Society,17.277891699999998,74.1806998,ChIJF6DJ_BODwTsR4SNBziVO6KI,https://www.google.com/maps/place/?q=place_id:ChIJF6DJ_BODwTsR4SNBziVO6KI,part_137,2026-09-22 06:16:39
Rising Leo Kids Preschool & Day Care,Play School and Daycare,Preschool,Preschool,422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 83690 48787,N/A,4.9,,"Shastrinagar, Sri Swami Samarth Nagar, Khopoli, Maharashtra 410203","Shastrinagar, Sri Swami Samarth Nagar",18.7853125,73.3433125,ChIJOQfneBoH6DsRmkToQUxpDsQ,https://www.google.com/maps/place/?q=place_id:ChIJOQfneBoH6DsRmkToQUxpDsQ,part_137,2026-09-22 06:16:39
Sunrise Play School,Play School and Daycare,Preschool,Preschool,422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 97693 42777,N/A,4.8,,"Building No-02, Plot No 18-Ground floor, Shree Sai Sundar Nagar, Prabhadevi, Mumbai, Maharashtra 400025","Shree Sai Sundar Nagar, Century Bazaar, Prabhadevi",19.0105081,72.8244067,ChIJWYidRL7O5zsRv2H_QCBgENk,https://www.google.com/maps/place/?q=place_id:ChIJWYidRL7O5zsRv2H_QCBgENk,part_137,2026-09-22 06:16:39
New Baby Angel School,Play School and Daycare,Kindergarten School,"Kindergarten School, Nursery school, Plant nursery, Playgroup, Preschool, School",422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,N/A,N/A,4.8,,"Sai Darshan Apartment, Matoshree Nagar, Neral, Maharashtra 410101",Matoshree Nagar,19.0214344,73.322952,ChIJg1cZe1Xx5zsR7MvavzWiQlY,https://www.google.com/maps/place/?q=place_id:ChIJg1cZe1Xx5zsR7MvavzWiQlY,part_137,2026-09-22 06:16:39
Little's Den International Preschool,Play School and Daycare,Preschool,Preschool,422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 89779 06689,N/A,4.8,111.0,"Plot No 28, opp. R C Puram Mandal Office, Mayuri Nagar, Beeramguda, Bharat Heavy Electricals Limited, Hyderabad, Telangana 502032","Mayuri Nagar, Beeramguda, Bharat Heavy Electricals Limited",17.509122899999998,78.3027764,ChIJWYJTWdSTyzsRlYGhGbF-KKg,https://www.google.com/maps/place/?q=place_id:ChIJWYJTWdSTyzsRlYGhGbF-KKg,part_137,2026-09-22 06:16:39
Smartkidz Pre School,Play School and Daycare,Kindergarten School,"Kindergarten School, Montessori school, Nursery school, Playgroup, Preschool, School, Waldorf kindergarten",422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 96522 92200,https://www.smartkidzglobal.org/,5.0,59.0,"HNo: 104/5 and 104/5/1, Sainik Vihar Rd No. 1, Madhuranagar, Bharadwaj Enclave, Madhura Nagar, Neredmet, Secunderabad, Telangana 500056","Madhuranagar, Bharadwaj Enclave, Madhura Nagar, Neredmet",17.4811193,78.5376136,ChIJQ1fIlAubyzsRPt-ayh9J97g,https://www.google.com/maps/place/?q=place_id:ChIJQ1fIlAubyzsRPt-ayh9J97g,part_137,2026-09-22 06:16:39
Beginners World Preschool & Daycare TNGOs Colony,Play School and Daycare,Preschool,"Preschool, Day care center, Kindergarten School, Montessori preschool, Nursery school, Plant nursery, Playgroup",422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 95154 44216,https://beginnersworld.com/preschool-in-hyderabad/tngos-colony/,5.0,29.0,"Box 8, Plot no: 332, Goldencrest school road, Maninagar, TNGOS Colony, Gachibowli, Hyderabad, Telangana 500046","Maninagar, TNGOS Colony, Gachibowli",17.4313818,78.3333507,ChIJ9VJW9pVQIiwRDEvlsxp629w,https://www.google.com/maps/place/?q=place_id:ChIJ9VJW9pVQIiwRDEvlsxp629w,part_137,2026-09-22 06:16:39
Mosmi's Smart Kidz Play School and Activity Center,Play School and Daycare,Preschool,"Preschool, School",422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 77758 63768,N/A,5.0,81.0,"119, Chikhali Akurdi Rd, opp. Aishwaryam Courtyard, Vitthal Nagar, Newale Wasti, Chikhali, Pimpri-Chinchwad, Maharashtra 411062","Vitthal Nagar, Newale Wasti, Chikhali",18.6755758,73.8062552,ChIJZz-Urpq3wjsRePWksw3l-fs,https://www.google.com/maps/place/?q=place_id:ChIJZz-Urpq3wjsRePWksw3l-fs,part_137,2026-09-22 06:16:39
Sky Touch Kindergarten School.,Play School and Daycare,Kindergarten School,Kindergarten School,422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 96235 82035,N/A,4.9,73.0,"MRV6+VQ4, Bag Wasti Rd, Patil Nagar, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062","Patil Nagar, Chikhali",18.6946464,73.8119459,ChIJg-XbO9m3wjsR0q46Bu5VBmY,https://www.google.com/maps/place/?q=place_id:ChIJg-XbO9m3wjsR0q46Bu5VBmY,part_137,2026-09-22 06:16:40
Funland Kindergarden,Play School and Daycare,Kindergarten School,"Kindergarten School, Preschool, Primary school, School house",422301,Maharashtra Circle,Navi Mumbai Region,Nasik Division,B.S. Nagar S.O,+91 93732 87953,http://funlandnagpur.com/,4.8,96.0,"N Ambazari Rd, next to Titan Showroom, Khare Town, Dharampeth, Nagpur, Maharashtra 440010","Khare Town, Dharampeth",21.136519399999997,79.06198979999999,ChIJMzRgM2LA1DsR8aPDp16FvEs,https://www.google.com/maps/place/?q=place_id:ChIJMzRgM2LA1DsR8aPDp16FvEs,part_137,2026-09-22 06:16:40
