business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sv Chinese Fast Food,Restaurant Chains,Fast food restaurant,Fast food restaurant,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 78994 41113,N/A,4.0,,"VGX8+7F7, Manahalli Rd, near Big Bazar, Bardapur, Bidar, Karnataka 585403",Bardapur,17.898163099999998,77.51615699999999,ChIJz7Lh_x3HzjsRd8yqM0siElk,https://www.google.com/maps/place/?q=place_id:ChIJz7Lh_x3HzjsRd8yqM0siElk,part_137,2026-09-22 06:22:08
Kayenat Biryani Hotel Bidar,Restaurant Chains,Biryani restaurant,"Biryani restaurant, Indian restaurant, Middle Eastern restaurant",422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 81234 84335,N/A,3.8,,"Dargah Pura, Old City Fort Area, Bidar, Karnataka 585401","Dargah Pura, Old City Fort Area",17.917290599999998,77.52485949999999,ChIJEYsWnC_HzjsRUTJgiVZMzTU,https://www.google.com/maps/place/?q=place_id:ChIJEYsWnC_HzjsRUTJgiVZMzTU,part_137,2026-09-22 06:22:08
Mandi King Arabian Restaurant,Restaurant Chains,Arab restaurant,Arab restaurant,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 91138 88648,N/A,3.8,,"WGC7+266 Infront of jail, Udgir Rd, Devi Colony, Bank colony, Bidar, Karnataka 585401","Devi Colony, Bank colony",17.9200573,77.5130028,ChIJ0zc2ixjHzjsR50pIRH47tPs,https://www.google.com/maps/place/?q=place_id:ChIJ0zc2ixjHzjsR50pIRH47tPs,part_137,2026-09-22 06:22:08
Natraj bar and restaurant,Restaurant Chains,Restaurant,"Restaurant, Bar",422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,N/A,N/A,4.1,,"Chitta Road, Bidar, Gornalli B, Karnataka 585403",422501,17.872301,77.5153097,ChIJLa7WnHbHzjsRielA-hlSKJQ,https://www.google.com/maps/place/?q=place_id:ChIJLa7WnHbHzjsRielA-hlSKJQ,part_137,2026-09-22 06:22:09
Food in Train Raipur,Restaurant Chains,Restaurant,Restaurant,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 79839 62530,N/A,4.5,,"Jagriti Nagar, Devendra Nagar, Raipur, Chhattisgarh 492009","Jagriti Nagar, Devendra Nagar",21.259453099999998,81.6372341,ChIJ37M7AxjdKDoRbh17v7qFCeI,https://www.google.com/maps/place/?q=place_id:ChIJ37M7AxjdKDoRbh17v7qFCeI,part_137,2026-09-22 06:22:09
Jaigurudev Family Restaurant,Restaurant Chains,Family restaurant,"Family restaurant, Vegetarian restaurant",422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 75001 81181,N/A,4.5,,"NH-2, near Jaigurudev petrol pump, Chaudhary Digamber Singh Nagar, Mathura, Uttar Pradesh 281001",Chaudhary Digamber Singh Nagar,27.4710094,77.6602714,ChIJZdbf3MZxczkRi1iXEPRrFvQ,https://www.google.com/maps/place/?q=place_id:ChIJZdbf3MZxczkRi1iXEPRrFvQ,part_137,2026-09-22 06:22:09
M Grill - Paragon Group,Restaurant Chains,Family restaurant,"Family restaurant, Chinese restaurant, Eclectic restaurant, European restaurant, Seafood restaurant, Western restaurant",422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 90725 04000,http://www.mgrill.net/,4.4,,"Focus Mall, Rajaji Road, opposite Moffusil Bus Stop, New Bus Stand, Opposite Focus Mall, EMS Stadium, Tazhekkod, Kozhikode, Keralam 673004","New Bus Stand, Opposite Focus Mall, EMS Stadium, Tazhekkod",11.2585119,75.78525479999999,ChIJsT0oC0hZpjsRxrk6o55gYJw,https://www.google.com/maps/place/?q=place_id:ChIJsT0oC0hZpjsRxrk6o55gYJw,part_137,2026-09-22 06:22:09
"Mazali Restaurant, Perinthalmanna",Restaurant Chains,South Indian restaurant,"South Indian restaurant, Barbecue restaurant, Chinese restaurant, Coffee shop, Restaurant, Seafood restaurant",422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 95267 15566,N/A,4.1,,"Kozhikkode - Palakkad Bypass Rd, Perinthalmanna, Keralam 679322",422501,10.9891312,76.22638359999999,ChIJMZ9sXwLNpzsRVuoRR63tiBY,https://www.google.com/maps/place/?q=place_id:ChIJMZ9sXwLNpzsRVuoRR63tiBY,part_137,2026-09-22 06:22:09
Agrawal Restaurant Since 1969,Restaurant Chains,Restaurant,"Restaurant, Banquet hall, Buffet restaurant, Chinese restaurant, Family restaurant",422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 85330 00460,N/A,4.0,,"National Highway 2, near Maheshwari Hospital, Mathura, Uttar Pradesh 281003",422501,27.5312967,77.6578219,ChIJRbF4kLpxczkRCt-b5MNeVS0,https://www.google.com/maps/place/?q=place_id:ChIJRbF4kLpxczkRCt-b5MNeVS0,part_137,2026-09-22 06:22:09
Royal City - Multi Cuisine Restaurant,Restaurant Chains,Family restaurant,Family restaurant,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 90482 51525,N/A,3.4,,"Highway, Junction, Kavumopuram, Kuttippuram, Keralam 679571",Kavumopuram,10.842809299999999,76.0302542,ChIJq4Xa-3y3pzsRC2XJR2rnyWI,https://www.google.com/maps/place/?q=place_id:ChIJq4Xa-3y3pzsRC2XJR2rnyWI,part_137,2026-09-22 06:22:09
