business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
S.R WATER SOLUTIONS KARIMANGR. ( wholesale & retailers),RO Water Purifier Sales and Service,Water purification company,Water purification company,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 80999 98059,N/A,4.8,,"7-2-1140, near Fire Station Lane, opposite Women's Degree College Road, Kashmirgadda, Karimnagar, Telangana 505001",Kashmirgadda,18.4367835,79.1207567,ChIJV2815THZzDsRvnhtUO1ELhA,https://www.google.com/maps/place/?q=place_id:ChIJV2815THZzDsRvnhtUO1ELhA,part_137,2026-09-22 06:22:20
M B water drops,RO Water Purifier Sales and Service,Water purification company,Water purification company,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 99002 70274,N/A,4.9,,"2nd cross, Tekal Rd, near nandhini bar, Kalavanchi, Petechamanahalli, Kolar, Karnataka 563101",Kalavanchi,13.117815199999999,78.12746419999999,ChIJWcizOvjxrTsRFCshD6Pml4M,https://www.google.com/maps/place/?q=place_id:ChIJWcizOvjxrTsRFCshD6Pml4M,part_137,2026-09-22 06:22:20
Aqua Apex Enterprises,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 70223 27157,https://aqua-apex-enterprises.grexa.site/,5.0,,"GND Public School, Near Nehru Stadium, Medival Circle, Road, Bidar, Karnataka 585401","Devi Colony, Bank colony",17.9187311,77.51393139999999,ChIJd7_2q5rHzjsRfqeblDjStEU,https://www.google.com/maps/place/?q=place_id:ChIJd7_2q5rHzjsRfqeblDjStEU,part_137,2026-09-22 06:22:20
RO Help Water Purifier Service Center,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Appliance repair service, Service establishment, Water Filter Supplier, Water softening equipment supplier",422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 63011 91887,https://rohelp.in/water-purifier-service-in-hyderabad/,4.6,,"RO Help Water Purifier Service Center, 422501, India",422501,15.2443896,79.0579989,ChIJ1bl5Wa6_ngsRtUVChwQENVQ,https://www.google.com/maps/place/?q=place_id:ChIJ1bl5Wa6_ngsRtUVChwQENVQ,part_137,2026-09-22 06:22:20
MAHALAXMI SALES ANS SERVICES,RO Water Purifier Sales and Service,Water softening equipment supplier,"Water softening equipment supplier, Water Filter Supplier, Water works",422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,N/A,N/A,5.0,,"LAM RD, RD, Deolali Gaon, Nashik, Maharashtra 422501",Deolali Gaon,19.9282845,73.8301322,ChIJ71kkcn2V3TsRD_bNmw3_c9Q,https://www.google.com/maps/place/?q=place_id:ChIJ71kkcn2V3TsRD_bNmw3_c9Q,part_137,2026-09-22 06:22:20
Indian Home Appliances & Electricals,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 97380 48529,N/A,5.0,7.0,"R K P Rd, near Pavan Hospital, Srinivaspur, Karnataka 563135",422501,13.3418976,78.2106084,ChIJk1abY-YLsjsRJB9lQamwwIQ,https://www.google.com/maps/place/?q=place_id:ChIJk1abY-YLsjsRJB9lQamwwIQ,part_137,2026-09-22 06:22:20
Sai Aqua Water Purifier Sale And Service,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 75886 13508,N/A,4.9,195.0,"ECO CITY 2.0, Varale, Maharashtra 410506",Varale,18.7474465,73.69077709999999,ChIJSVdbBxazwjsR9kwbF-gvtYI,https://www.google.com/maps/place/?q=place_id:ChIJSVdbBxazwjsR9kwbF-gvtYI,part_137,2026-09-22 06:22:20
SHRINI WATER PURIFIER Service in Hyderabad,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 91330 31861,http://www.shriniwaterworld.com/,4.9,16.0,"Beside ICICI Bank ATM, Papa, BK Guda Rd, nr. Bus stand, Jagathgiri Gutta, Hyderabad, Telangana 500038","Bapu Nagar, Jagathgiri Gutta",17.4443516,78.44246509999999,ChIJezdb8lKRyzsR0cluXXGpEWE,https://www.google.com/maps/place/?q=place_id:ChIJezdb8lKRyzsR0cluXXGpEWE,part_137,2026-09-22 06:22:20
Amareshwara Water Plant,RO Water Purifier Sales and Service,Water purification company,Water purification company,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 91083 25432,N/A,5.0,27.0,"IB Backside, near Indira Gandhi High School, Shivanagar Colony, Aurad, Karnataka 585326",Shivanagar Colony,18.2474818,77.40767079999999,ChIJaRk_YQDxzjsRfC8mjQX3_h0,https://www.google.com/maps/place/?q=place_id:ChIJaRk_YQDxzjsRfC8mjQX3_h0,part_137,2026-09-22 06:22:20
Royal Water Purifier Ro Repair And Service,RO Water Purifier Sales and Service,Water purification company,Water purification company,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,N/A,N/A,5.0,1.0,"G/F, KH, NO-137, H NO-C-59-A, Harijan Basti, NEB SARAI, South Delhi, New Delhi, Delhi 110038","Harijan Basti, NEB SARAI",28.513459599999997,77.1172179,ChIJpWz8pPYfDTkRq2JQmqZs-qw,https://www.google.com/maps/place/?q=place_id:ChIJpWz8pPYfDTkRq2JQmqZs-qw,part_137,2026-09-22 06:22:21
Aqua Pure Ro System,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 90950 68620,N/A,5.0,9.0,"10, Kanniamman Nagar Main Rd, Bhakyalakshmi Nagar, Kannaiamman Nagar, Maduravoyal, Chennai, Tamil Nadu 600095","Bhakyalakshmi Nagar, Kannaiamman Nagar, Maduravoyal",13.0557722,80.1612944,ChIJY1IiN2thUjoRsFjNPSEBHIM,https://www.google.com/maps/place/?q=place_id:ChIJY1IiN2thUjoRsFjNPSEBHIM,part_137,2026-09-22 06:22:21
Lakshmi Mineral Ro,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Water purification company",422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 98442 61777,N/A,5.0,600.0,"168, opp. union bank, Kasavanahalli, C S B Layout, Valliyamma Layout, Bengaluru, Karnataka 560035","Kasavanahalli, C S B Layout, Valliyamma Layout",12.908353,77.6759481,ChIJvx4bW2sTrjsR3KUnTF8ZB28,https://www.google.com/maps/place/?q=place_id:ChIJvx4bW2sTrjsR3KUnTF8ZB28,part_137,2026-09-22 06:22:21
Water Care RO System,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Solar hot water system supplier, Water Filter Supplier, Water softening equipment supplier",422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 88841 65321,N/A,4.8,,"Shop no.118, S.S.Complex, Vijayapura, Karnataka 586101",Sholapur,16.834518799999998,75.7153708,ChIJhWW1eEb_xjsRFcLJ-xD-diY,https://www.google.com/maps/place/?q=place_id:ChIJhWW1eEb_xjsRFcLJ-xD-diY,part_137,2026-09-22 06:22:21
Royal Blue Multitrade Pvt. Ltd,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 97621 99555,http://aquaroyal.asia/,4.8,,"Shop No. 7 & 8, Pratiraj Complex, Tarabai Park, opp. Pitali Ganpati, Kolhapur, Maharashtra 416003","Sarlashkar Park, Tarabai Park",16.7166535,74.2413634,ChIJQWu5V2cAwTsRhnq1V2Fnbu0,https://www.google.com/maps/place/?q=place_id:ChIJQWu5V2cAwTsRhnq1V2Fnbu0,part_137,2026-09-22 06:22:21
Fourteck Solutions,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 81975 64398,https://fourtecksolutions.in/,4.7,,"2nd Floor, Shop No 10, Near, Jyothi Circle, Balmatta, Mangaluru, Karnataka 575001",Balmatta,12.872106599999999,74.84847429999999,ChIJDa3SWJxbozsRQ4f1QbJdgNQ,https://www.google.com/maps/place/?q=place_id:ChIJDa3SWJxbozsRQ4f1QbJdgNQ,part_137,2026-09-22 06:22:21
Laxmi mineral water,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,N/A,N/A,5.0,,"2GHC+C9P, Chambol, Karnataka 585402",422501,18.0285993,77.5209548,ChIJSSwTKQDrzjsRy0gzX75rMrw,https://www.google.com/maps/place/?q=place_id:ChIJSSwTKQDrzjsRy0gzX75rMrw,part_137,2026-09-22 06:22:21
Pureit Water Purifier - Sri Durga Devi Enterprises,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Water purification company",422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,+91 91678 30770,https://stores-near-me.pureitwater.com/pureit-water-purifier-sri-durga-devi-enterprises-water-filter-supplier-talmandgi-bidar-259174/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"No 1/83, Hudgi, Humnabad Taluk, Talmandgi, opp. Hnuman Temple, Hudgi, Karnataka 585329",422501,17.7601106,77.161458,ChIJ52z0SzUpzzsRsJi2fZZHc0s,https://www.google.com/maps/place/?q=place_id:ChIJ52z0SzUpzzsRsJi2fZZHc0s,part_137,2026-09-22 06:22:21
SAMARTH enterprises,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,422501,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Devlali Air Force S.O,N/A,N/A,5.0,,"WG77+R4M, KEB Rd, Nandi Colony, Bidar, Karnataka 585401",Nandi Colony,17.9145917,77.5127883,ChIJ33LBJMbHzjsRvrG6wlFx0f4,https://www.google.com/maps/place/?q=place_id:ChIJ33LBJMbHzjsRvrG6wlFx0f4,part_137,2026-09-22 06:22:21
