business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vihiricha Odha Sarvajanik Vihir Grampanchayat Sa.Ghule,Doctors,Family practice physician,Family practice physician,422620,Maharashtra Circle,Pune Region,Shrirampur Division,"Ghargaon S.O, Aklapur B.O, Dolasane B.O",N/A,N/A,5.0,1.0,"94QQ+RV, Sawargaon Ghule, Maharashtra 422620",422620,19.3895394,74.13972389999999,ChIJJ3juo5wd3TsRPH3MGwMhZUQ,https://www.google.com/maps/place/?q=place_id:ChIJJ3juo5wd3TsRPH3MGwMhZUQ,part_137,2026-09-22 06:29:25
Dr.kshrisagar Hospital,Doctors,Hospital,Hospital,422620,Maharashtra Circle,Pune Region,Shrirampur Division,"Ghargaon S.O, Aklapur B.O, Dolasane B.O",+91 99231 12088,N/A,4.0,1.0,"C6C4+M59, Gunjalwadi, Maharashtra 422620",422620,19.4216683,74.2054733,ChIJ6zBet0Qd3TsR9YNnyEjU_y8,https://www.google.com/maps/place/?q=place_id:ChIJ6zBet0Qd3TsR9YNnyEjU_y8,part_137,2026-09-22 06:29:25
SHREE SAMARTH MATERNITY HOME AND PHARMA,Doctors,Obstetrician-gynecologist,Obstetrician-gynecologist,422620,Maharashtra Circle,Pune Region,Shrirampur Division,"Ghargaon S.O, Aklapur B.O, Dolasane B.O",N/A,N/A,5.0,3.0,"ltc building, Near, 810, Ghargaon, Maharashtra 422620",422620,19.3160155,74.17384009999999,ChIJJ-5-JAAf3TsRUkvZujiIAPY,https://www.google.com/maps/place/?q=place_id:ChIJJ-5-JAAf3TsRUkvZujiIAPY,part_137,2026-09-22 06:29:25
K K Sir House,Doctors,Doctor,Doctor,422620,Maharashtra Circle,Pune Region,Shrirampur Division,"Ghargaon S.O, Aklapur B.O, Dolasane B.O",N/A,N/A,5.0,3.0,"86GM+W7V, Unnamed Road, Nandur Khandarmal, Maharashtra 422620",422620,19.3273671,74.23316369999999,ChIJV4ScphPh3DsRKHlXG0Nvs-8,https://www.google.com/maps/place/?q=place_id:ChIJV4ScphPh3DsRKHlXG0Nvs-8,part_137,2026-09-22 06:29:25
सुपेकर ओढा सार्वजनिक विहीर,Doctors,Family practice physician,Family practice physician,422620,Maharashtra Circle,Pune Region,Shrirampur Division,"Ghargaon S.O, Aklapur B.O, Dolasane B.O",N/A,N/A,,,"95X3+78, Sawargaon Ghule, Maharashtra 422620",422620,19.398187999999998,74.1533304,ChIJseoLaOYd3TsRR9von4ANJqI,https://www.google.com/maps/place/?q=place_id:ChIJseoLaOYd3TsRR9von4ANJqI,part_137,2026-09-22 06:29:25
Shri Sai Hospital and Medical Sakur,Doctors,Family practice physician,Family practice physician,422620,Maharashtra Circle,Pune Region,Shrirampur Division,"Ghargaon S.O, Aklapur B.O, Dolasane B.O",N/A,N/A,,,"Aman Plaza, Sakur, Maharashtra 422622",422620,19.3516638,74.2985151,ChIJ7dKeaHDh3DsRFQVKlmQg7f8,https://www.google.com/maps/place/?q=place_id:ChIJ7dKeaHDh3DsRFQVKlmQg7f8,part_137,2026-09-22 06:29:25
Dr. Nalawade House (Veterinary Doctor),Doctors,Doctor,Doctor,422620,Maharashtra Circle,Pune Region,Shrirampur Division,"Ghargaon S.O, Aklapur B.O, Dolasane B.O",N/A,N/A,5.0,1.0,"F5HF+695, Sawargaon Tal, Maharashtra 422605",422620,19.4780178,74.1734721,ChIJmQxNJQAD3TsRO8QZ2w7XEjo,https://www.google.com/maps/place/?q=place_id:ChIJmQxNJQAD3TsRO8QZ2w7XEjo,part_137,2026-09-22 06:29:25
Pardhi Nivas,Doctors,Family practice physician,Family practice physician,422620,Maharashtra Circle,Pune Region,Shrirampur Division,"Ghargaon S.O, Aklapur B.O, Dolasane B.O",N/A,N/A,,,"87J9+64W, Jambut Bk., Maharashtra 422622",422620,19.3306033,74.2678169,ChIJTcG6TQDh3DsRmriJNlgD8E8,https://www.google.com/maps/place/?q=place_id:ChIJTcG6TQDh3DsRmriJNlgD8E8,part_137,2026-09-22 06:29:25
Primary Health SubCenter,Doctors,Doctor,Doctor,422620,Maharashtra Circle,Pune Region,Shrirampur Division,"Ghargaon S.O, Aklapur B.O, Dolasane B.O",N/A,N/A,,,"F5C3+QQM, Sawargaon Tal, Maharashtra 422605",422620,19.471805099999997,74.1545079,ChIJw4k1JU4D3TsRcSz4jhdTenc,https://www.google.com/maps/place/?q=place_id:ChIJw4k1JU4D3TsRcSz4jhdTenc,part_137,2026-09-22 06:29:25
Phade Hospital,Doctors,Doctor,Doctor,422620,Maharashtra Circle,Pune Region,Shrirampur Division,"Ghargaon S.O, Aklapur B.O, Dolasane B.O",+91 2185 222 752,N/A,4.8,57.0,"sadubhav chowk 413101, Akluj, Maharashtra 413101",Irrigation Colony,17.889101999999998,75.019471,ChIJT6ERVPl0xDsRIvl6FxtAddw,https://www.google.com/maps/place/?q=place_id:ChIJT6ERVPl0xDsRIvl6FxtAddw,part_137,2026-09-22 06:29:25
