business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Nagar Car Mall,Car Showroom and Used Car Dealer,Showroom,Showroom,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 92257 45095,N/A,4.7,17.0,"chhatrapati sambhaji maharaj nagar road, opposite chetna lwans, Dasarenagar, Ahilyanagar, Maharashtra 414003",Dasarenagar,19.128802099999998,74.75639699999999,ChIJ6-5bB7m73DsRKDeE04s67EE,https://www.google.com/maps/place/?q=place_id:ChIJ6-5bB7m73DsRKDeE04s67EE,part_138,2026-09-22 06:00:27,3344
CAR MALL | Used Car | Pre owned Car | Car Dealer in Nashik,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Car dealer, Car finance and loan company, Electric motor vehicle dealer, Motor vehicle dealer, Showroom, Smart Car dealer",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 78751 99199,N/A,4.0,312.0,"Buddha Vihar, Pathardi Phata, Nashik, Maharashtra 422010","Buddha Vihar, Pathardi Phata",19.951677699999998,73.7541461,ChIJvZ2t6Q3r3TsR6A0yDXj2Of8,https://www.google.com/maps/place/?q=place_id:ChIJvZ2t6Q3r3TsR6A0yDXj2Of8,part_138,2026-09-22 06:00:27,3345
MAHINDRA SHOWROOM (CORNERSTONE AUTOMOBILES),Car Showroom and Used Car Dealer,Car dealer,Car dealer,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 73910 92215,http://www.cornerstoneauto.in/,4.0,213.0,"Shop No 12, MAHINDRA CORNERSTONE AUTOMOBILES MH SH 44, Samnapur, Maharashtra 422605 Samnapur, Near, Loni - Sangamner Rd, opp. SHRIRAM AUTOMOBILES, Sangamner, Maharashtra 422605",422622,19.5832287,74.23534269999999,ChIJNeECSi0A3TsR4a7ZA8UBHmQ,https://www.google.com/maps/place/?q=place_id:ChIJNeECSi0A3TsR4a7ZA8UBHmQ,part_138,2026-09-22 06:00:27,3346
Pune Cars,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Car dealer, Motor vehicle dealer",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 80876 04022,https://www.punecars24.in/,4.8,25.0,"Paud Rd, near vanaz metro station, Lokmanya Colony, Kothrud, Pune, Maharashtra 411038","Lokmanya Colony, Kothrud",18.5088294,73.80603169999999,ChIJJ1FS46a_wjsRVljzL_c1gwA,https://www.google.com/maps/place/?q=place_id:ChIJJ1FS46a_wjsRVljzL_c1gwA,part_138,2026-09-22 06:00:27,3347
car&bike (by Mahindra First Choice) Sablok Cars - Ahmednagar,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto broker, Car dealer, Motor vehicle dealer, Vehicle inspection service",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 95134 82855,https://www.carandbike.com/used/car-dealers/sablok-cars-in-ahmed-nagar-1856?utm_source=gmb,3.9,15.0,"Survey No. 57/2B Sablok Cars Nagar, Manmad Rd, MIDC, Nagapur, Maharashtra 414111",MIDC,19.150672999999998,74.709948,ChIJmxW0Hja63DsRjVj5IZn38Dc,https://www.google.com/maps/place/?q=place_id:ChIJmxW0Hja63DsRjVj5IZn38Dc,part_138,2026-09-22 06:00:27,3348
"TATA.CARS Showroom - Kamu Motors, MIDC",Car Showroom and Used Car Dealer,Car dealer,"Car dealer, Auto Accessories Store, Electric motor vehicle dealer",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 70452 49243,https://dealer-locator.cars.tatamotors.com/tata-cars-showroom-kamu-motors-midc-car-dealer-midc-ahmednagar-77962/Home?utm_source=locator&utm_medium=googleplaces,4.5,2411.0,"No E3, Sahyadri Chowk, Gajanan Colony, MIDC, Nagapur, Maharashtra 414111","Gajanan Colony, MIDC",19.1572715,74.7038017,ChIJ0fdJH2u73DsRwHxt4dMgxuc,https://www.google.com/maps/place/?q=place_id:ChIJ0fdJH2u73DsRwHxt4dMgxuc,part_138,2026-09-22 06:00:27,3349
Mahindra Sablok Cars - SUV Showroom,Car Showroom and Used Car Dealer,Car dealer,Car dealer,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 88888 73173,https://dealers-auto.mahindra.com/mahindra-sablok-cars-suv-showroom-sablok-cars-car-dealer-midc-ahmednagar-471748/Home?utm_source=locator&utm_medium=googleplaces,3.8,376.0,"Plot No. 57, 2- B, Manmad Rd, near Hotel Raj Regency, MIDC, Nagapur, Maharashtra 414111",MIDC,19.162939899999998,74.7022064,ChIJwfGzHja63DsRpyt2zgtBs9I,https://www.google.com/maps/place/?q=place_id:ChIJwfGzHja63DsRpyt2zgtBs9I,part_138,2026-09-22 06:00:27,3350
"Maruti Suzuki ARENA (Kankariya Automobiles, Ahmednagar, Savedi)",Car Showroom and Used Car Dealer,Car dealer,"Car dealer, Auto Accessories Wholesaler, Auto Dent Removal Service Station, Auto parts store, Auto repair shop, Car finance and loan company, Car repair and maintenance service, Industrial Spares & Products Wholesaler, News service",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 80 6251 3280,https://www.arenaofsavediahmednagar.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.1,1616.0,"5P44+X35 Sahayadri Chowk, Plot No. E2/2, Gajanan Colony, MIDC, Ahilyanagar, Nagapur, Maharashtra 414111","Gajanan Colony, MIDC",19.157671399999998,74.7039087,ChIJcXyhr8y73DsRJVYjZqp8TgI,https://www.google.com/maps/place/?q=place_id:ChIJcXyhr8y73DsRJVYjZqp8TgI,part_138,2026-09-22 06:00:27,3351
Mahindra Cornerstone Automobiles - SUV Showroom,Car Showroom and Used Car Dealer,Car dealer,Car dealer,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 89292 07412,https://dealers-auto.mahindra.com/mahindra-cornerstone-automobiles-suv-showroom-cornerstone-automobiles-car-dealer-sarjepura-ahmednagar-471071/Home?utm_source=locator&utm_medium=googleplaces,4.2,253.0,"No 7374-4, Survey, 1, Sarjepura Rd, opp. P.N.G Jewellers, Ahilyanagar, Maharashtra 414001",Tarakpur,19.1034708,74.7376586,ChIJD1wtLHqw3DsRNYXWUg3nxBg,https://www.google.com/maps/place/?q=place_id:ChIJD1wtLHqw3DsRNYXWUg3nxBg,part_138,2026-09-22 06:00:27,3352
Car Galaxy,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto insurance agency, Car finance and loan company, Car dealer",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 98201 42523,https://cargalaxy.co.in/,4.8,1014.0,"Service road, Wasan's CarGalaxy, Z5, Flower Valley Commercial Complex, Eastern Express Hwy, Thane West, Mumbai, Maharashtra 400601","Runwal Nagar, Thane West",19.2069154,72.97212929999999,ChIJz-xhrj-55zsRD8-DjcIM68k,https://www.google.com/maps/place/?q=place_id:ChIJz-xhrj-55zsRD8-DjcIM68k,part_138,2026-09-22 06:00:27,3353
