business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Aradhya Kidney,Dialysis Center,Dialysis center,"Dialysis center, Nephrologist",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 98193 53333,https://aradhyadialysiscentre.com/,4.9,74.0,"1st Floor, Mayuresh Trade Centre, Plot no-4, Vashi-Turbhe Rd, APMC Fruits and Vegetable Market, Sector 19A, Turbhe, Navi Mumbai, Maharashtra 400703","APMC Fruits and Vegetable Market, Sector 19A, Turbhe",19.073715999999997,73.01203939999999,ChIJlz4cZ7vB5zsRrhxmF14IMa0,https://www.google.com/maps/place/?q=place_id:ChIJlz4cZ7vB5zsRrhxmF14IMa0,part_138,2026-09-22 06:00:25,2673
CG NephroCare And Dialysis Center @Draupadi by murlidhar khedekar hospital,Dialysis Center,Dialysis center,Dialysis center,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 95294 28691,https://www.cgnephrocare.com/,5.0,16.0,"HRCQ:966, Anupam Nagar, Bopodi, Pune, Maharashtra 411003","Anupam Nagar, Bopodi",18.570926399999998,73.838013,ChIJc5n6X4W_wjsRMus4nstezbw,https://www.google.com/maps/place/?q=place_id:ChIJc5n6X4W_wjsRMus4nstezbw,part_138,2026-09-22 06:00:25,2674
Prabodhan charitable dialysis center,Dialysis Center,Hospital,Hospital,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,3.2,,"5V93+P34, Umiyadham Mandir Road, Off Vishweshwar Nagar Road, Goregaon East, Churi Wadi, Goregaon East, Mumbai, Maharashtra 400063","Churi Wadi, Goregaon East",19.169272,72.8526985,ChIJuSYkjAi35zsRX01CKI5q39w,https://www.google.com/maps/place/?q=place_id:ChIJuSYkjAi35zsRX01CKI5q39w,part_138,2026-09-22 06:00:25,2675
RAHI CARE DIALYSIS CENTER AKOLA,Dialysis Center,Dialysis center,Dialysis center,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 90219 88125,https://www.rahicare.com/,5.0,8.0,"hospital,3rd floor, Solar plexus, Durga chowk, to, Tapadia Nagar, Akola, Maharashtra 444005","to, Tapadia Nagar",20.7157798,77.0098855,ChIJ4QUBRRkx1zsReCXFwsKDcxk,https://www.google.com/maps/place/?q=place_id:ChIJ4QUBRRkx1zsReCXFwsKDcxk,part_138,2026-09-22 06:00:25,2676
Navneet Dialysis Centre,Dialysis Center,Dialysis center,Dialysis center,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 22 2893 6868,N/A,5.0,2.0,"1, Holy Cross Rd, I C Colony, Borivali West, Mumbai, Maharashtra 400103","I C Colony, Borivali West",19.245901099999998,72.84976809999999,ChIJR3RdtW2x5zsRjPz4D6HwSrw,https://www.google.com/maps/place/?q=place_id:ChIJR3RdtW2x5zsRjPz4D6HwSrw,part_138,2026-09-22 06:00:25,2677
Devdikar Medical Center & Dialysis Unit,Dialysis Center,Dialysis center,"Dialysis center, Hospital, Fertility clinic, Obstetrician-gynecologist, Nephrologist",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 96738 22229,http://devdikardialysis.org/,4.7,,"MALEWADI DATTANAGAR Malshiras, Akluj, Maharashtra 413101","Malewadi, Savtamali Nagar",17.872911,75.0326772,ChIJUzrRbEV1xDsRgbt66BLiqUc,https://www.google.com/maps/place/?q=place_id:ChIJUzrRbEV1xDsRgbt66BLiqUc,part_138,2026-09-22 06:00:25,2678
RAHI Care Dialysis Chandigarh,Dialysis Center,Dialysis center,Dialysis center,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 172 417 0345,https://www.rahicare.in/,4.5,143.0,"SCO No. 2453/54, Sector 22C, Sector 22, Chandigarh, 160022","Sector 22C, Sector 22",30.7280263,76.7702999,ChIJFSnKsK_tDzkRRtP-A6KC2bA,https://www.google.com/maps/place/?q=place_id:ChIJFSnKsK_tDzkRRtP-A6KC2bA,part_138,2026-09-22 06:00:25,2679
Anand Hospital and Dialysis Unit,Dialysis Center,Dialysis center,"Dialysis center, Nephrologist, Hospital, Pediatric nephrologist, Private hospital, Transplant surgeon",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,4.0,,"Nityaseva hospital 10, Pratap nagar Behind the stadium Near Anuvrat Bhavan, Maharashtra 425001",Pratap Nagar,21.010056799999997,75.55910999999999,ChIJrWcVS_4P2TsRZJELvd9w78c,https://www.google.com/maps/place/?q=place_id:ChIJrWcVS_4P2TsRZJELvd9w78c,part_138,2026-09-22 06:00:25,2680
Raghoji Kidney & Multi-Specialty Hospital | Solapur,Dialysis Center,Hospital,"Hospital, Cardiologist, Gynecologist, Nephrologist, Orthopedic clinic, Urologist",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 217 260 2700,https://raghojikidneyhospital.com/,4.6,,"plot no 34/35/36, Hotagi Rd, opp. vrittavedha press, mohite nagar, Sainath Nagar, Solapur, Maharashtra 413004","mohite nagar, Sainath Nagar",17.6423028,75.91285959999999,ChIJ5QPjXoraxTsR3_6Ue28Y968,https://www.google.com/maps/place/?q=place_id:ChIJ5QPjXoraxTsR3_6Ue28Y968,part_138,2026-09-22 06:00:25,2681
NephroWorld Dialysis Center,Dialysis Center,Dialysis center,Dialysis center,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 88267 75718,http://nephroworld.in/,4.6,10.0,"2J8P+34H, St Thomas Town, Heerti Layout, Kammanahalli, Bengaluru, Karnataka 560084","Saint Thomas Town, Heerti Layout, Kammanahalli",13.0151948,77.6353587,ChIJDQGBuyAXrjsRcISwJ-4XxFk,https://www.google.com/maps/place/?q=place_id:ChIJDQGBuyAXrjsRcISwJ-4XxFk,part_138,2026-09-22 06:00:25,2682
