business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Renuka Transport Service,Logistics and Transport Services,Transportation service,"Transportation service, Packaging company",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 86007 28887,N/A,4.8,,"Bhingar, Maharashtra 414002",Bhingar,19.093792999999998,74.7842893,ChIJ18MM5Uiv3DsRAjIYBOe3XPg,https://www.google.com/maps/place/?q=place_id:ChIJ18MM5Uiv3DsRAjIYBOe3XPg,part_138,2026-09-22 06:00:29,3484
Vishwas Roadlines,Logistics and Transport Services,Transportation service,"Transportation service, Logistics service, Trucking company",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 96890 30405,https://www.vishwasroadlines.in/,4.4,,"P-42, MIDC, Nimblak, Maharashtra 414111",MIDC,19.1501175,74.6929974,ChIJAQAAACy63DsRjggLJm-XntY,https://www.google.com/maps/place/?q=place_id:ChIJAQAAACy63DsRjggLJm-XntY,part_138,2026-09-22 06:00:29,3485
MH16 ROADLINE,Logistics and Transport Services,Transportation service,Transportation service,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,5.0,,"4Q53+7X5, Darga Daira, Mukundnagar, Ahilyanagar, Maharashtra 414001","Darga Daira, Mukundnagar",19.108221699999998,74.7549883,ChIJ62BRMWex3DsRClnMGemMsVc,https://www.google.com/maps/place/?q=place_id:ChIJ62BRMWex3DsRClnMGemMsVc,part_138,2026-09-22 06:00:29,3486
Best Cargo Logistics,Logistics and Transport Services,Moving service,"Moving service, Courier service, Logistics service, Moving supply store",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 91004 45391,https://www.carbikemove.in/,4.8,91.0,"plot No, 53, Gori Nagar, Bhavani Nagar, Old Bowenpally, Secunderabad, Telangana 500009","Gori Nagar, Bhavani Nagar, Old Bowenpally",17.4816982,78.4864302,ChIJd_trcYSbyzsRqq6Xc4iniqc,https://www.google.com/maps/place/?q=place_id:ChIJd_trcYSbyzsRqq6Xc4iniqc,part_138,2026-09-22 06:00:30,3487
Jha packers & movers (EX-ARMY) - BEST Packers And Movers,Logistics and Transport Services,Transportation service,"Transportation service, Car rental agency, Courier service, Horse transport supplier, Moving service, Packaging company, Trucking company",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 96510 81400,https://jha-packers-movers.grexa.site/,4.9,1027.0,"shop - 1, jalaram jyot aptt, Artillery Centre Rd, near Ashok chakra gate, Khole Nagar, Gandhi Nagar Airport Area, Nashik Road, Nashik, Maharashtra 422101","Khole Nagar, Gandhi Nagar Airport Area, Nashik Road",19.9462221,73.8247834,ChIJLTseU5SV3TsRQwJukhkXcAs,https://www.google.com/maps/place/?q=place_id:ChIJLTseU5SV3TsRQwJukhkXcAs,part_138,2026-09-22 06:00:30,3488
B.S TRANSPORT,Logistics and Transport Services,Transportation service,Transportation service,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,5.0,1.0,"Senthil Nagar, Papparapatti, Krishnagiri, Tamil Nadu 635002","Senthil Nagar, Papparapatti",12.519518399999999,78.22414119999999,ChIJOzGvKJU0rDsRicWaEvarOXw,https://www.google.com/maps/place/?q=place_id:ChIJOzGvKJU0rDsRicWaEvarOXw,part_138,2026-09-22 06:00:30,3489
Transport Services Nashik,Logistics and Transport Services,Transportation service,Transportation service,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 93250 82324,N/A,5.0,21.0,"Jatra-Nandur Rd, Vrindavan Nagar, Nashik, Maharashtra 422003",Vrindavan Nagar,20.018661599999998,73.8429124,ChIJT1bZ2y3B3TsRK2dlvpPPinA,https://www.google.com/maps/place/?q=place_id:ChIJT1bZ2y3B3TsRK2dlvpPPinA,part_138,2026-09-22 06:00:30,3490
Best N Care Relocation And Logistics,Logistics and Transport Services,Moving and storage service,Moving and storage service,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 62607 23395,https://www.bestncare.com/,4.9,143.0,"Lift and Shift, Shop No 14, 1st Floor, Ring Rd Number 2, Gondwara Basti, Raipur, Chhattisgarh 492099",Gondwara Basti,21.2776826,81.6015058,ChIJYz8RJM7hKDoRQBQJosvMSoY,https://www.google.com/maps/place/?q=place_id:ChIJYz8RJM7hKDoRQBQJosvMSoY,part_138,2026-09-22 06:00:30,3491
Seva Transport and Logistics Private Limited,Logistics and Transport Services,Transportation service,Transportation service,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 91456 84013,http://www.sevalogistic.in/,4.5,77.0,"opp. Garware Polyster Company, BakwalNagar, Waluj, Naigaon, Chhatrapati Sambhajinagar, Maharashtra 431133","BakwalNagar, Waluj",19.806285,75.23521219999999,ChIJdzsebBub2zsRizT6EEYoH0M,https://www.google.com/maps/place/?q=place_id:ChIJdzsebBub2zsRizT6EEYoH0M,part_138,2026-09-22 06:00:30,3492
Best Transports,Logistics and Transport Services,Transportation service,Transportation service,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 94485 07251,N/A,5.0,12.0,"19, Vinayaka Layout, Behind Amritha Vidyalayam, 1st Main Rd, Ullal, Bengaluru, Karnataka 560056","Ullal, Sir M Vishveswaraya Layout, Jnana Ganga Nagar",12.945893,77.4855711,ChIJsTDrBeg_rjsRrHStrEpC5-c,https://www.google.com/maps/place/?q=place_id:ChIJsTDrBeg_rjsRrHStrEpC5-c,part_138,2026-09-22 06:00:30,3493
