business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SHUBHA'S FASHION STUDIO,Tailor and Fashion Designer,Fashion designer,Fashion designer,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 82373 70006,N/A,5.0,6.0,"SHUBHA'S FASHION STUDIO, Devkar furnishing, dhanraj palace, Navi Peth Rd, Nalegaon, Ahilyanagar, Maharashtra 414001",Nalegaon,19.0953464,74.7370655,ChIJ--rBaLe73DsRJb0z15GFgL8,https://www.google.com/maps/place/?q=place_id:ChIJ--rBaLe73DsRJb0z15GFgL8,part_138,2026-09-22 06:00:20,1520
Styelo Linen Custom Tailoring,Tailor and Fashion Designer,Clothing store,Clothing store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 91512 17155,N/A,4.9,192.0,"Parvati niwas Mauli sabhagra samor jhopadi canteen, Savedi, Ahilyanagar, Maharashtra 414003",Savedi,19.1144327,74.7307572,ChIJW88SI8673DsRlNFYvqm85CQ,https://www.google.com/maps/place/?q=place_id:ChIJW88SI8673DsRlNFYvqm85CQ,part_138,2026-09-22 06:00:20,1521
Surabhi Collection,Tailor and Fashion Designer,Clothing alteration service,Clothing alteration service,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 97634 45106,N/A,4.6,5.0,"Shilavihar, Gulmohar Rd, Savedi, Ahilyanagar, Maharashtra 414003",Savedi,19.123147799999998,74.748267,ChIJ92I3AJu63DsR7VUbO-yGDuY,https://www.google.com/maps/place/?q=place_id:ChIJ92I3AJu63DsR7VUbO-yGDuY,part_138,2026-09-22 06:00:20,1522
Divya Ledies Tailor,Tailor and Fashion Designer,Tailor,Tailor,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,4.9,15.0,"Holi Gally, Shrigonda, Maharashtra 413701",422622,18.6132778,74.7000556,ChIJ89dO5X5DwzsR0sB6IjKFiWo,https://www.google.com/maps/place/?q=place_id:ChIJ89dO5X5DwzsR0sB6IjKFiWo,part_138,2026-09-22 06:00:20,1523
Kumar Tailors,Tailor and Fashion Designer,Tailor,Tailor,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 94237 93774,N/A,4.8,17.0,"Navghar Ln, Navghar Galli, Bagvan Pura, Sangamner, Maharashtra 422605","Navghar Galli, Bagvan Pura",19.569736,74.2100103,ChIJJVD7GIAB3TsRL-f2JLRWBDM,https://www.google.com/maps/place/?q=place_id:ChIJJVD7GIAB3TsRL-f2JLRWBDM,part_138,2026-09-22 06:00:20,1524
Priyanka Ladies Tailor,Tailor and Fashion Designer,Clothing alteration service,Clothing alteration service,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,4.0,8.0,"Sarda Galli, Nalegaon, Ahilyanagar, Maharashtra 414001",Nalegaon,19.095883999999998,74.7398243,ChIJZ6UerWaw3DsRpaasMoO6Mo8,https://www.google.com/maps/place/?q=place_id:ChIJZ6UerWaw3DsRpaasMoO6Mo8,part_138,2026-09-22 06:00:20,1525
Mukund Tailors,Tailor and Fashion Designer,Gents Tailor,Gents Tailor,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 92700 63255,N/A,4.1,9.0,"Shop No.9, Savedi, Pipeline Rd, Bhistabag, Naka, Maharashtra 414003",Bhistabag,19.1301679,74.7323294,ChIJzdy6GGK63DsRjvETzViR6xA,https://www.google.com/maps/place/?q=place_id:ChIJzdy6GGK63DsRjvETzViR6xA,part_138,2026-09-22 06:00:20,1526
Salrio Tailors & Textiles,Tailor and Fashion Designer,Tailor,"Tailor, Boutique, Designer Clothing Store, Fabric store, Formal Clothing Store, Gents Tailor",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 90497 95125,N/A,4.9,450.0,"Shop no 16 ground floor, Gymkhana Shopping Centre, Chatrapati Shivaji Maharaj Rd, in front of Shivaji garden, Shalimar, Nashik, Maharashtra 422001",Shalimar,20.0011852,73.78522629999999,ChIJ75BxGKjr3TsR9NTuvI2sWPU,https://www.google.com/maps/place/?q=place_id:ChIJ75BxGKjr3TsR9NTuvI2sWPU,part_138,2026-09-22 06:00:20,1527
Shiv The Fashion Academy,Tailor and Fashion Designer,Fashion designer,"Fashion designer, Coaching Center, College, Design institute, Education center, Educational institution, Fashion design school, Jewelry designer, Stitching Class",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 88888 85552,https://www.instagram.com/shiv_thefashionacademy?igsh=MXVxYjN5dWg1MmxvMw==,4.9,329.0,"2nd floor, SIDDHI POOJA REGENCY, Gangapur Rd, behind Hotel Vihar Missal, opposite to Tarangan Paan, Old Gangapur Naka, Shreerang Nagar, Nashik, Maharashtra 422013","Old Gangapur Naka, Shreerang Nagar",20.0079599,73.77089889999999,ChIJDVjMCJjr3TsRri3PIlPWRKg,https://www.google.com/maps/place/?q=place_id:ChIJDVjMCJjr3TsRri3PIlPWRKg,part_138,2026-09-22 06:00:20,1528
Shabnam Ladies Tailor,Tailor and Fashion Designer,Tailor,Tailor,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 87887 96089,https://www.instagram.com/shabnamladies.tailor?igsh=MWNmaDBlbjd2ODl0NQ==,4.7,12.0,"Shop No 3, near Brakers Craft, Trimurti Chowk, Cidco, Durganagar, Nashik, Maharashtra 422008","Trimurti Chowk, Cidco, Durganagar",19.9827567,73.7557278,ChIJd0ObNqjr3TsR9rgc80DFwtc,https://www.google.com/maps/place/?q=place_id:ChIJd0ObNqjr3TsR9rgc80DFwtc,part_138,2026-09-22 06:00:20,1529
