business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jidnya Traders,Cement and Sand Supplier,Building materials supplier,Building materials supplier,423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",+91 82696 93737,N/A,5.0,2.0,"jaybhave mala, behind express inn hotel, Prashant Nagar, Pathardi Phata, Nashik, Maharashtra 422010","Prashant Nagar, Pathardi Phata",19.9525954,73.7564596,ChIJATfyRfmV3TsRqpkDHvoKJTc,https://www.google.com/maps/place/?q=place_id:ChIJATfyRfmV3TsRqpkDHvoKJTc,part_138,2026-09-22 06:01:09
Shri nilmani Buldding material suppliers - Stone crusher [Anil Rasal ],Cement and Sand Supplier,Construction Material Wholesaler,Construction Material Wholesaler,423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",N/A,N/A,,,"Manmad - Deola Rd, Mesankhede Kh, Maharashtra 423104",423101,20.2760632,74.36858029999999,ChIJNyWBVFgv3DsRxxcAYMVzroA,https://www.google.com/maps/place/?q=place_id:ChIJNyWBVFgv3DsRxxcAYMVzroA,part_138,2026-09-22 06:01:09
Shree Saptshrungi Concrete,Cement and Sand Supplier,Ready mix concrete supplier,Ready mix concrete supplier,423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",N/A,N/A,,,"Flat No 01, Radha Residency, Plot No 03, Murlidhar Nagar Rd, Murlidhar Vyas Colony, Prashant Nagar, Pathardi Phata, Nashik, Maharashtra 422010","Murlidhar Vyas Colony, Prashant Nagar, Pathardi Phata",19.9530727,73.7607999,ChIJJZY3Rk3r3TsRxBAxrzeE2l0,https://www.google.com/maps/place/?q=place_id:ChIJJZY3Rk3r3TsRxBAxrzeE2l0,part_138,2026-09-22 06:01:09
"ACC Limited (Adani Cement), Chanda Cement Works",Cement and Sand Supplier,Cement Manufacturer,"Cement Manufacturer, Manufacturer",423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",+91 1800 103 3444,https://www.acclimited.com/,4.2,,"Cement Nagar, CEMENT NAGAR, Nakoda, Maharashtra 442502",Cement Nagar,19.922328399999998,79.1121328,ChIJAQAAEM_V0jsRzVuJOhWAu-o,https://www.google.com/maps/place/?q=place_id:ChIJAQAAEM_V0jsRzVuJOhWAu-o,part_138,2026-09-22 06:01:10
Subhashini sand suppliers,Cement and Sand Supplier,Sand & gravel supplier,Sand & gravel supplier,423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",+91 98493 86805,https://sites.google.com/view/subhashinisandsupply/,5.0,,"Sai Vaibhav Layout, Sai Aishwarya Layout, Chitrapuri Colony, Manikonda, Hyderabad, Telangana 500104","Sai Vaibhav Layout, Sai Aishwarya Layout, Chitrapuri Colony",17.418849599999998,78.37445869999999,ChIJN2D7z8yVyzsRCcxj15lvlcQ,https://www.google.com/maps/place/?q=place_id:ChIJN2D7z8yVyzsRCcxj15lvlcQ,part_138,2026-09-22 06:01:10
Arora Group Sandmines,Cement and Sand Supplier,Corporate office,Corporate office,423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",+91 33 4053 9999,http://www.sandmines.in/,4.3,,"1809, 18th Floor, SRIJAN CORPORATE PARK, Plot Plot G2, GP Block, Sector V, Bidhannagar, Kolkata, Bidhannagar, West Bengal 700091","GP Block, Sector V, Bidhannagar",22.5688209,88.4344088,ChIJVVVVVa51AjoRM5QwIPfHPZU,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVa51AjoRM5QwIPfHPZU,part_138,2026-09-22 06:01:10
JAMUNA INFRAPROJECTS PRIVATE LIMITED,Cement and Sand Supplier,Corporate office,Corporate office,423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",+91 253 246 8338,https://www.jamunainfra.com/,4.7,,"OFFICE NO 13,14,15 2nd FLOOR, Sai Plaza, COMPLEX, Nashik - Pune Hwy, near GURUDWARA, Gayakhe Colony, Deolali Gaon, Nashik, Maharashtra 422101","Gayakhe Colony, Deolali Gaon",19.9581114,73.831723,ChIJjUxDgD-V3TsRYa0GUJCq8A8,https://www.google.com/maps/place/?q=place_id:ChIJjUxDgD-V3TsRYa0GUJCq8A8,part_138,2026-09-22 06:01:11
MK Rmc,Cement and Sand Supplier,Ready mix concrete supplier,Ready mix concrete supplier,423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",+91 96040 30003,http://mkrmcpune.com/,5.0,,"QQXF+94, Bhamboli, Maharashtra 410501",423101,18.7981965,73.7724028,ChIJN48uKAC1wjsRFzIXuFTZ-vw,https://www.google.com/maps/place/?q=place_id:ChIJN48uKAC1wjsRFzIXuFTZ-vw,part_138,2026-09-22 06:01:11
Kanak Build Mart,Cement and Sand Supplier,Building materials store,Building materials store,423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",+91 80851 15300,N/A,4.4,,"opp. high school, Kuthrel, Chhattisgarh 491221",423101,21.0933673,81.2702395,ChIJCc8OG8w7KToRd8zuzDJhyGo,https://www.google.com/maps/place/?q=place_id:ChIJCc8OG8w7KToRd8zuzDJhyGo,part_138,2026-09-22 06:01:11
Chandan Traders,Cement and Sand Supplier,Building materials supplier,"Building materials supplier, Hardware store",423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",+91 70207 73291,N/A,4.6,,"53MV+G8F, Nara Rd, Near Bus Stop, Bhim Chowk, Jaripatka, Nagpur, Maharashtra 440014","Bhim Chowk, Jaripatka",21.1838139,79.0932931,ChIJBdx_hDvB1DsRtBHKjjBY17U,https://www.google.com/maps/place/?q=place_id:ChIJBdx_hDvB1DsRtBHKjjBY17U,part_138,2026-09-22 06:01:11
C M C Corporation,Cement and Sand Supplier,Building materials supplier,"Building materials supplier, Waterproofing service, Construction Material Wholesaler, Interior construction contractor, Water damage restoration service",423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",+91 70200 50427,http://www.cmccorporationpune.com/,4.7,,"First floor,Gayatri Heights, above Bikerzone, New DP Rd, next to Akshaynagar Phase II, Vishal Nagar, Pimple Nilakh, Pune, Maharashtra 411027","Akshay Nagar Society, Vishal Nagar, Pimple Nilakh",18.584806699999998,73.7822056,ChIJzVFAAWS_wjsRIAMG8Ory0z4,https://www.google.com/maps/place/?q=place_id:ChIJzVFAAWS_wjsRIAMG8Ory0z4,part_138,2026-09-22 06:01:11
Bijapure Steel,Cement and Sand Supplier,Steel distributor,Steel distributor,423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",+91 94220 39626,N/A,4.5,,"258,Poona-Banglore Road, opp. Akshata Karyalay, Malkapur, Maharashtra 415110",423101,17.265031699999998,74.177973,ChIJhTRZI_mCwTsRKHDubQmqarY,https://www.google.com/maps/place/?q=place_id:ChIJhTRZI_mCwTsRKHDubQmqarY,part_138,2026-09-22 06:01:11
Swaraj Cement Article,Cement and Sand Supplier,Marketing consultant,Marketing consultant,423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",+91 92707 10763,N/A,2.0,,"Shop No 1, Sangli Rd, Palus, Maharashtra 416310",423101,17.0875105,74.4735528,ChIJE7k5yJRtwTsRGBP64IGKWdI,https://www.google.com/maps/place/?q=place_id:ChIJE7k5yJRtwTsRGBP64IGKWdI,part_138,2026-09-22 06:01:11
Adarsh Sand Supplier,Cement and Sand Supplier,Building materials store,Building materials store,423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",+91 22 2445 1605,N/A,4.5,,"Reti Bunder, Bus Depot, opposite Mahim, Mahim West, Mahim, Mumbai, Maharashtra 400016","Mahim West, Mahim",19.0430483,72.8394608,ChIJ____by3J5zsRs1JlCBekCts,https://www.google.com/maps/place/?q=place_id:ChIJ____by3J5zsRs1JlCBekCts,part_138,2026-09-22 06:01:11
Chimbalkar Stone,Cement and Sand Supplier,Stone carving,Stone carving,423101,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Chandwad S.O, Talwade B.O, Adgaon B.O",N/A,N/A,4.3,,"XWWV+442, Pune - Nashik Hwy, Malwadi, Manchar, Maharashtra 410503",Malwadi,18.9952562,73.9427515,ChIJA9vqEjUx3TsRJvruQsBLfqU,https://www.google.com/maps/place/?q=place_id:ChIJA9vqEjUx3TsRJvruQsBLfqU,part_138,2026-09-22 06:01:11
