business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Anil Department Store,Departmental Store,General store,General store,423104,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Manmad S.O, Ankai B.O, Daregaon B.O",N/A,N/A,5.0,1.0,"Chatrapati Shivaji Maharaj Chowk, Opposit Opposite Bank of Maharashtra Arvind Chambers, Manmad, Maharashtra 423104",Ahmed Nagar,20.2510068,74.4384448,ChIJDZ1h6D4l3DsRfq74342s-bI,https://www.google.com/maps/place/?q=place_id:ChIJDZ1h6D4l3DsRfq74342s-bI,part_138,2026-09-22 06:02:08
Jay Nageswar Dal Mill,Departmental Store,Grocery store,Grocery store,423104,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Manmad S.O, Ankai B.O, Daregaon B.O",N/A,N/A,4.6,14.0,"At Po Nagapur, Manmad, Nagapur, Maharashtra 423104",423104,20.2652941,74.4775803,ChIJA5QVhiUl3DsR9XgDXgQmZbA,https://www.google.com/maps/place/?q=place_id:ChIJA5QVhiUl3DsR9XgDXgQmZbA,part_138,2026-09-22 06:02:08
shri sai Kirana stores (karad),Departmental Store,Store,Store,423104,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Manmad S.O, Ankai B.O, Daregaon B.O",N/A,N/A,4.4,16.0,"6CVP+WJR, Manmad Camp, Manmad, Maharashtra 423104",Manmad Camp,20.244855899999997,74.4365308,ChIJaxgWwgkl3DsRRnWmBzfm8Wg,https://www.google.com/maps/place/?q=place_id:ChIJaxgWwgkl3DsRRnWmBzfm8Wg,part_138,2026-09-22 06:02:08
D S KIRANA SHOP,Departmental Store,Grocery store,Grocery store,423104,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Manmad S.O, Ankai B.O, Daregaon B.O",+91 99603 20983,N/A,5.0,2.0,"7G64+3R4, Manmad, Panewadi, Maharashtra 423104",423104,20.2601412,74.5070872,ChIJAYLrK48j3DsReCTlQofi7uU,https://www.google.com/maps/place/?q=place_id:ChIJAYLrK48j3DsReCTlQofi7uU,part_138,2026-09-22 06:02:08
Shree Paras Supermarket,Departmental Store,Supermarket,Supermarket,423104,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Manmad S.O, Ankai B.O, Daregaon B.O",N/A,N/A,4.1,,"HGC4+QPJ, Camp, Malegaon, Maharashtra 423105",Camp,20.5721261,74.5071785,ChIJm8znrX6Z3jsRfSz6X7qbMhA,https://www.google.com/maps/place/?q=place_id:ChIJm8znrX6Z3jsRfSz6X7qbMhA,part_138,2026-09-22 06:02:08
H.R. BAZAAR,Departmental Store,Grocery store,Grocery store,423104,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Manmad S.O, Ankai B.O, Daregaon B.O",N/A,N/A,4.9,,"Bag'e Abdullah, New Bus stand, Kusumba Rd, near Hashmi Hospital, Dnyane, Malegaon, Maharashtra 423203",Dnyane,20.5558731,74.5338488,ChIJDZSoWwCZ3jsRvhTFir2nAAw,https://www.google.com/maps/place/?q=place_id:ChIJDZSoWwCZ3jsRvhTFir2nAAw,part_138,2026-09-22 06:02:08
Shree Paras Super Market,Departmental Store,Supermarket,Supermarket,423104,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Manmad S.O, Ankai B.O, Daregaon B.O",+91 94059 01912,N/A,4.0,,"Soygaon Kirana Market, Soygaon, Malegaon, Maharashtra 423203",Soygaon,20.5587882,74.518137,ChIJ-VSt7OuZ3jsREG_NlAQ1uR4,https://www.google.com/maps/place/?q=place_id:ChIJ-VSt7OuZ3jsREG_NlAQ1uR4,part_138,2026-09-22 06:02:08
D-Mart Malegaon,Departmental Store,Grocery store,Grocery store,423104,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Manmad S.O, Ankai B.O, Daregaon B.O",N/A,N/A,4.2,,"Girna Auto Nagar, old nashik highway, Malegaon, Chandanpuri, Maharashtra 423203",423104,20.5347707,74.5163512,ChIJAxWOPACZ3jsRaR997qERoPs,https://www.google.com/maps/place/?q=place_id:ChIJAxWOPACZ3jsRaR997qERoPs,part_138,2026-09-22 06:02:08
विठाई होलसेल किराणा,Departmental Store,Grocery store,Grocery store,423104,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Manmad S.O, Ankai B.O, Daregaon B.O",+91 77096 44317,N/A,5.0,,"8M2G+FM3, Gangadhari, Maharashtra 423106",423104,20.3010403,74.6770525,ChIJATEbOQAZ3DsRZNGw8v8UDVg,https://www.google.com/maps/place/?q=place_id:ChIJATEbOQAZ3DsRZNGw8v8UDVg,part_138,2026-09-22 06:02:08
Suyash Stores,Departmental Store,General store,General store,423104,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Manmad S.O, Ankai B.O, Daregaon B.O",+91 2591 223 215,N/A,4.6,,"Shivaji Chowk, Manmad, Maharashtra 423104",Shivaji Chowk,20.2520026,74.438368,ChIJD9-0d6Yl3DsRrjn58DS6ccE,https://www.google.com/maps/place/?q=place_id:ChIJD9-0d6Yl3DsRrjn58DS6ccE,part_138,2026-09-22 06:02:09
