business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GAURI SPEAR PARTS,Auto Spare Parts Shop,Auto parts store,Auto parts store,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 84599 82918,N/A,5.0,3.0,"SHOP NO 01, HOTEL LINE NATIONAL, DAWAT DHABA, Malegaon - Chalisagaon Rd, Malegaon, Maharashtra 423105",423105,20.5643322,74.5645078,ChIJsWTw0nGZ3jsRcDQFDigXJf8,https://www.google.com/maps/place/?q=place_id:ChIJsWTw0nGZ3jsRcDQFDigXJf8,part_138,2026-09-22 06:03:01
New Chintamani Auto Parts,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Two Wheeler Repair Shop",423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,4.3,4.0,"Shop No.1, Ashapuri Plaza, College Rd Ravalgaon naka, Camp, Malegaon, Maharashtra 423105",Camp,20.568752,74.51304,ChIJVRrlHeWZ3jsRTpZYXxvPSns,https://www.google.com/maps/place/?q=place_id:ChIJVRrlHeWZ3jsRTpZYXxvPSns,part_138,2026-09-22 06:03:01
Piyush Auto Parts,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Auto repair shop",423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 96650 91898,N/A,,,"1, Old Agra Rd, near Devi Temple, Osiya Nagar, Maloji nagar, Malegaon, Maharashtra 423203","Osiya Nagar, Maloji nagar",20.5516014,74.5249056,ChIJM9FMTr6Z3jsRLcHnlEN53hE,https://www.google.com/maps/place/?q=place_id:ChIJM9FMTr6Z3jsRLcHnlEN53hE,part_138,2026-09-22 06:03:01
Madina Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 92705 14646,N/A,4.0,3.0,"Apna Supermarket, 03, Imdad Nagar, Malegaon, Maharashtra 423203",Imdad Nagar,20.5548555,74.53823369999999,ChIJNymynAaZ3jsR6y7zNyv1OWM,https://www.google.com/maps/place/?q=place_id:ChIJNymynAaZ3jsR6y7zNyv1OWM,part_138,2026-09-22 06:03:01
Bharat auto parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 98226 40963,N/A,5.0,2.0,"Shop no 02, near, Old Agra Rd, Nayapura, Malegaon, Maharashtra 423203",Nayapura,20.554386299999997,74.53701439999999,ChIJrYYvtuGZ3jsRuVQi7MvPMQI,https://www.google.com/maps/place/?q=place_id:ChIJrYYvtuGZ3jsRuVQi7MvPMQI,part_138,2026-09-22 06:03:01
Adyan Juna Spare Parts,Auto Spare Parts Shop,Auto repair shop,Auto repair shop,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 89835 25250,N/A,5.0,1.0,"Kusumba Rd, Ramzanpura, Malegaon, Maharashtra 423203",Ramzanpura,20.5591912,74.53371419999999,ChIJqVG3YFeZ3jsRVxmojoM2mn0,https://www.google.com/maps/place/?q=place_id:ChIJqVG3YFeZ3jsRVxmojoM2mn0,part_138,2026-09-22 06:03:01
Novelty Auto Spare Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,5.0,2.0,"killa, Jhopde Ki Masjid, ke samne, Gulshanabad, Malegaon, Maharashtra 423203",Gulshanabad,20.543846,74.5303716,ChIJx1OX_4yZ3jsR6OBJGbD84yY,https://www.google.com/maps/place/?q=place_id:ChIJx1OX_4yZ3jsR6OBJGbD84yY,part_138,2026-09-22 06:03:01
Gulf Retail Shop - Bharat Auto Parts-malegaon,Auto Spare Parts Shop,Store,Store,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 91525 00121,https://unnati.india.gulfoilltd.com/gulf-retail-shop-bharat-auto-parts-malegaon-oil-store-malegaon-malegaon-322431/Home?utm_source=locator&utm_medium=googleplaces,5.0,4.0,"Ground Floor, Malegaon, Maharashtra 423203",423105,20.566383,74.56401799999999,ChIJWwl2cXaZ3jsRsl0vRTmNDmo,https://www.google.com/maps/place/?q=place_id:ChIJWwl2cXaZ3jsRsl0vRTmNDmo,part_138,2026-09-22 06:03:01
Sagar auto spars parts,Auto Spare Parts Shop,Motorcycle parts store,Motorcycle parts store,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 98344 61519,N/A,,,"New varthman school, Golden Nagar, Malegaon, Maharashtra 423203",Golden Nagar,20.5451865,74.52793439999999,ChIJ6VwjasaZ3jsRr4-s_uP6vtA,https://www.google.com/maps/place/?q=place_id:ChIJ6VwjasaZ3jsRr4-s_uP6vtA,part_138,2026-09-22 06:03:01
SAI SHRADDHA CAR DECOR AND ACCESSORIES,Auto Spare Parts Shop,Auto parts store,Auto parts store,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 88301 03755,N/A,5.0,,"Front Of Pancganga Mahindra Showroom, Express Tower, Malegaon, Maharashtra 423203","Jyoti Nagar, Osiya Nagar, Maloji nagar",20.5462669,74.52363799999999,ChIJvcZC_V2Z3jsRs8FVbwLbduA,https://www.google.com/maps/place/?q=place_id:ChIJvcZC_V2Z3jsRs8FVbwLbduA,part_138,2026-09-22 06:03:01
