business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Anjanai Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 94228 08319,N/A,5.0,,"HQ32+732, Kalwadi, Maharashtra 423105",423105,20.5531428,74.75013969999999,ChIJH51z5gml3jsRXCGzgorTXYs,https://www.google.com/maps/place/?q=place_id:ChIJH51z5gml3jsRXCGzgorTXYs,part_138,2026-09-22 06:02:56
Shree Sai Care Multispeciality Hospital | Malegaon,Multispeciality Hospital,Hospital,Hospital,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,5.0,,"Old Agra Rd, next to Panchganga Honda Showroom, behind the Panchganga Honda Showroom, Jyoti Nagar, Sangameshwar, Malegaon, Maharashtra 423203","Jyoti Nagar, Sangameshwar",20.5494012,74.52559699999999,ChIJTdY5jXmZ3jsRdMks7PsEkm4,https://www.google.com/maps/place/?q=place_id:ChIJTdY5jXmZ3jsRdMks7PsEkm4,part_138,2026-09-22 06:02:56
Dwarkamani Hospital,Multispeciality Hospital,General hospital,"General hospital, Hospital",423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 2554 250 081,N/A,4.4,,"HG3C+C6X, NH 3, Osiya Nagar, Maloji nagar, Malegaon, Maharashtra 423203","Osiya Nagar, Maloji nagar",20.5536228,74.5206154,ChIJK_aWIpWZ3jsRUjVYA111oGU,https://www.google.com/maps/place/?q=place_id:ChIJK_aWIpWZ3jsRUjVYA111oGU,part_138,2026-09-22 06:02:56
Chintamani Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 2554 252 423,N/A,5.0,,"Satana Road, Satana Naka, 2, opp. Gangamay Mangal Karyalaya, Satana Naka, Malegaon, Maharashtra 423203","Satana Naka, Soygaon",20.5523639,74.51557749999999,ChIJp3lVbZOZ3jsR56-JHS8Rlc8,https://www.google.com/maps/place/?q=place_id:ChIJp3lVbZOZ3jsR56-JHS8Rlc8,part_138,2026-09-22 06:02:56
Hridayam Ayurved MultiSpeciality Panchkarma Hospital,Multispeciality Hospital,Ayurvedic clinic,Ayurvedic clinic,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 94223 25113,N/A,4.8,,"Vishwas, Tuljai Complex, Front of Anand Nursing Home, Satana Naka, Soygaon, Malegaon, Maharashtra 423203","Satana Naka, Soygaon",20.5530673,74.5167077,ChIJh59hi2iZ3jsRJbppSb3RQa0,https://www.google.com/maps/place/?q=place_id:ChIJh59hi2iZ3jsRJbppSb3RQa0,part_138,2026-09-22 06:02:56
Lotus Hospital,Multispeciality Hospital,Hospital,Hospital,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 2554 251 122,N/A,4.0,,"Church Gate Rd, Camp, Malegaon, Maharashtra 423105",Camp,20.5680929,74.50790099999999,ChIJC8-_VPqZ3jsR9iRI7OHcS5Y,https://www.google.com/maps/place/?q=place_id:ChIJC8-_VPqZ3jsR9iRI7OHcS5Y,part_138,2026-09-22 06:02:56
HEALTH CARE Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,5.0,,"24, Panjra Pol Shopping Center, Old Agra Rd, near Shivaji Statue, Nayapura, Malegaon, Maharashtra 423203",Nayapura,20.5546755,74.5303508,ChIJV4mC-q6Z3jsRYXmVlFBRRR4,https://www.google.com/maps/place/?q=place_id:ChIJV4mC-q6Z3jsRYXmVlFBRRR4,part_138,2026-09-22 06:02:56
Suvidha Hospital multispeciality surgical &critical trauma care,Multispeciality Hospital,Hospital,Hospital,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,3.6,,"HG39+C8J, Soygaon, Malegaon, Maharashtra 423203",Soygaon,20.553597699999997,74.51827109999999,ChIJGaXfvpSZ3jsR8_g98curOc0,https://www.google.com/maps/place/?q=place_id:ChIJGaXfvpSZ3jsR8_g98curOc0,part_138,2026-09-22 06:02:56
Sahara Hospital,Multispeciality Hospital,Hospital,Hospital,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,3.8,,"Nayapura, Malegaon, Maharashtra 423203",Nayapura,20.55428,74.533165,ChIJl6eoOLiZ3jsRZ2bqhuxi5sk,https://www.google.com/maps/place/?q=place_id:ChIJl6eoOLiZ3jsRZ2bqhuxi5sk,part_138,2026-09-22 06:02:56
New Faran Hospital,Multispeciality Hospital,Hospital,Hospital,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 92252 35686,N/A,4.5,,"Old Agra Rd, Malegaon, Maharashtra 423203",423105,20.5623582,74.5498702,ChIJ-0oHZjSY3jsRLZYhc0os6ZA,https://www.google.com/maps/place/?q=place_id:ChIJ-0oHZjSY3jsRLZYhc0os6ZA,part_138,2026-09-22 06:02:56
Sara Accident Hospital & Dental Clinic,Multispeciality Hospital,Hospital,Hospital,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 89561 18492,N/A,5.0,,"HH72+PQ2, Daregaon, Malegaon, Maharashtra 423203",Daregaon,20.5642736,74.5518972,ChIJpZoTHQCZ3jsR2MeOZh9WoRs,https://www.google.com/maps/place/?q=place_id:ChIJpZoTHQCZ3jsR2MeOZh9WoRs,part_138,2026-09-22 06:02:56
Sukhkarta Hospital,Multispeciality Hospital,Hospital,Hospital,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 2554 253 099,N/A,4.6,,"HG3C+WXM, Soygaon, Malegaon, Maharashtra 423203",Soygaon,20.554838,74.5224369,ChIJYbHcU5WZ3jsRMLotv3gSsAQ,https://www.google.com/maps/place/?q=place_id:ChIJYbHcU5WZ3jsRMLotv3gSsAQ,part_138,2026-09-22 06:02:56
