business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sharp Textile Cloth Manufacturing,Uniform Manufacturer,Clothes and fabric manufacturer,Clothes and fabric manufacturer,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,5.0,2.0,"HH55+RQ8, Sardar Nagar, Sanjari Nagar, Malegaon, Maharashtra 423203","Sardar Nagar, Sanjari Nagar",20.5595429,74.5595044,ChIJZd2rPgCZ3jsRK6VcMAPWX9Y,https://www.google.com/maps/place/?q=place_id:ChIJZd2rPgCZ3jsRK6VcMAPWX9Y,part_138,2026-09-22 06:02:55
LR Rahemaniya Sizing Works,Uniform Manufacturer,Clothing manufacturer,Clothing manufacturer,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,5.0,1.0,"HH25+649, Sardar Nagar, Nayapura, Malegaon, Maharashtra 423203","Sardar Nagar, Nayapura",20.550529299999997,74.5578456,ChIJ49R1WHGZ3jsRCHpuJy20NEg,https://www.google.com/maps/place/?q=place_id:ChIJ49R1WHGZ3jsRCHpuJy20NEg,part_138,2026-09-22 06:02:55
BLUE BIRD SIZING,Uniform Manufacturer,Clothing manufacturer,Clothing manufacturer,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,5.0,7.0,"HG2V+VRW, Sardar Nagar, Golden Nagar, Malegaon, Maharashtra 423203","Sardar Nagar, Golden Nagar",20.552225699999997,74.5445895,ChIJkwzHmbSZ3jsR8klAS75yeO4,https://www.google.com/maps/place/?q=place_id:ChIJkwzHmbSZ3jsR8klAS75yeO4,part_138,2026-09-22 06:02:55
Neelam Pari Textile Cloth Manufacturing,Uniform Manufacturer,Clothes and fabric manufacturer,Clothes and fabric manufacturer,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,1.0,1.0,"GHX4+878, Malegaon, Maharashtra 423203",423105,20.548281499999998,74.5557144,ChIJVWB5dwCZ3jsR70eN9BTmLd8,https://www.google.com/maps/place/?q=place_id:ChIJVWB5dwCZ3jsR70eN9BTmLd8,part_138,2026-09-22 06:02:55
Kitab wala park,Uniform Manufacturer,Clothes and fabric manufacturer,Clothes and fabric manufacturer,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,5.0,3.0,"GHV7+MRF, Malegaon, Savandgaon, Maharashtra 423105",423105,20.5441857,74.5645493,ChIJ0T_hJwCZ3jsRZoihHXd6af4,https://www.google.com/maps/place/?q=place_id:ChIJ0T_hJwCZ3jsRZoihHXd6af4,part_138,2026-09-22 06:02:55
Silver King Sizing Works,Uniform Manufacturer,Clothing manufacturer,Clothing manufacturer,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 98230 43883,N/A,4.5,4.0,"HG2V+RXW, Sardar Nagar, Hassanpura, Malegaon, Maharashtra 423203","Sardar Nagar, Hassanpura",20.552118099999998,74.54494439999999,ChIJebxrorSZ3jsRqtPsXoGrog4,https://www.google.com/maps/place/?q=place_id:ChIJebxrorSZ3jsRqtPsXoGrog4,part_138,2026-09-22 06:02:55
Anika Sizers,Uniform Manufacturer,Clothing manufacturer,Clothing manufacturer,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 92700 72815,N/A,5.0,2.0,"Daregaon, Malegaon, Maharashtra 423203",Daregaon,20.5637917,74.5525772,ChIJb-1jUzGY3jsR77f15pIyJpw,https://www.google.com/maps/place/?q=place_id:ChIJb-1jUzGY3jsR77f15pIyJpw,part_138,2026-09-22 06:02:55
AANCHAL AMBER SYNTHETIC,Uniform Manufacturer,Clothes and fabric manufacturer,Clothes and fabric manufacturer,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,5.0,1.0,"S.NO.132,P.NO.08, near YASEEN MASJID, Golden Nagar, Malegaon, Maharashtra 423203","Sardar Nagar, Golden Nagar",20.555391999999998,74.5458068,ChIJKW_CN-uZ3jsRrGUbnzD0CUI,https://www.google.com/maps/place/?q=place_id:ChIJKW_CN-uZ3jsRrGUbnzD0CUI,part_138,2026-09-22 06:02:55
Hamdam Enterprises,Uniform Manufacturer,Clothes and fabric manufacturer,Clothes and fabric manufacturer,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",+91 98233 28890,N/A,,,"Malegaon, Maharashtra 423203",423105,20.5419654,74.5568792,ChIJS3hcbVmZ3jsRzgzI1AAqIQc,https://www.google.com/maps/place/?q=place_id:ChIJS3hcbVmZ3jsRzgzI1AAqIQc,part_138,2026-09-22 06:02:55
Dilip Cotex Pvt.Ltd.,Uniform Manufacturer,Textile mill,Textile mill,423105,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Malegaon Camp S.O, Chinchgavan B.O, Dahiwal B.O",N/A,N/A,4.2,10.0,"HHCH+47M, Sayane Bk, Mini MIDC, Malegaon, Maharashtra 423105","Sayane Bk, Mini MIDC",20.570334499999998,74.57818329999999,ChIJkaWpch2Z3jsRKNYaswNAp9E,https://www.google.com/maps/place/?q=place_id:ChIJkaWpch2Z3jsRKNYaswNAp9E,part_138,2026-09-22 06:02:55
