business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mangala poultry farm Nandgaon,Meat and Poultry Shop,Poultry farm,Poultry farm,423106,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nandgaon S.O, Bangaon B.O, Bhalur B.O",N/A,N/A,5.0,,"67RP+89, Vitave, Maharashtra 423101",423106,20.240764,74.2859945,ChIJp_mtfFot3DsR-H0jewQd36M,https://www.google.com/maps/place/?q=place_id:ChIJp_mtfFot3DsR-H0jewQd36M,part_138,2026-09-22 06:03:27
Maharashtra Poultry Pvt Ltd,Meat and Poultry Shop,Poultry farm,Poultry farm,423106,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nandgaon S.O, Bangaon B.O, Bhalur B.O",+91 88056 59599,https://www.everydayeggs.in/,4.1,,"Gat No. 341/B, Girnara, Dugaon, Maharashtra 422203",423106,20.071576099999998,73.67528759999999,ChIJHXRAiTfu3TsR4KHZGNXBs8A,https://www.google.com/maps/place/?q=place_id:ChIJHXRAiTfu3TsR4KHZGNXBs8A,part_138,2026-09-22 06:03:27
जिजाई अग्रो फार्म,Meat and Poultry Shop,Farm,"Farm, Farmers' market, Poultry farm",423106,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nandgaon S.O, Bangaon B.O, Bhalur B.O",N/A,N/A,,,"मोरझर, Nandgaon, Maharashtra 423106",423106,20.2617504,74.6279799,ChIJs-q4biAZ3DsRyp6JFy8JQZA,https://www.google.com/maps/place/?q=place_id:ChIJs-q4biAZ3DsRyp6JFy8JQZA,part_138,2026-09-22 06:03:27
usman poultry farm,Meat and Poultry Shop,Poultry farm,Poultry farm,423106,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nandgaon S.O, Bangaon B.O, Bhalur B.O",N/A,N/A,5.0,1.0,"132kv sub station, bela gaon road, near vaijapur, NMC Colony, Vaijapur, Vaijapur Rural, Maharashtra 423701",NMC Colony,19.922509299999998,74.71125459999999,ChIJ7U5VYR1v3DsRqdyKv5VLRX4,https://www.google.com/maps/place/?q=place_id:ChIJ7U5VYR1v3DsRqdyKv5VLRX4,part_138,2026-09-22 06:03:28
ANUJA POULTRY FARM,Meat and Poultry Shop,Poultry farm,Poultry farm,423106,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nandgaon S.O, Bangaon B.O, Bhalur B.O",N/A,N/A,5.0,4.0,"H4VF+FP9, Jawale Kadlag, Maharashtra 422605",423106,19.5936724,74.1243582,ChIJ9wwqHTcB3TsRmbvuObu8O3Q,https://www.google.com/maps/place/?q=place_id:ChIJ9wwqHTcB3TsRmbvuObu8O3Q,part_138,2026-09-22 06:03:28
Manoj Ambre EC poultry,Meat and Poultry Shop,Poultry farm,Poultry farm,423106,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nandgaon S.O, Bangaon B.O, Bhalur B.O",N/A,N/A,5.0,2.0,"H3RQ+P82, Ganore, Maharashtra 422605",423106,19.591771599999998,74.0882587,ChIJU9p6BgAH3TsRHTFVu4kfvY4,https://www.google.com/maps/place/?q=place_id:ChIJU9p6BgAH3TsRHTFVu4kfvY4,part_138,2026-09-22 06:03:28
Bhavsar Agro Farm,Meat and Poultry Shop,Poultry farm,Poultry farm,423106,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nandgaon S.O, Bangaon B.O, Bhalur B.O",N/A,N/A,5.0,14.0,"Bhavsar Agro Farm, 308/2, link Road, shirpur, Sarangkheda, Maharashtra 425410",shirpur,21.4727979,74.5367292,ChIJiR5-8ugV3zsRkevWcSbqpwE,https://www.google.com/maps/place/?q=place_id:ChIJiR5-8ugV3zsRkevWcSbqpwE,part_138,2026-09-22 06:03:28
"Amrut Chicks, pvt/ltd",Meat and Poultry Shop,Poultry farm,Poultry farm,423106,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nandgaon S.O, Bangaon B.O, Bhalur B.O",N/A,N/A,4.0,16.0,"H7W7+2QQ, VadgaonPan, Maharashtra 422605",423106,19.5950868,74.2644699,ChIJQ-XaXyP_3DsR2dGVPFXEjSs,https://www.google.com/maps/place/?q=place_id:ChIJQ-XaXyP_3DsR2dGVPFXEjSs,part_138,2026-09-22 06:03:28
Shraddha Ec Poultry farm,Meat and Poultry Shop,Poultry farm,Poultry farm,423106,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nandgaon S.O, Bangaon B.O, Bhalur B.O",N/A,N/A,4.7,3.0,"wadgaon landga, Tal: Sangamner, Sanganner, Maharashtra 422603",423106,19.5736666,74.0932885,ChIJ11qqplgH3TsR5YWhfFA-Sm0,https://www.google.com/maps/place/?q=place_id:ChIJ11qqplgH3TsR5YWhfFA-Sm0,part_138,2026-09-22 06:03:28
Anusaya EC Poultry Farm(more),Meat and Poultry Shop,Farm,Farm,423106,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nandgaon S.O, Bangaon B.O, Bhalur B.O",+91 99216 43027,N/A,4.7,3.0,"H488+RVC, Vadgaon Landga, Maharashtra 422603",423106,19.567063299999997,74.1171397,ChIJ79EXAAAH3TsR4uKclTEMQ7k,https://www.google.com/maps/place/?q=place_id:ChIJ79EXAAAH3TsR4uKclTEMQ7k,part_138,2026-09-22 06:03:28
