business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fish Market,Fish Market,General store,General store,423107,Maharashtra Circle,Pune Region,Shrirampur Division,"Rahata S.O, Astgaon B.O, Kelwad B.O",+91 86057 88661,N/A,,,"Shop No 01, Fish Market, Bajartal, Rahata, Maharashtra 423107",Bajartal,19.718135099999998,74.4783221,ChIJJeIfK2JZ3DsRyZFku0MLPng,https://www.google.com/maps/place/?q=place_id:ChIJJeIfK2JZ3DsRyZFku0MLPng,part_138,2026-09-22 06:04:06
Fish zone aquarium and pet shop,Fish Market,Aquarium shop,Aquarium shop,423107,Maharashtra Circle,Pune Region,Shrirampur Division,"Rahata S.O, Astgaon B.O, Kelwad B.O",+91 88301 75733,N/A,4.7,7.0,"Sai plaza complex, near kundan petrol, Rahata, Maharashtra 423107",423107,19.7108791,74.4800345,ChIJuSfuctRZ3DsRyirTCNbapic,https://www.google.com/maps/place/?q=place_id:ChIJuSfuctRZ3DsRyirTCNbapic,part_138,2026-09-22 06:04:06
Sahil Dry Fish,Fish Market,General store,General store,423107,Maharashtra Circle,Pune Region,Shrirampur Division,"Rahata S.O, Astgaon B.O, Kelwad B.O",+91 89756 10877,N/A,,,"Shop No 1, Rahuri, Nagar, Manmad Rd, Rahuri Factory, Maharashtra 423107",Rahuri Factory,19.690279999999998,74.48464899999999,ChIJHzgXODdZ3DsROvaDNqCaylU,https://www.google.com/maps/place/?q=place_id:ChIJHzgXODdZ3DsROvaDNqCaylU,part_138,2026-09-22 06:04:06
New Bharat Chicken And Fish Shop,Fish Market,Food court,Food court,423107,Maharashtra Circle,Pune Region,Shrirampur Division,"Rahata S.O, Astgaon B.O, Kelwad B.O",+91 87882 34709,N/A,,,"01, Ahmednagar, Maharashtra 423107",Mahatma Phule Nagar,19.7145173,74.4840182,ChIJPXOoODdZ3DsRTQ73amDtY7A,https://www.google.com/maps/place/?q=place_id:ChIJPXOoODdZ3DsRTQ73amDtY7A,part_138,2026-09-22 06:04:06
Srs Dry Fish Marchant,Fish Market,Grocery store,"Grocery store, Food court",423107,Maharashtra Circle,Pune Region,Shrirampur Division,"Rahata S.O, Astgaon B.O, Kelwad B.O",+91 95958 34875,N/A,3.8,5.0,"5M, Ahilyanagar- Manmad Rd, Ahilyanagar, Astagaon, Maharashtra 423107",423107,19.6680524,74.5051269,ChIJNVVH-Epf3DsRZzCNbG7NrlI,https://www.google.com/maps/place/?q=place_id:ChIJNVVH-Epf3DsRZzCNbG7NrlI,part_138,2026-09-22 06:04:06
Savalivihir Weekly Market,Fish Market,Market,Market,423107,Maharashtra Circle,Pune Region,Shrirampur Division,"Rahata S.O, Astgaon B.O, Kelwad B.O",N/A,N/A,4.0,221.0,"RF39+FXF, Sawali Vihir Bk., Maharashtra 423109",423107,19.8036751,74.4699287,ChIJ1YkLAhRb3DsR6AfQUg9lelM,https://www.google.com/maps/place/?q=place_id:ChIJ1YkLAhRb3DsR6AfQUg9lelM,part_138,2026-09-22 06:04:06
RUTUJA FISH,Fish Market,General store,General store,423107,Maharashtra Circle,Pune Region,Shrirampur Division,"Rahata S.O, Astgaon B.O, Kelwad B.O",+91 90118 23307,N/A,5.0,1.0,"Shop No 2 Main Road Bajar Tal Loni 423107, Maharashtra 413713",423107,19.5781736,74.46855339999999,ChIJt5RtnYr33DsRrb7akImg_F0,https://www.google.com/maps/place/?q=place_id:ChIJt5RtnYr33DsRrb7akImg_F0,part_138,2026-09-22 06:04:07
Yash fish shop,Fish Market,General store,General store,423107,Maharashtra Circle,Pune Region,Shrirampur Division,"Rahata S.O, Astgaon B.O, Kelwad B.O",+91 87884 61516,N/A,,,"साई आर बी एन समोर, रोड हाॅटेल, Sai Nagar, Pimpalwadi, Shirdi, Maharashtra 423109",Sai Nagar,19.763334,74.4779337,ChIJDdTZMH9b3DsREs6cVCj6CyY,https://www.google.com/maps/place/?q=place_id:ChIJDdTZMH9b3DsREs6cVCj6CyY,part_138,2026-09-22 06:04:07
Humaira Dry Fish Center,Fish Market,General store,General store,423107,Maharashtra Circle,Pune Region,Shrirampur Division,"Rahata S.O, Astgaon B.O, Kelwad B.O",+91 98904 28288,N/A,,,"Shop No 1, Grampanchayat Road, near ZP School, Loni Kh., Maharashtra 423107",423107,19.5810577,74.4675718,ChIJG6KzU9H33DsRYdcJ1eDWTwE,https://www.google.com/maps/place/?q=place_id:ChIJG6KzU9H33DsRYdcJ1eDWTwE,part_138,2026-09-22 06:04:07
DILIP FISH CENTRE,Fish Market,General store,General store,423107,Maharashtra Circle,Pune Region,Shrirampur Division,"Rahata S.O, Astgaon B.O, Kelwad B.O",+91 99604 58092,N/A,,,"Shop No 2 Main Road Bajar Tal Loni Bk 423107, Maharashtra 413713",423107,19.5782071,74.4685606,ChIJK7XIdQn33DsR2pkILgo-JCM,https://www.google.com/maps/place/?q=place_id:ChIJK7XIdQn33DsR2pkILgo-JCM,part_138,2026-09-22 06:04:07
