business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Dr. Harshal Sonawane MBBS, M.S. E.N.T.",ENT Clinic,ENT Specialist,ENT Specialist,423117,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Vadali Bhoi S.O, Bhayale B.O, Dhodamba B.O",N/A,N/A,4.7,,"Sankalp Speciality Hospital Dhanvantari Marg, Vallabh Nagar, Agra - Mumbai Rd, behind Chhan Hotel, Mumbai Naka, Nashik, Maharashtra 422009","Mumbai Naka, Deepali Nagar",19.9831011,73.7857518,ChIJL53REVPr3TsRezvLQi3VWII,https://www.google.com/maps/place/?q=place_id:ChIJL53REVPr3TsRezvLQi3VWII,part_138,2026-09-22 06:07:34
Ashirwad ENT & Maternity hospital - Ent Specialist Hadapsar,ENT Clinic,ENT Specialist,"ENT Specialist, Doctor, Obstetrician-gynecologist, Hospital, Medical clinic, Otolaryngology clinic",423117,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Vadali Bhoi S.O, Bhayale B.O, Dhodamba B.O",+91 94205 10120,https://ashirwadhospitalpune.in/,4.4,,"Flat no 1, Satyalok Commercial Complex, opp. 41 city hub, Gadital, Hadapsar, Pune, Maharashtra 411028","Gadital, Hadapsar",18.5003447,73.94000799999999,ChIJF-GYDuXpwjsRKyI3W29ES2I,https://www.google.com/maps/place/?q=place_id:ChIJF-GYDuXpwjsRKyI3W29ES2I,part_138,2026-09-22 06:07:34
Torne ENT Hospital,ENT Clinic,ENT Specialist,"ENT Specialist, Private hospital",423117,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Vadali Bhoi S.O, Bhayale B.O, Dhodamba B.O",+91 253 257 0125,https://www.torneent.com/,3.5,,"Ahilyadevi Holkar Marg, Mumbai Naka, near Mahamarg Bus Stand, Nashik, Maharashtra 422002","Mumbai Naka, Matoshree Nagar",19.989453899999997,73.7798822,ChIJS-fyOgHr3TsRYR5XnLGOrL4,https://www.google.com/maps/place/?q=place_id:ChIJS-fyOgHr3TsRYR5XnLGOrL4,part_138,2026-09-22 06:07:34
A Plus Clinic,ENT Clinic,ENT Specialist,"ENT Specialist, Allergist, Dermatologist, Ear piercing service, Endoscopist, Hair transplantation clinic, Hearing aid store, Skin care clinic, Speech & Hearing Specialist",423117,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Vadali Bhoi S.O, Bhayale B.O, Dhodamba B.O",+91 76780 30070,http://www.apluscosmetic.in/,4.7,,"Office 18,first floor, Neelkanth Darshan Society, opposite Orion Mall, above Waman Hari Pethe Sons, Old Panvel, Panvel, Maharashtra 410206","Old Panvel, Panvel",18.993465399999998,73.1144157,ChIJL_5kBWjo5zsRxGG1Ag3XGNw,https://www.google.com/maps/place/?q=place_id:ChIJL_5kBWjo5zsRxGG1Ag3XGNw,part_138,2026-09-22 06:07:34
Prathmesh ENT Hospital,ENT Clinic,Hospital,Hospital,423117,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Vadali Bhoi S.O, Bhayale B.O, Dhodamba B.O",+91 2164 226 169,N/A,3.1,,"Shaniwar Peth, Karad, Maharashtra 415110",Shaniwar Peth,17.2756615,74.1812704,ChIJr0WyuFCCwTsRhBy8YoP67EI,https://www.google.com/maps/place/?q=place_id:ChIJr0WyuFCCwTsRhBy8YoP67EI,part_138,2026-09-22 06:07:34
Ramesh ENT Hospital,ENT Clinic,Otolaryngology clinic,Otolaryngology clinic,423117,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Vadali Bhoi S.O, Bhayale B.O, Dhodamba B.O",+91 2462 239 781,N/A,4.6,,"FIRST FLOOR, DOCTOR'S PLAZA, Dr Lane Rd Number 1, below Lotus Hospital, Doctor Lane, Khadakpura, Nanded, Maharashtra 431601","Doctor Lane, Khadakpura",19.158233499999998,77.3088501,ChIJlfkWLGjW0TsRsb1PkBNQONI,https://www.google.com/maps/place/?q=place_id:ChIJlfkWLGjW0TsRsb1PkBNQONI,part_138,2026-09-22 06:07:34
Healing Touch Clinic - Dr Sarika Sonawane (ENT Surgeon) | Dr Darshan Sonawane (Orthopaedic Surgeon),ENT Clinic,ENT Specialist,"ENT Specialist, Medical clinic, Orthopedic surgeon",423117,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Vadali Bhoi S.O, Bhayale B.O, Dhodamba B.O",+91 80 4803 7895,https://www.healingtouchclinicpune.in/healingtouchclinic,4.8,,"Flat no 501, Shivom Regency, Main, Baner Rd, above Jyoti Gas Appliances, Baner, Pune, Maharashtra 411069",Baner,18.5608862,73.7884744,ChIJA11gOti-wjsRzqUlqaHdCyM,https://www.google.com/maps/place/?q=place_id:ChIJA11gOti-wjsRzqUlqaHdCyM,part_138,2026-09-22 06:07:34
NIRMALA ENT CLINIC |Ent specialist near me| ENT specialist Ravet | Kiwale | Punawale | Tathawade | Dehu road | Mamurdi PCMC|,ENT Clinic,ENT Specialist,ENT Specialist,423117,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Vadali Bhoi S.O, Bhayale B.O, Dhodamba B.O",+91 92097 90602,N/A,4.9,233.0,"Shop no 39, Royal shell housing society, above Shagun jewellers and wellness pharmacy, Shivala Colony, Gurudwara Colony, Ravet, Pimpri-Chinchwad, Maharashtra 412101","Shivala Colony, Gurudwara Colony, Ravet",18.6445559,73.75743829999999,ChIJbSeTyeO5wjsR6CrhSGwCXtE,https://www.google.com/maps/place/?q=place_id:ChIJbSeTyeO5wjsR6CrhSGwCXtE,part_138,2026-09-22 06:07:35
Dhanwantari Hospital ENT Clinic - Dr. Shweta Patil,ENT Clinic,ENT Specialist,"ENT Specialist, Doctor, Hospital, Hospital department, Surgeon",423117,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Vadali Bhoi S.O, Bhayale B.O, Dhodamba B.O",+91 20 2765 6950,http://www.dhanwantarihospitalent.com/,4.7,141.0,"Tilak Rd, Sector No. 27, Pradhikaran, Nigdi, Pune, Pimpri-Chinchwad, Maharashtra 411044","Sector No. 27, Pradhikaran, Nigdi",18.6558556,73.7683529,ChIJofX_M725wjsRhbcxhGycsrY,https://www.google.com/maps/place/?q=place_id:ChIJofX_M725wjsRhbcxhGycsrY,part_138,2026-09-22 06:07:35
"Dr Monika Bhagat MBBS, MS( ENT) | Cochlear Implant | Endoscopic Sinus | Surgeon | ENT | Hadapsar | Pune",ENT Clinic,ENT Specialist,ENT Specialist,423117,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Vadali Bhoi S.O, Bhayale B.O, Dhodamba B.O",+91 73509 12925,https://www.drmonikabhagatent.com/,4.8,84.0,"The Cosmopolis, 202B, Kharadi - Hadapsar Bypass Rd, opposite SEASONS MALL, Magarpatta, Hadapsar, Pune, Maharashtra 411028","Magarpatta, Hadapsar",18.5197729,73.9328136,ChIJ4VeihWXBwjsRfj5fDplvpks,https://www.google.com/maps/place/?q=place_id:ChIJ4VeihWXBwjsRfj5fDplvpks,part_138,2026-09-22 06:07:35
