business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Samrat Liquor Bar,Bar and Pub,Bar,Bar,423204,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nampur S.O, Ambasan B.O, Chirai B.O",N/A,N/A,3.9,94,"K.S, H6X2+G78, SH 7, Pathak Nagar Rd, Mitra Nagar, Satana, Maharashtra 423301",Mitra Nagar,20.5988038,74.20065029999999,ChIJZ2YY2mNi3jsRNcAReRqxMvI,https://www.google.com/maps/place/?q=place_id:ChIJZ2YY2mNi3jsRNcAReRqxMvI,part_138,2026-09-22 06:10:02
Anand Liquor Bar.,Bar and Pub,Bar,Bar,423204,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nampur S.O, Ambasan B.O, Chirai B.O",N/A,N/A,3.4,72,"H6V2+JWV, Nashik Road, opp, to SBI, Mitra Nagar, Satana, Maharashtra 423301",Mitra Nagar,20.594113699999998,74.2023004,ChIJ4106tIli3jsRjBgigychPqo,https://www.google.com/maps/place/?q=place_id:ChIJ4106tIli3jsRjBgigychPqo,part_138,2026-09-22 06:10:02
Adhira Bar and Restaurant,Bar and Pub,Bar,Bar,423204,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nampur S.O, Ambasan B.O, Chirai B.O",N/A,N/A,5.0,1,"M562+285, Vanoli, Maharashtra 423301",423204,20.6600206,74.1509902,ChIJkd2vKQBh3jsRn40BE0Smzb0,https://www.google.com/maps/place/?q=place_id:ChIJkd2vKQBh3jsRn40BE0Smzb0,part_138,2026-09-22 06:10:02
Hotel Ruchira & Bar,Bar and Pub,Bar,Bar,423204,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nampur S.O, Ambasan B.O, Chirai B.O",N/A,N/A,5.0,3,"01, Bundhate, Maharashtra 423301",423204,20.629930899999998,74.03810659999999,ChIJw4cGMQBn3jsR6zRaFjpNdlk,https://www.google.com/maps/place/?q=place_id:ChIJw4cGMQBn3jsR6zRaFjpNdlk,part_138,2026-09-22 06:10:02
Raj Wunes,Bar and Pub,Bar,Bar,423204,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nampur S.O, Ambasan B.O, Chirai B.O",N/A,N/A,1.0,1,"WGM7+QQX, Mahal Kali, Maharashtra 424303",423204,20.9344997,74.5144748,ChIJq2SXIQDp3jsRTj69B79YH7g,https://www.google.com/maps/place/?q=place_id:ChIJq2SXIQDp3jsRTj69B79YH7g,part_138,2026-09-22 06:10:02
Hotel nakshatra beer bar & restaurant,Bar and Pub,Bar,Bar,423204,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nampur S.O, Ambasan B.O, Chirai B.O",N/A,N/A,4.1,29,"Q3JC+93W, MH SH 20, Mulher, Maharashtra 423302",423204,20.7809761,74.07021379999999,ChIJfdDaoMFd3jsRsJ8_-AWamuU,https://www.google.com/maps/place/?q=place_id:ChIJfdDaoMFd3jsRsJ8_-AWamuU,part_138,2026-09-22 06:10:02
Hotel Anandraj Bar & Lodging,Bar and Pub,Bar,Bar,423204,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nampur S.O, Ambasan B.O, Chirai B.O",N/A,N/A,4.3,6,"QHVH+PQ, Dongrale, Maharashtra 423205",423204,20.794279,74.57947,ChIJuc-JqrLr3jsRX-RgluEY7cA,https://www.google.com/maps/place/?q=place_id:ChIJuc-JqrLr3jsRX-RgluEY7cA,part_138,2026-09-22 06:10:02
Hotel Green Park Beer Bar,Bar and Pub,Bar,Bar,423204,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nampur S.O, Ambasan B.O, Chirai B.O",N/A,N/A,3.0,8,"WGJP+X9P, MH SH 7, Mahal Kali, Maharashtra 424303",423204,20.9324734,74.5359519,ChIJ8U-W6Y3o3jsRt0orH6eOjgY,https://www.google.com/maps/place/?q=place_id:ChIJ8U-W6Y3o3jsRt0orH6eOjgY,part_138,2026-09-22 06:10:02
Mahal Pandhari,Bar and Pub,Bar,Bar,423204,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nampur S.O, Ambasan B.O, Chirai B.O",N/A,N/A,4.3,3,"WGM4+55X, Mahal Raiwat, Maharashtra 424303",423204,20.9329854,74.505478,ChIJGbF8_LPo3jsRFRGPASMm2UA,https://www.google.com/maps/place/?q=place_id:ChIJGbF8_LPo3jsRFRGPASMm2UA,part_138,2026-09-22 06:10:02
sagar beer shop,Bar and Pub,Bar,Bar,423204,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nampur S.O, Ambasan B.O, Chirai B.O",+91 93257 20148,N/A,4.7,7,"M48X+CJ3, Satana Rd, Virgaon, Maharashtra 423301",423204,20.666002199999998,74.1490372,ChIJC1HzfONh3jsRpLTcxF1CNgI,https://www.google.com/maps/place/?q=place_id:ChIJC1HzfONh3jsRpLTcxF1CNgI,part_138,2026-09-22 06:10:02
NIPR Bar,Bar and Pub,Bar,"Bar, Restaurant",423204,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nampur S.O, Ambasan B.O, Chirai B.O",+91 788 789 6000,N/A,4.3,2557,"Shop no. 1 & 3, Chintamani Pride, Near City Pride Multiplex, Kothrud, Pune, Maharashtra 411038","Paschimanagri, Kothrud",18.4989184,73.81938819999999,ChIJ3y-qQqm_wjsRL5-MO3StQEA,https://www.google.com/maps/place/?q=place_id:ChIJ3y-qQqm_wjsRL5-MO3StQEA,part_138,2026-09-22 06:10:03
"The Urban Foundry, Baner",Bar and Pub,Bar,"Bar, Indian restaurant",423204,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Nampur S.O, Ambasan B.O, Chirai B.O",+91 89830 01155,N/A,4.3,9699,"1, Balewadi High St, next to Cummins India Office, Laxman Nagar, Balewadi, Pune, Maharashtra 411045","Laxman Nagar, Balewadi",18.569386299999998,73.77457969999999,ChIJMeLr2TS5wjsRQsEZi9dyUbI,https://www.google.com/maps/place/?q=place_id:ChIJMeLr2TS5wjsRQsEZi9dyUbI,part_138,2026-09-22 06:10:03
