business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mahevi Fabrication,Aluminium Fabrication,Fabrication Engineer,"Fabrication Engineer, Metal workshop",423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,4.6,,"423401, near water Tank, Bundelpura, Baadi Ground, Babulgaonkar Wada, Yeola, Maharashtra 423401","Bundelpura, Baadi Ground, Babulgaonkar Wada",20.0467312,74.4903039,ChIJz7T828g43DsRJ8SH9tV2e6Q,https://www.google.com/maps/place/?q=place_id:ChIJz7T828g43DsRJ8SH9tV2e6Q,part_138,2026-09-22 06:16:12
Singh steel,Aluminium Fabrication,Fabrication Engineer,Fabrication Engineer,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",+91 77700 06213,N/A,5.0,,"Maharashtra State Highway 30, Nagde, Yeola, Maharashtra 423401",Nagde,20.038269,74.490341,ChIJVxYcH-o53DsR2agcEXB-OLk,https://www.google.com/maps/place/?q=place_id:ChIJVxYcH-o53DsR2agcEXB-OLk,part_138,2026-09-22 06:16:12
Daya enterprises,Aluminium Fabrication,Metal working shop,Metal working shop,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",+91 75075 75575,N/A,5.0,,"Parbhani - Hingoli Rd, resth house, Aundha Nagnath, Maharashtra 431705",resth house,19.5438974,77.0509965,ChIJ3StctZRJ0DsR78nA6Co5Gx0,https://www.google.com/maps/place/?q=place_id:ChIJ3StctZRJ0DsR78nA6Co5Gx0,part_138,2026-09-22 06:16:12
Bauxamina Extrusion,Aluminium Fabrication,Corporate office,Corporate office,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",+91 98221 87584,http://www.bauxamina.co.in/,3.0,,"5M5Q+376, Unnamed Road, MIDC, Nimblak, Maharashtra 414111",MIDC,19.157665299999998,74.6881489,ChIJXZf4bNW73DsRF3tniT3A-LE,https://www.google.com/maps/place/?q=place_id:ChIJXZf4bNW73DsRF3tniT3A-LE,part_138,2026-09-22 06:16:12
Prakash Aluminium Centre,Aluminium Fabrication,Aluminium Supplier,Aluminium Supplier,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,,,"PX4V+JHR, Kholeshwar Rd, Kholeshwar, Akola, Maharashtra 444001",Kholeshwar,20.7066054,76.9938781,ChIJwVCcaDcx1zsRT-eRKwhppDU,https://www.google.com/maps/place/?q=place_id:ChIJwVCcaDcx1zsRT-eRKwhppDU,part_138,2026-09-22 06:16:12
Shree Swami Samarth Fabrication,Aluminium Fabrication,Steel fabricator,Steel fabricator,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,,,"462G+C47, Vinchur, Maharashtra 422305",423401,20.1010453,74.22529089999999,ChIJwzkz_7kz3DsRzCMgpj_ZVRk,https://www.google.com/maps/place/?q=place_id:ChIJwzkz_7kz3DsRzCMgpj_ZVRk,part_138,2026-09-22 06:16:12
Sai steel raling Bhatgaon yeola,Aluminium Fabrication,Steel fabricator,Steel fabricator,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,5.0,,"3C9V+V6V, Bhatgaon, Maharashtra 423401",423401,20.069729,74.4430598,ChIJiUmeTgk53DsRSitg8xquL_k,https://www.google.com/maps/place/?q=place_id:ChIJiUmeTgk53DsRSitg8xquL_k,part_138,2026-09-22 06:16:12
Krishna Welding works,Aluminium Fabrication,Metal fabricator,Metal fabricator,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,,,"97, Yeola Rd, Badgaun Balhe, Nagde, Babhulgaon Bk., Maharashtra 423401",Badgaun Balhe,20.0440087,74.5151684,ChIJMfF_fAA_3DsRTiibLCK6g60,https://www.google.com/maps/place/?q=place_id:ChIJMfF_fAA_3DsRTiibLCK6g60,part_138,2026-09-22 06:16:12
Rahul Fabrication,Aluminium Fabrication,Metal fabricator,Metal fabricator,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,5.0,1.0,"Lasalgaon Road, near Kalantri Lowns, Yeola, Babhulgaon Kh., Maharashtra 423401",423401,20.058134799999998,74.4742311,ChIJNbhGeV053DsRN-bFpOEnfkE,https://www.google.com/maps/place/?q=place_id:ChIJNbhGeV053DsRN-bFpOEnfkE,part_138,2026-09-22 06:16:13
Maharashtra fabrication And welding work shop,Aluminium Fabrication,Metal fabricator,Metal fabricator,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,,,"Yeola, Maharashtra 423401",423401,20.0432004,74.4839523,ChIJoexwiLg53DsR0T3nCPdNWHA,https://www.google.com/maps/place/?q=place_id:ChIJoexwiLg53DsR0T3nCPdNWHA,part_138,2026-09-22 06:16:13
