business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Wabale Construction 🚧,Civil Contractor and Builder,Home builder,Home builder,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,,,"3FQ8+G5H, Savargaon, Maharashtra 423401",423401,20.088691,74.46352499999999,ChIJV4NATwA53DsRoaHBFQYP33U,https://www.google.com/maps/place/?q=place_id:ChIJV4NATwA53DsRoaHBFQYP33U,part_138,2026-09-22 06:15:59
Bankar Patil & Engineers,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,4.4,,"2FV8+JJJ Paithani kendra, vinchur road, near yeola, opposite to mahila saree udyog, Angan, Angangaon, Maharashtra 423401",Angan,20.044994,74.46542099999999,ChIJ44DJyN853DsRgZbUwRHcwls,https://www.google.com/maps/place/?q=place_id:ChIJ44DJyN853DsRgZbUwRHcwls,part_138,2026-09-22 06:15:59
S.k Construction,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,,,"2FQP+JW9, Patil Wada, Yeola, Maharashtra 423401",Patil Wada,20.0390375,74.4873594,ChIJNcDJSAA53DsRpOYGicXPmec,https://www.google.com/maps/place/?q=place_id:ChIJNcDJSAA53DsRpOYGicXPmec,part_138,2026-09-22 06:15:59
Np construction office,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,,,"2FRF+R2X, Mhasoba nagar, Angan, Yeola, Angangaon, Maharashtra 423401","Mhasoba nagar, Angan",20.041773,74.47261999999999,ChIJrQOrdwA53DsRzkulXF7a2KA,https://www.google.com/maps/place/?q=place_id:ChIJrQOrdwA53DsRzkulXF7a2KA,part_138,2026-09-22 06:15:59
SADGURU CONSTRUCTION,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,,,"496W+PVW, Thangaon, Maharashtra 423401",423401,20.1118718,74.3972106,ChIJM9Aor7gx3DsRvdpLeEbUYLc,https://www.google.com/maps/place/?q=place_id:ChIJM9Aor7gx3DsRvdpLeEbUYLc,part_138,2026-09-22 06:15:59
SCR Nirman Camp Office,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,4.3,6.0,"2JHQ+QF, Talwade, Maharashtra 423401",423401,20.0294491,74.6386386,ChIJT5QBOgBr3DsRSU2bGKDv9MQ,https://www.google.com/maps/place/?q=place_id:ChIJT5QBOgBr3DsRSU2bGKDv9MQ,part_138,2026-09-22 06:15:59
Indrajyot Builders & Developers,Civil Contractor and Builder,Corporate office,Corporate office,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,5.0,56.0,"Sulaxmi Nagar, Station Road Beside MIT College, opp. Jai Bhawani Nagar Backside Hanuman Mandir, Rotegaon, Maharashtra 423701",423401,19.951239899999997,74.7494329,ChIJ8Q6kExdt3DsRVYbxMc4xl80,https://www.google.com/maps/place/?q=place_id:ChIJ8Q6kExdt3DsRVYbxMc4xl80,part_138,2026-09-22 06:15:59
Rcc construction pvt ltd,Civil Contractor and Builder,Congregation,Congregation,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,,,"Barshitakli Rd, GMC Quarters, Sindhi Colony, Akola, Maharashtra 444001","GMC Quarters, Sindhi Colony",20.6943436,77.0063461,ChIJBfOJ4lEx1zsRNSLHgFbeVuc,https://www.google.com/maps/place/?q=place_id:ChIJBfOJ4lEx1zsRNSLHgFbeVuc,part_138,2026-09-22 06:15:59
JSL GrouP(Sanjay lahare's Farm),Civil Contractor and Builder,Farm shop,"Farm shop, Civil engineer, Flavours, Fragrances & Aroma Supplier",423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",+91 96732 54254,N/A,5.0,6.0,"Sanjay Lahare's Farm, Nashik-Aurangabad highway, yeola, Kotamgaon, Maharashtra 423401",423401,20.0332501,74.5101281,ChIJ99OD708_3DsRBDSFYzoVNuI,https://www.google.com/maps/place/?q=place_id:ChIJ99OD708_3DsRBDSFYzoVNuI,part_138,2026-09-22 06:15:59
Gaikwad Construction,Civil Contractor and Builder,Corporate office,Corporate office,423401,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Yeola S.O, Angangaon B.O, Bharam B.O",N/A,N/A,5.0,,"39PW+MV6, satate, Yeola, Pimpri, Maharashtra 423401",satate,20.0866652,74.3971416,ChIJOZQPtDg33DsRgOcfz-dmLuo,https://www.google.com/maps/place/?q=place_id:ChIJOZQPtDg33DsRgOcfz-dmLuo,part_138,2026-09-22 06:16:00
