business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Ganesh Juice Centre,Juice Center and Milkshake Bar,Juice shop,Juice shop,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 70282 58641,N/A,4.3,,"Shop no:2, Monica Appartment, Chowk, opp. Ashok Theater, Shastri Nagar, Pimpri Colony, Pune, Pimpri-Chinchwad, Maharashtra 411017","Shastri Nagar, Pimpri Colony",18.6152309,73.80394489999999,ChIJ_buL-Pi4wjsR74UnZjmA5UU,https://www.google.com/maps/place/?q=place_id:ChIJ_buL-Pi4wjsR74UnZjmA5UU,part_138,2026-09-22 06:16:20
Salim JUICE & PAN Center,Juice Center and Milkshake Bar,Ice cream shop,Ice cream shop,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,3.0,,"Vaijapur, Maharashtra 423701",423402,19.9168232,74.72776859999999,ChIJ7yLbbABv3DsRjQz1VsMsalA,https://www.google.com/maps/place/?q=place_id:ChIJ7yLbbABv3DsRjQz1VsMsalA,part_138,2026-09-22 06:16:20
Mithun Juice Bar,Juice Center and Milkshake Bar,Juice shop,Juice shop,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 97623 40232,N/A,4.5,,"Rajmata Jijau Marg, Aksy Society, Sant Tukaram Nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018","Aksy Society, Sant Tukaram Nagar, Pimpri Colony",18.6235732,73.82019609999999,ChIJmRkGxGC4wjsRCMcPemZyZRY,https://www.google.com/maps/place/?q=place_id:ChIJmRkGxGC4wjsRCMcPemZyZRY,part_138,2026-09-22 06:16:20
NAADBRAMHA JUICE & CAFE,Juice Center and Milkshake Bar,Juice shop,Juice shop,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 84463 62070,N/A,4.6,,"Fusion Park, 7, Ajmera Main Rd, Beside KNS, Opposite Nana Nani Park, अजमेर कॉलोनी, Morewadi, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018","अजमेर कॉलोनी, Morewadi, Pimpri Colony",18.6334293,73.8068722,ChIJzZ3yjci5wjsRQmDpQ8FVweI,https://www.google.com/maps/place/?q=place_id:ChIJzZ3yjci5wjsRQmDpQ8FVweI,part_138,2026-09-22 06:16:21
"Hari Om Juice Bar, Sinhgad Road",Juice Center and Milkshake Bar,Juice shop,Juice shop,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 73871 82792,N/A,4.1,,"Shop No 8, Adarsha Apartments Kudale Baug, Kindly don't take flyover from rajarambridge to arrive at Location, Sinhgad Rd, Manik Baug, Vadgaon Budruk, Pune, Maharashtra 411051","Uma Housing Society, Manik Baug, Vadgaon Budruk",18.4720205,73.8213351,ChIJPU7NqfaVwjsRJMZkPp2kZ0Y,https://www.google.com/maps/place/?q=place_id:ChIJPU7NqfaVwjsRJMZkPp2kZ0Y,part_138,2026-09-22 06:16:21
JUICE BAR,Juice Center and Milkshake Bar,Cafe,Cafe,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,4.8,,"sova medu, No 9 / 78, opp. vlb art's college, Kovaipudur, Coimbatore, Tamil Nadu 641042","Pleasant Nagar, Reevatsa Hillview, BK Pudur",10.939586199999999,76.9464115,ChIJ37sQRz9bqDsRmM3vT8n8-dg,https://www.google.com/maps/place/?q=place_id:ChIJ37sQRz9bqDsRmM3vT8n8-dg,part_138,2026-09-22 06:16:21
Jus Cafe,Juice Center and Milkshake Bar,Juice shop,Juice shop,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,5.0,,"30,6, beside Footover Bridge, Kukatpally Housing Board Colony, Phase VI LIG Flats, K P H B Phase 4, Kukatpally, Hyderabad, Telangana 500085","Kukatpally Housing Board Colony, Phase VI LIG Flats, K P H B Phase 4, Kukatpally",17.4749819,78.3889135,ChIJcw5zbZGRyzsRRcN1Bf-hS0g,https://www.google.com/maps/place/?q=place_id:ChIJcw5zbZGRyzsRRcN1Bf-hS0g,part_138,2026-09-22 06:16:21
Shree Ganesh Juice Center,Juice Center and Milkshake Bar,Juice shop,Juice shop,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 77279 20553,N/A,5.0,,"Shop No. 1, Infront of Ashok Theatre Gate, SIVM Building, Power House Rd, Pimpri Colony, Pimpri-Chinchwad, Pune, Maharashtra 411017","Shastri Nagar, Pimpri Colony",18.6150514,73.8038121,ChIJK7-Mu_K5wjsRBz86snku-BQ,https://www.google.com/maps/place/?q=place_id:ChIJK7-Mu_K5wjsRBz86snku-BQ,part_138,2026-09-22 06:16:22
Vitthal Rasvanti Gruh pradhikaran,Juice Center and Milkshake Bar,Juice shop,Juice shop,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,4.5,,"MQ38+C2M, Sector No. 27, Pradhikaran, Nigdi, Pimpri-Chinchwad, Pune, Maharashtra 411044","Sector No. 27, Pradhikaran, Nigdi",18.6535972,73.76503389999999,ChIJpTBRn3O5wjsRF5q3zIy4rP4,https://www.google.com/maps/place/?q=place_id:ChIJpTBRn3O5wjsRF5q3zIy4rP4,part_138,2026-09-22 06:16:22
Cool Juice & Shakes,Juice Center and Milkshake Bar,Juice Center and Milkshake Bar,Juice Center and Milkshake Bar,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 93129 45657,N/A,,,"Block A, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Block A, Jamia Nagar, Okhla",28.5508016,77.2997843,ChIJvV_gnRrkDDkR2mfWPyFi8Cw,https://www.google.com/maps/place/?q=place_id:ChIJvV_gnRrkDDkR2mfWPyFi8Cw,part_138,2026-09-22 06:16:22
