business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Manappuram Finance Limited – Gold Loan,Pawn Broker and Gold Loan,Financial institution,"Financial institution, Business development service, Car finance and loan company, Currency exchange service, Finance broker, Loan agency, Money transfer service, Mortgage broker, Pawn shop",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 80 4492 5976,https://branches.manappuram.com/gold-loan-in-shastri-nagar-vaijapur-maharashtra,4.6,54.0,"No. 1/717, Vaijapur Rd, opp. Court, Shastri Nagar, Vaijapur, Maharashtra 423701",Shastri Nagar,19.927860799999998,74.72955999999999,ChIJh119c1Bv3DsRJU3mjMwiK1c,https://www.google.com/maps/place/?q=place_id:ChIJh119c1Bv3DsRJU3mjMwiK1c,part_138,2026-09-22 06:16:48
Oro Money - Gold Loans | Pimpri,Pawn Broker and Gold Loan,Loan agency,"Loan agency, Bank, Financial consultant, Gold dealer, Pawn shop, Store",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 8071 679 712,https://branches.oromoney.in/oro-money/pimpri-chinchwad/Deluxe-Chowk/oro-money-gold-loans-pimpri-in-Deluxe-Chowk-pimpri-chinchwad--10kQy4/home,4.6,13.0,"Deluxe Chowk, Shop No 109, Deluxe Fortune, Mall, nearby Denim Hub, Shastri Nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411017","Shastri Nagar, Pimpri Colony",18.619883599999998,73.80158209999999,ChIJmXLwKUC5wjsR3ooRbi0jUbw,https://www.google.com/maps/place/?q=place_id:ChIJmXLwKUC5wjsR3ooRbi0jUbw,part_138,2026-09-22 06:16:48
Manappuram Finance Limited – Gold Loan,Pawn Broker and Gold Loan,Financial institution,"Financial institution, Business development service, Car finance and loan company, Currency exchange service, Finance broker, Loan agency, Money transfer service, Mortgage broker, Pawn shop",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 80 4492 7954,https://branches.manappuram.com/gold-loan-in-kalewadi-pimpri-chinchwad-maharashtra,4.9,173.0,"No. 111/10A, 1st Flr, Shama Arcade Kalewadi Main Rd, Kalewadi, nr. Jyotiba Mangal Karyalay, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411017",Pimpri Colony,18.619225,73.794512,ChIJdYihV5O5wjsRwT52CpS6TcQ,https://www.google.com/maps/place/?q=place_id:ChIJdYihV5O5wjsRwT52CpS6TcQ,part_138,2026-09-22 06:16:48
Manappuram Finance Limited – Gold Loan,Pawn Broker and Gold Loan,Financial institution,"Financial institution, Business development service, Car finance and loan company, Currency exchange service, Finance broker, Loan agency, Money transfer service, Mortgage broker, Pawn shop",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 80 4492 6294,https://branches.manappuram.com/gold-loan-in-nigdi-pimpri-chinchwad-maharashtra,4.8,145.0,"1st Floor, Kohinoor Arcade, No. 25/105, Service Rd, Sector No. 24, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044","Sector No. 24, Pradhikaran, Nigdi",18.6589986,73.77675049999999,ChIJaf7_Uwy5wjsRiaA6PPjwrZI,https://www.google.com/maps/place/?q=place_id:ChIJaf7_Uwy5wjsRiaA6PPjwrZI,part_138,2026-09-22 06:16:48
Gold into Cash (Hadapsar),Pawn Broker and Gold Loan,Jewelry buyer,Jewelry buyer,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 77105 06074,N/A,4.9,124.0,"144, beside Chandukaka Saraf, Magarpatta, Hadapsar, Pune, Maharashtra 411028","Magarpatta, Hadapsar",18.5130843,73.9326651,ChIJ8VEymErBwjsR3SqCX0RW860,https://www.google.com/maps/place/?q=place_id:ChIJ8VEymErBwjsR3SqCX0RW860,part_138,2026-09-22 06:16:48
Muthoot FinCorp Gold Loan,Pawn Broker and Gold Loan,Loan agency,"Loan agency, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Money transfer service",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 92892 14796,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-sambhaji-nagar-loan-agency-sambhaji-nagar-pune-116147/Home,4.6,468.0,"Ground Floor, Mangal Corner Building, No. 1/2/GP82, Nigdi Bhosari Rd, Sambhajinagar, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019","Sambhajinagar, Chinchwad",18.6599149,73.79579799999999,ChIJETNuJyu4wjsRrS1bk2YGexI,https://www.google.com/maps/place/?q=place_id:ChIJETNuJyu4wjsRrS1bk2YGexI,part_138,2026-09-22 06:16:48
Oro Money - Gold Loans,Pawn Broker and Gold Loan,Loan agency,"Loan agency, Bank, Financial consultant, Gold dealer, Pawn shop, Store",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 8071 679 699,https://branches.oromoney.in/oro-money/bengaluru/JP-Nagar/oro-money-gold-loans-in-JP-Nagar-bengaluru--37ygWa/home,4.6,307.0,"No:7, 2nd Floor, 15th Cross Street, 100 Feet Ring Rd, JP Nagar 4th Phase, Bengaluru, Karnataka 560078","JP Nagar 4th Phase, Dollar Layout, Phase 4, J. P. Nagar",12.9059958,77.59585539999999,ChIJxcHvjh89rjsRGFtbWnJLSz4,https://www.google.com/maps/place/?q=place_id:ChIJxcHvjh89rjsRGFtbWnJLSz4,part_138,2026-09-22 06:16:48
Muthoot FinCorp Gold Loan,Pawn Broker and Gold Loan,Loan agency,"Loan agency, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Money transfer service",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 92892 52042,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-chinchwad-loan-agency-chinchwad-pune-114835/Home,4.9,871.0,"BRTS Road, No. 1942, 1st Floor, Ratnarekha Bldg, Chapekar Chowk Flyover, opposite PNG Jewellers, Kaspate Vasti, Maharashtra 411033","Kaspate Vasti, Chinchwad",18.6302675,73.7820089,ChIJrRBEubu5wjsR4SINa2wjSlg,https://www.google.com/maps/place/?q=place_id:ChIJrRBEubu5wjsR4SINa2wjSlg,part_138,2026-09-22 06:16:48
Muthoot FinCorp Gold Loan,Pawn Broker and Gold Loan,Loan agency,"Loan agency, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Money transfer service",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 92892 92793,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-pimpri-loan-agency-pimpri-pune-114647/Home,4.9,540.0,"1st Floor, Jai Plaza, No. 4-6, Pimpri-Chinchwad Link Rd, Shastri Nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411017","Shastri Nagar, Pimpri Colony",18.6205903,73.80371769999999,ChIJn4Lcu1a4wjsRc6fLZUzB7Mw,https://www.google.com/maps/place/?q=place_id:ChIJn4Lcu1a4wjsRc6fLZUzB7Mw,part_138,2026-09-22 06:16:48
Muthoot Finance Gold Loan,Pawn Broker and Gold Loan,Loan agency,"Loan agency, Agricultural Loan Agency, Business development service, Car finance and loan company, Currency exchange service, Financial institution, Insurance agency, Insurance company, Money transfer service, Mortgage lender",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 1800 120 2838,https://branches.muthootfinance.com/gold-loan-agency-in-chinchwad-pimpri-chinchwad-11479235/home,4.7,128.0,"Ground Flr, SUKHWANI PACIFIC, No. 7 & 8, II Main Rd, opp. Aditya Birla Hospital Marg, Thergaon, Pimpri-Chinchwad, Maharashtra 411033",Thergaon,18.6256669,73.7760947,ChIJz0bE-DO4wjsRz6im4XeOwLk,https://www.google.com/maps/place/?q=place_id:ChIJz0bE-DO4wjsRz6im4XeOwLk,part_138,2026-09-22 06:16:48
