business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jagtap Villa,Property Developers,Housing development,Housing development,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,5.0,3.0,"XHWF+9JM, Sonawane Wasti, Andarsul, Maharashtra 423402",Sonawane Wasti,19.9959761,74.5740939,ChIJY6H0VQxB3DsR6rLq4get-OY,https://www.google.com/maps/place/?q=place_id:ChIJY6H0VQxB3DsR6rLq4get-OY,part_138,2026-09-22 06:16:50
Wadalkar Patil,Property Developers,Housing development,Housing development,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,3.0,1.0,"2J42+GGG, Gondgaon, Maharashtra 423402",423402,20.0063113,74.6013518,ChIJa7lU1Fpr3DsRTl_vEfSc9Eo,https://www.google.com/maps/place/?q=place_id:ChIJa7lU1Fpr3DsRTl_vEfSc9Eo,part_138,2026-09-22 06:16:50
आगवण वस्ती,Property Developers,Housing development,Housing development,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,5.0,1.0,"2H35+HW, Andarsul, Maharashtra 423402",423402,20.0039631,74.5599012,ChIJ_ZCxx5VB3DsREOll-8rH2lo,https://www.google.com/maps/place/?q=place_id:ChIJ_ZCxx5VB3DsREOll-8rH2lo,part_138,2026-09-22 06:16:50
The DNYANESHWAR BHAGWAT Estate,Property Developers,Housing development,Housing development,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,,,"2J7C+W6C, Gondgaon, Maharashtra 423402",423402,20.014807299999998,74.6205213,ChIJ77SvDwBr3DsRSuBBr9UHy_o,https://www.google.com/maps/place/?q=place_id:ChIJ77SvDwBr3DsRSuBBr9UHy_o,part_138,2026-09-22 06:16:50
Jadhav Farm house,Property Developers,Housing development,Housing development,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,5.0,1.0,"XHM5+JW4, Andarsul, Maharashtra 423402",423402,19.984012399999997,74.55981349999999,ChIJvX3LBgBB3DsRQrwuUYr-R2A,https://www.google.com/maps/place/?q=place_id:ChIJvX3LBgBB3DsRQrwuUYr-R2A,part_138,2026-09-22 06:16:50
Masulkar Estates Private Limited,Property Developers,Real estate consultant,Real estate consultant,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 99709 57338,http://www.masulkarestates.com/,5.0,60.0,"Office No 101, Rajveer Imperia Commercial Complex, opposite SWAPNA NAGARI HOUSING SOCIETY, Nehru Nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018","Nehru Nagar, Pimpri Colony",18.6355143,73.8207422,ChIJ15Pbvmu5wjsRlSWw3CkfJd8,https://www.google.com/maps/place/?q=place_id:ChIJ15Pbvmu5wjsRlSWw3CkfJd8,part_138,2026-09-22 06:16:50
KC's farm house,Property Developers,Housing development,Housing development,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,,,"104 B, Varchi Galli, Talwade, Maharashtra 423401",423402,20.0318617,74.64064429999999,ChIJ8_7FIwBr3DsRAYuxnx-NSA8,https://www.google.com/maps/place/?q=place_id:ChIJ8_7FIwBr3DsRAYuxnx-NSA8,part_138,2026-09-22 06:16:50
मा.श्री.नंदू पाटील जाधव,Property Developers,Housing development,Housing development,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,5.0,2.0,"XMR2+28, Deothan, Maharashtra 423402",423402,19.9900459,74.65085169999999,ChIJR2nV5khr3DsRGyVjql8c1fA,https://www.google.com/maps/place/?q=place_id:ChIJR2nV5khr3DsRGyVjql8c1fA,part_138,2026-09-22 06:16:50
Pune Farmhouse,Property Developers,Housing society,Housing society,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,,,"2MF7+7F6, Pimpalkhute Kh., Maharashtra 423401",423402,20.023156,74.66362529999999,ChIJuVvkDgBr3DsResPYXl1MQg4,https://www.google.com/maps/place/?q=place_id:ChIJuVvkDgBr3DsResPYXl1MQg4,part_138,2026-09-22 06:16:50
Audumbar Group | Best Builders and Developers in Pune,Property Developers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 96078 10303,https://www.audumbargroup.com/,4.8,10.0,"Office No. 1&2, Ground Floor, Vinayak Arcade, opposite Bajaj Auto, Akurdi Gaothan, Vivek Nagar, Akurdi, Pimpri-Chinchwad, Maharashtra 411035","Akurdi Gaothan, Vivek Nagar, Akurdi",18.6545597,73.7805353,ChIJgfbXNb-5wjsRjgsoFKqB7E0,https://www.google.com/maps/place/?q=place_id:ChIJgfbXNb-5wjsRjgsoFKqB7E0,part_138,2026-09-22 06:16:50
Shubh Veda,Property Developers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,https://shubhveda.in/,4.7,57.0,"Near Khandoba Mandir Chowk, Old Mumbai - Pune Hwy,, Kalbhor Nagar, Akurdi, Pimpri Colony, Pune, Pimpri-Chinchwad, Maharashtra 411019","Kalbhor Nagar, MIDC, Pimpri Colony",18.648386,73.7865233,ChIJZTfG1PK5wjsRLu9jRk7gk4Q,https://www.google.com/maps/place/?q=place_id:ChIJZTfG1PK5wjsRLu9jRk7gk4Q,part_138,2026-09-22 06:16:50
Parshwa Greens,Property Developers,Housing society,Housing society,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 93221 05358,http://www.parshwagreens.com/,4.8,16.0,"MVCH+X53, Dhyarkar Wadi, Dudulgaon, Pimpri-Chinchwad, Maharashtra 412105","Dhyarkar Wadi, Dudulgaon",18.6723845,73.8779095,ChIJC-0KqPLJwjsR4JAdTdWbgLc,https://www.google.com/maps/place/?q=place_id:ChIJC-0KqPLJwjsR4JAdTdWbgLc,part_138,2026-09-22 06:16:50
Shubharambh group,Property Developers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 72931 69169,https://shubharambhgroup.com/,4.5,44.0,"1st Floor, Shubharambh21, near bhondave lawns, Ravet, Pimpri-Chinchwad, Maharashtra 412101",Ravet,18.649564299999998,73.7381169,ChIJc4wWp7y7wjsRxSrhu7gfvL4,https://www.google.com/maps/place/?q=place_id:ChIJc4wWp7y7wjsRxSrhu7gfvL4,part_138,2026-09-22 06:16:50
Parshwa Realty,Property Developers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,https://parshwarealty.com/,5.0,4.0,"Plot No. 121, Sector No. 24, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044","Sector No. 24, Pradhikaran, Nigdi",18.659212,73.77565369999999,ChIJsfor_cO5wjsRo53znZxlScw,https://www.google.com/maps/place/?q=place_id:ChIJsfor_cO5wjsRo53znZxlScw,part_138,2026-09-22 06:16:50
Parshwa Gold County Residential Building,Property Developers,Apartment building,Apartment building,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,4.5,48.0,"MW32+XQV, Kalajewadi, Charholi Budruk, Pune, Pimpri-Chinchwad, Maharashtra 412105","Kalajewadi, Charholi Budruk",18.654996699999998,73.9019089,ChIJAXdgHjrGwjsRvbV4jhc0yRQ,https://www.google.com/maps/place/?q=place_id:ChIJAXdgHjrGwjsRvbV4jhc0yRQ,part_138,2026-09-22 06:16:50
Chavan Patil Farmhouse 🏠,Property Developers,Housing development,Housing development,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,5.0,3.0,"2GFJ+7P, Kotamgaon Bk., Maharashtra 423401",423402,20.023274699999998,74.5315363,ChIJGx20OAA_3DsRprDNB7sA-7E,https://www.google.com/maps/place/?q=place_id:ChIJGx20OAA_3DsRprDNB7sA-7E,part_138,2026-09-22 06:16:50
Jivan Ganga,Property Developers,Housing society,Housing society,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,4.3,42.0,"WPRR+PPV, Indranil Nagar, Vaijapur, Maharashtra 423701",Indranil Nagar,19.9418605,74.7417853,ChIJ98WPXf1v3DsRXjAlkFrk1Dw,https://www.google.com/maps/place/?q=place_id:ChIJ98WPXf1v3DsRXjAlkFrk1Dw,part_138,2026-09-22 06:16:50
Vrindavan Estate,Property Developers,Real estate developer,Real estate developer,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 87664 88359,N/A,4.8,,"Besa-Pipla Rd, New Hanuman Nagar, Manewada, Besa Pipla, Maharashtra 440034","New Hanuman Nagar, Manewada",21.087158799999997,79.10873,ChIJjwLINkm_1DsRjfNYTEeYoNE,https://www.google.com/maps/place/?q=place_id:ChIJjwLINkm_1DsRjfNYTEeYoNE,part_138,2026-09-22 06:16:51
Shubham Developers,Property Developers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 92848 44534,https://www.shubhamdevelopers.in/,,,"Pitreshwar colony, 38A, Shirpur, Maharashtra 425405","Shirpur, Swami Vivekanand Nagar",21.3581994,74.88219029999999,ChIJDQHvEZYz3zsRCAFsEOMOguk,https://www.google.com/maps/place/?q=place_id:ChIJDQHvEZYz3zsRCAFsEOMOguk,part_138,2026-09-22 06:16:51
GHARCOOL HOMES KOLHAPUR,Property Developers,Home builder,"Home builder, Architecture firm, Real Estate Builders & Construction Company, Construction Material Wholesaler, Engineering consultant, Interior designer, Property maintenance, Real estate consultant, Structural engineer",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 91300 31991,http://www.gharcoolhomes.com/,4.9,,"2nd Ln, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Mahalaxminagar, Rajarampuri",16.6972955,74.2413014,ChIJKz6pscr_wDsRTWdrnLyqZZY,https://www.google.com/maps/place/?q=place_id:ChIJKz6pscr_wDsRTWdrnLyqZZY,part_138,2026-09-22 06:16:51
