business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Spa Planet Chinchwad,Spa,Spa,"Spa, Day spa, Foot massage parlor, Health spa, Massage spa, Massage therapist, Spa and health club, Sports massage therapist, Thai massage therapist",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 84228 62216,https://spaplanetkalbhornagar.in/,4.7,,"1st Floor, Aishwaryam One, Kalbhor Nagar, MIDC, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019","Kalbhor Nagar, MIDC, Chinchwad",18.6467447,73.7887939,ChIJ92O4OPK5wjsRnqN3HcnPLm0,https://www.google.com/maps/place/?q=place_id:ChIJ92O4OPK5wjsRnqN3HcnPLm0,part_138,2026-09-22 06:16:37
Spa World Pimpri-Chinchwad,Spa,Spa,"Spa, Foot massage parlor, Health spa, Massage spa, Massage therapist, Spa and health club, Sports massage therapist, Thai massage therapist",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 86559 36411,https://spaworldpcmc.in/,4.8,,"Shop No 304, 305, Sai Millenium, 306 307, Pune Bypass Rd Flyover, Kate Wasti, Punawale, Dattwadi, Pimpri-Chinchwad, Maharashtra 411033","Kate Wasti, Punawale",18.6306338,73.7415378,ChIJy5NkvTG7wjsRNnQjJLyaDK0,https://www.google.com/maps/place/?q=place_id:ChIJy5NkvTG7wjsRNnQjJLyaDK0,part_138,2026-09-22 06:16:37
Relax Spa in Pimpri - Best Spa In Pimpri | Massage centre near Pimpri | Massage Spa near Chinchwad,Spa,Spa,"Spa, Day spa, Massage spa, Sports massage therapist, Thai massage therapist",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 91451 91935,https://relaxspapcmc.co.in/,4.9,,"Shop No 5, Vikrant Hotel, E Square Rd, near Vishal Talkies, MIDC, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018","MIDC, Pimpri Colony",18.6261804,73.8046038,ChIJnQauQLq5wjsRhjbaQcx1gE4,https://www.google.com/maps/place/?q=place_id:ChIJnQauQLq5wjsRhjbaQcx1gE4,part_138,2026-09-22 06:16:37
Tattva Wellness Spa,Spa,Spa,"Spa, Day spa, Facial spa, Health spa, Massage spa, Massage therapist, Wellness center",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 99900 77116,https://tattvaspa.com/locations/day-spa-in-pune/tattva-wellness-spa-midc-chinchwad-pune/,4.8,,"No C32, Doubletree By Hilton Hotel, Tata Motors Road, Indira Nagar, MIDC, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019","Indira Nagar, MIDC, Chinchwad",18.642227899999998,73.7985818,ChIJz2psW3u5wjsRXU7PKIbziU0,https://www.google.com/maps/place/?q=place_id:ChIJz2psW3u5wjsRXU7PKIbziU0,part_138,2026-09-22 06:16:37
"Indri Spa Tathawade, PCMC",Spa,Spa,"Spa, Day spa, Foot massage parlor, Massage spa, Massage therapist, Spa and health club, Sports massage therapist, Thai massage therapist",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 86553 65025,https://indrispatathawade.in/,4.7,,"Office No - 617, 6th Floor, Vardhaman Moonstone, S.No 99(P, Bengaluru - Mumbai Hwy, opp. JSPM Collage, Bapu Buwaji Nagar, Tathawade, Pune, Pimpri-Chinchwad, Maharashtra 411033","Bapu Buwaji Nagar, Tathawade",18.618798899999998,73.7467097,ChIJ1VE0W027wjsRc44hLeXhTyA,https://www.google.com/maps/place/?q=place_id:ChIJ1VE0W027wjsRc44hLeXhTyA,part_138,2026-09-22 06:16:37
Sparsh wellness spa chinchwad,Spa,Spa,Spa,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,https://sparshwellnessspa.co.in/,5.0,,"Sparsh Wellness Spa, beside Garve Honda Showroom, Mohan Nagar, MIDC, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019","Mohan Nagar, MIDC, Chinchwad",18.6434045,73.7982956,ChIJU2FgQwC5wjsRb7oZ1Fo5G1U,https://www.google.com/maps/place/?q=place_id:ChIJU2FgQwC5wjsRb7oZ1Fo5G1U,part_138,2026-09-22 06:16:37
Arth Thai Spa - Kokane Chowk,Spa,Spa,"Spa, Day spa, Foot massage parlor, Health spa, Massage spa, Spa and health club, Sports massage therapist, Thai massage therapist",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 93562 60615,https://arththaispapune.in/,4.6,,"Shop No 212, 2nd Floor, Spot 18 Mall, Mana-mandir Society, Rahatani, Pimpri-Chinchwad, Pune, Maharashtra 411017","Mana-mandir Society, Rahatani",18.593817299999998,73.7860735,ChIJq6r6iRi5wjsR3xZz7tWU8U8,https://www.google.com/maps/place/?q=place_id:ChIJq6r6iRi5wjsR3xZz7tWU8U8,part_138,2026-09-22 06:16:37
PRANJU’S Makeover and SPA,Spa,Make-up artist,"Make-up artist, Beautician",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",N/A,N/A,5.0,,"Sai Park, Dp Road, Vaijapur - Gangapur Rd, near Shinde Estate, Sambhajinagar, Vaijapur, Maharashtra 423701",Sambhajinagar,19.919742499999998,74.7321243,ChIJpWosa2tv3DsR0VNZOk3MQZk,https://www.google.com/maps/place/?q=place_id:ChIJpWosa2tv3DsR0VNZOk3MQZk,part_138,2026-09-22 06:16:37
Srushti Spa (Chinchwad Dange Chowk Branch),Spa,Massage spa,Massage spa,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 87932 81234,N/A,3.1,,"1st Floor, Srushti Spa, Saraswathi Complex, near Dhangar Baba Mandir, Indrayani Nagar, Nakhate Nagar, Kalewadi, Pimpri-Chinchwad, Maharashtra 411033","Indrayani Nagar, Nakhate Nagar, Kalewadi",18.610666,73.7827835,ChIJQyPwinW5wjsRbuUg2BjZ054,https://www.google.com/maps/place/?q=place_id:ChIJQyPwinW5wjsRbuUg2BjZ054,part_138,2026-09-22 06:16:37
Four Fountains De-Stress Spa,Spa,Spa,Spa,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 80873 03999,https://www.thefourfountainsspa.co/,4.7,564.0,"2nd Floor Chambers, Old Mumbai - Pune Hwy, above Tanishq, next to Keys Hotel, Morewadi, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018","Morewadi, Pimpri Colony",18.6317937,73.8015315,ChIJHXhY4li4wjsRAc0QRY49h2w,https://www.google.com/maps/place/?q=place_id:ChIJHXhY4li4wjsRAc0QRY49h2w,part_138,2026-09-22 06:16:38
Lorens Thai Spa,Spa,Spa and health club,"Spa and health club, Day spa, Spa",423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 85302 67300,https://lorensthaispa.in/,4.8,70.0,"Office No 209 , 2nd Floor, Garave, Skoda Showroom, Pune - Mumbai Highway, opp. Jspm Colllege, Bapu Buwaji Nagar, Tathawade, Pune, Pimpri-Chinchwad, Maharashtra 411033","Bapu Buwaji Nagar, Tathawade",18.6185601,73.74649,ChIJobW_DR27wjsRngyCFAXr1_w,https://www.google.com/maps/place/?q=place_id:ChIJobW_DR27wjsRngyCFAXr1_w,part_138,2026-09-22 06:16:38
Massage Home service.,Spa,Massage spa,Massage spa,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 90493 83895,N/A,4.7,36.0,"Navjeevan Chauk, Shastri Nagar, Kasarwadi, Pune, Pimpri-Chinchwad, Maharashtra 411034","Shastri Nagar, Kasarwadi",18.6064829,73.8224963,ChIJf9BZ-aG5wjsRq5waCBPk2-k,https://www.google.com/maps/place/?q=place_id:ChIJf9BZ-aG5wjsRq5waCBPk2-k,part_138,2026-09-22 06:16:38
Ambience Wellness SPA,Spa,Health spa,Health spa,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 82086 95552,https://ambiancespa.in/,4.5,14.0,"No 207,97 Sonigara Bizz Business Park, C/O Sonigara Presidency, Maske Vasti nigdi kiwale BRTS road, Ravet Hwy, Ravet, Pimpri-Chinchwad, Maharashtra 412101",Ravet,18.6633124,73.7464486,ChIJk7ShdFyxwjsR3jDKWWShYOs,https://www.google.com/maps/place/?q=place_id:ChIJk7ShdFyxwjsR3jDKWWShYOs,part_138,2026-09-22 06:16:38
Body To Body Spa,Spa,Massage spa,Massage spa,423402,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Andarsul S.O, Angulgaon B.O, Bokte B.O",+91 73004 16682,https://karmabodyspa.shop/,5.0,2.0,"S.No 23, Chandan Colozium, near Sahayadri Motors, Wakad, Pune, Pimpri-Chinchwad, Maharashtra 411057",Wakad,18.5909936,73.7664331,ChIJV3irXy-5wjsRL44k0LHb9k4,https://www.google.com/maps/place/?q=place_id:ChIJV3irXy-5wjsRL44k0LHb9k4,part_138,2026-09-22 06:16:38
