business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SAYYED BIRYANI AND CHICKEN SHOP,Non-Veg Biryani Restaurant,Chicken restaurant,Chicken restaurant,423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",N/A,N/A,,,"8VJR+MP9, N Town Internal Rd, Vani, Kasbe Vani, Maharashtra 422215",Vani,20.3316488,73.8919561,ChIJd3E9YQDf3TsR5EO6PV3ZvhM,https://www.google.com/maps/place/?q=place_id:ChIJd3E9YQDf3TsR5EO6PV3ZvhM,part_138,2026-09-22 06:17:37
Hotel Ramdev - हॉटेल रामदेव,Non-Veg Biryani Restaurant,Restaurant,Restaurant,423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 87674 80875,N/A,4.8,,"opposite BHARAT PETROLEUM, near BUS STAND, Vani, Kasbe Vani, Maharashtra 422215",Vani,20.3290306,73.8889647,ChIJ5wpmHuXf3TsRE62PdTJOoME,https://www.google.com/maps/place/?q=place_id:ChIJ5wpmHuXf3TsRE62PdTJOoME,part_138,2026-09-22 06:17:37
Biryani Kahaani,Non-Veg Biryani Restaurant,Restaurant,Restaurant,423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 92920 02446,N/A,4.9,21.0,"Oppo Akbar Gulf Trading, Airport-Kalady Road, near Cochin International Airport, Nedumbassery, Keralam 683572",423501,10.1617904,76.39567459999999,ChIJcUamNPgHCDsREreDkajaNH8,https://www.google.com/maps/place/?q=place_id:ChIJcUamNPgHCDsREreDkajaNH8,part_138,2026-09-22 06:17:38
HOTEL GIRNA GARDEN,Non-Veg Biryani Restaurant,Family restaurant,"Family restaurant, Chinese restaurant, Continental restaurant, Non Vegetarian Restaurant, Vegetarian restaurant",423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 98904 41541,N/A,4.1,93.0,"F3P4+V7M, Kalwan, Devola Rd, Bejthata, Maharashtra 423501",423501,20.4872004,74.0556699,ChIJ03SjvF963jsRVPszxI9z-RA,https://www.google.com/maps/place/?q=place_id:ChIJ03SjvF963jsRVPszxI9z-RA,part_138,2026-09-22 06:17:38
Hotel Raje and Chinese Corner,Non-Veg Biryani Restaurant,Indian restaurant,Indian restaurant,423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",N/A,N/A,4.8,13.0,"9WV5+3M3, Saptashurngi, Maharashtra 423501",423501,20.3926353,73.909178,ChIJHXL_qRp13jsRPiCPDTtg6hM,https://www.google.com/maps/place/?q=place_id:ChIJHXL_qRp13jsRPiCPDTtg6hM,part_138,2026-09-22 06:17:38
Best Biryani In Thane .Com,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 90043 40906,https://bestbiryaniinthane.com/,4.8,44.0,"near Tikuji Ni Wadi Road, Hill Garden, Manpada, Thane West, Thane, Maharashtra 400610","Hill Garden, Manpada, Thane West",19.2358424,72.9675333,ChIJ_Xr7ufa55zsRSr-JE6hpTA0,https://www.google.com/maps/place/?q=place_id:ChIJ_Xr7ufa55zsRSr-JE6hpTA0,part_138,2026-09-22 06:17:38
Hyderabad Biryaani House,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 96327 33003,N/A,4.1,536.0,"227, 7th Main Rd, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043","HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar",13.0187426,77.6429397,ChIJFVM_ryoXrjsRHjo8S_72fV4,https://www.google.com/maps/place/?q=place_id:ChIJFVM_ryoXrjsRHjo8S_72fV4,part_138,2026-09-22 06:17:38
Muhammadi Palace - A Fine Dine Restaurant jaipur,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Restaurant",423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 80582 53786,https://www.instagram.com/muhammadi_palace_jhotwara,4.0,492.0,"WPWW+XQF, Plot No. 31, Boring Road, Kalwar Rd, Laxmi Nagar III, Jagannath Puri, Suraj Nagar, Jhotwara, Jaipur, Rajasthan 302012","Laxmi Nagar III, Jagannath Puri, Suraj Nagar, Jhotwara",26.9477281,75.747385,ChIJq-b8CJazbTkRbhkOX7Go0fM,https://www.google.com/maps/place/?q=place_id:ChIJq-b8CJazbTkRbhkOX7Go0fM,part_138,2026-09-22 06:17:38
Amit Garden,Non-Veg Biryani Restaurant,North Indian restaurant,"North Indian restaurant, Bar, Family restaurant",423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 88283 53666,https://amitgarden.com/,4.0,8173.0,"Parshik Nagar, Reti Bunder Naka Mumbai Pune Road West, Kharegaon, Kalwa, Mumbai, Maharashtra 400605","Kharegaon, Kalwa",19.2109546,73.0155966,ChIJ0_ewNsC-5zsRXUZEQ2KGvoU,https://www.google.com/maps/place/?q=place_id:ChIJ0_ewNsC-5zsRXUZEQ2KGvoU,part_138,2026-09-22 06:17:39
Biryani Corner,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 98331 63187,N/A,3.6,426.0,"638P+4F7, 9, Tandon Rd, Dombivli, Ramnagar, Dombivli East, Dombivli, Kalyan, Maharashtra 421201","Dombivli, Ramnagar, Dombivli East",19.2153198,73.0861647,ChIJ_T1swCC-5zsRF039FGyC2GA,https://www.google.com/maps/place/?q=place_id:ChIJ_T1swCC-5zsRF039FGyC2GA,part_138,2026-09-22 06:17:39
Sai Sagar Family Restaurant & Bar,Non-Veg Biryani Restaurant,North Indian restaurant,"North Indian restaurant, Bar, Family restaurant, North Eastern Indian restaurant",423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 98705 45407,N/A,3.9,2988.0,"6232+5RX, Rakma Apartment, Mumbai Pune Highway, Pakhadi, Kharegaon Naka, Kharegaon, Kalwa, Thane, Maharashtra 400605","Kharegaon, Kalwa",19.2023956,73.0022327,ChIJOzrZS86-5zsR4kcpTC3nGD8,https://www.google.com/maps/place/?q=place_id:ChIJOzrZS86-5zsR4kcpTC3nGD8,part_138,2026-09-22 06:17:39
Hotel Swagath,Non-Veg Biryani Restaurant,Restaurant,Restaurant,423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 22 2547 7111,https://hotelswagath.lokal.in/,3.9,3696.0,"Meena tai thakre chowk, Meenatai Thakrey Chowk, Uthalsar, Thane West, Thane, Maharashtra 400601","Uthalsar, Thane West",19.2047024,72.9776116,ChIJd5xzbzm55zsRnMpYXA7b2lA,https://www.google.com/maps/place/?q=place_id:ChIJd5xzbzm55zsRnMpYXA7b2lA,part_138,2026-09-22 06:17:39
Fishland Family Restaurant & Bar | Thane,Non-Veg Biryani Restaurant,Seafood restaurant,"Seafood restaurant, Chinese restaurant",423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 97692 56276,N/A,4.0,5414.0,"Shop No. 9 Ground Floor, Ramkunj 10, Khopat Rd, opposite Janta Sahakari Bank, opp. Thane, Thane West, Thane, Maharashtra 400601",Thane West,19.2029997,72.9727501,ChIJ8ToY1-645zsRE7viRLJmbJE,https://www.google.com/maps/place/?q=place_id:ChIJ8ToY1-645zsRE7viRLJmbJE,part_138,2026-09-22 06:17:39
Sawali pure veg & party hall,Non-Veg Biryani Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Banquet hall",423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 97667 51119,N/A,4.1,692.0,"Sawali pure veg, Pune - Alandi Rd, near datta mandir, Datta Nagar, Pura Bhandari Colony, Dighi, Pune, Pimpri-Chinchwad, Maharashtra 411015","Datta Nagar, Pura Bhandari Colony, Dighi",18.6229799,73.8740211,ChIJT8IV93DHwjsRzMcy3FXcwG4,https://www.google.com/maps/place/?q=place_id:ChIJT8IV93DHwjsRzMcy3FXcwG4,part_138,2026-09-22 06:17:39
LAZIZ FOOD,Non-Veg Biryani Restaurant,Indian Muslim restaurant,Indian Muslim restaurant,423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 97670 67786,N/A,4.0,274.0,"84, Beltarodi Rd, Rama Nagar, Badil Kheda, Nagpur, Maharashtra 440027","Rama Nagar, Badil Kheda",21.103271799999998,79.0871332,ChIJe8MmDc6_1DsRnPiSljjJcyg,https://www.google.com/maps/place/?q=place_id:ChIJe8MmDc6_1DsRnPiSljjJcyg,part_138,2026-09-22 06:17:39
K G Caterers,Non-Veg Biryani Restaurant,Caterer,Caterer,423501,Maharashtra Circle,Navi Mumbai Region,Malegaon Division,"Kalwan S.O, Athambe B.O, Bej B.O",+91 73043 17065,N/A,4.0,263.0,"Sr.No.508 Opp Maple Tower, Jambulkar Chowk Gaon, near Noble Bakery, Wanowrie, Pune, Maharashtra 411040","Phase 2, Wanowrie",18.4950968,73.8991992,ChIJAfFCRHfqwjsReheTPspT4x8,https://www.google.com/maps/place/?q=place_id:ChIJAfFCRHfqwjsReheTPspT4x8,part_138,2026-09-22 06:17:39
