business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
मंजिरी साडी सेंटर & ब्युटी पार्लर,Shops,Clothing store,Clothing store,423607,Maharashtra Circle,Pune Region,Shrirampur Division,"Dhamori S.O, Maygaon Devi B.O",N/A,N/A,4.0,1.0,"X898+P2F, Unnamed Road, Dhamori, Maharashtra 423607",423607,19.9693179,74.31503409999999,ChIJZQluNq1J3DsRkB9ji59X3N0,https://www.google.com/maps/place/?q=place_id:ChIJZQluNq1J3DsRkB9ji59X3N0,part_138,2026-09-22 06:22:39
Varun Hardware,Shops,Store,Store,423607,Maharashtra Circle,Pune Region,Shrirampur Division,"Dhamori S.O, Maygaon Devi B.O",N/A,N/A,,,"X898+Q56, Dhamori, Maharashtra 423607",423607,19.9694155,74.31540059999999,ChIJH-FEf9ZJ3DsR1wI1P2KIUko,https://www.google.com/maps/place/?q=place_id:ChIJH-FEf9ZJ3DsR1wI1P2KIUko,part_138,2026-09-22 06:22:39
जालना,Shops,Store,Store,423607,Maharashtra Circle,Pune Region,Shrirampur Division,"Dhamori S.O, Maygaon Devi B.O",N/A,N/A,,,"X898+G4R, Dhamori, Maharashtra 423607",423607,19.9688525,74.3152542,ChIJsxWDGABJ3DsRajNLJrHCB3E,https://www.google.com/maps/place/?q=place_id:ChIJsxWDGABJ3DsRajNLJrHCB3E,part_138,2026-09-22 06:22:39
Mayur Mobiles,Shops,Electronics store,Electronics store,423607,Maharashtra Circle,Pune Region,Shrirampur Division,"Dhamori S.O, Maygaon Devi B.O",N/A,N/A,5.0,1.0,"X897+98Q, Dhamori, Maharashtra 423607",423607,19.9684501,74.3133513,ChIJVwbBdIhJ3DsR76ocILu0t8Y,https://www.google.com/maps/place/?q=place_id:ChIJVwbBdIhJ3DsR76ocILu0t8Y,part_138,2026-09-22 06:22:39
Bindiya Stores - Best Toy Shop in Khamgaon,Shops,Store,"Store, Toy store",423607,Maharashtra Circle,Pune Region,Shrirampur Division,"Dhamori S.O, Maygaon Devi B.O",+91 89561 60002,https://www.instagram.com/bindiyastores_khamgaon?igsh=cTFkd296eXoxYTM2,4.9,,"Bhagatsingh chowk, Balaji Plots, Khamgaon, Maharashtra 444303",Balaji Plots,20.7063816,76.5649019,ChIJS0CZu9hQ1zsR661qlQROor4,https://www.google.com/maps/place/?q=place_id:ChIJS0CZu9hQ1zsR661qlQROor4,part_138,2026-09-22 06:22:39
Beyond Basics Collection,Shops,Gift shop,"Gift shop, Corporate gift supplier, Novelty store, Party store, Stationery store, Toy store, Watch store",423607,Maharashtra Circle,Pune Region,Shrirampur Division,"Dhamori S.O, Maygaon Devi B.O",+91 90825 21713,https://www.beyondbasicscollection.com/,4.7,,"A wing, Ravi Raj Royals, 1, 2, Hemukalani Cross Rd Number 3, Irani Wadi, Kandivali West, Mumbai, Maharashtra 400067","Sambhav Darshan, Hemu Colony, Irani Wadi, Kandivali West",19.2011933,72.8421023,ChIJ81xQSNa35zsR4oCnmHPXJpQ,https://www.google.com/maps/place/?q=place_id:ChIJ81xQSNa35zsR4oCnmHPXJpQ,part_138,2026-09-22 06:22:39
Pooja Resin Art,Shops,Gift shop,Gift shop,423607,Maharashtra Circle,Pune Region,Shrirampur Division,"Dhamori S.O, Maygaon Devi B.O",+91 95619 30771,N/A,4.9,,"yashodhara nagar, Shankar Nagar, Khamgaon, Maharashtra 444303",Shankar Nagar,20.712775,76.5782603,ChIJvWcpSQNR1zsRKJ9SmaJjtYA,https://www.google.com/maps/place/?q=place_id:ChIJvWcpSQNR1zsRKJ9SmaJjtYA,part_138,2026-09-22 06:22:39
Krishna Sales Corporation,Shops,Stationery store,"Stationery store, Digital printing service, Packaging supply store, Stamp shop, Stationery wholesaler, Toner cartridge supplier",423607,Maharashtra Circle,Pune Region,Shrirampur Division,"Dhamori S.O, Maygaon Devi B.O",+91 98559 30418,https://youtube.com/@krishnasalescorporation2024?si=k5dQFfah4EmWr1SA,4.9,60.0,"Chowk, Focal Point Rd, opp. Police Chowki, Ldh, Jeewan Nagar, Ludhiana, Punjab 141003",Ldh,30.8877685,75.9161464,ChIJtbF645CdGjkRqMR7ES4vmEc,https://www.google.com/maps/place/?q=place_id:ChIJtbF645CdGjkRqMR7ES4vmEc,part_138,2026-09-22 06:22:40
Prabhat Stationery Mart,Shops,Office supply store,"Office supply store, Custom label printer, Laminating equipment supplier, Paper shredding machine supplier, Printer ink refill store, Stationery wholesaler",423607,Maharashtra Circle,Pune Region,Shrirampur Division,"Dhamori S.O, Maygaon Devi B.O",+91 98728 13730,N/A,5.0,12.0,"19, Books Market Rd, opp. Veekay STATIONERY, Girja Ghar Chowk, Railway Employees Colony, Old Ludhiana, Ludhiana, Punjab 141008","Girja Ghar Chowk, Railway Employees Colony, Old Ludhiana",30.917202999999997,75.8516643,ChIJWfkVSJ6DGjkRjv3IYGezoIk,https://www.google.com/maps/place/?q=place_id:ChIJWfkVSJ6DGjkRjv3IYGezoIk,part_138,2026-09-22 06:22:40
K K Sanitary & Hardware Store,Shops,Tile store,"Tile store, Bathroom supply store, Countertop store, Hardware store, Home improvement store, Light bulb supplier, Lighting store, Paint store, Plumbing supply store, Sanitary inspection",423607,Maharashtra Circle,Pune Region,Shrirampur Division,"Dhamori S.O, Maygaon Devi B.O",+91 99966 67786,N/A,4.9,146.0,"opposite Reliance Trends, near Sheranwali Mata Mandir, Pinjore, Haryana 134102",423607,30.8060877,76.916395,ChIJG86cZd-NDzkRITamd453m8w,https://www.google.com/maps/place/?q=place_id:ChIJG86cZd-NDzkRITamd453m8w,part_138,2026-09-22 06:22:40
