business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fancy Bag Collection,Leather Goods and Bags,Bag shop,"Bag shop, Handbags shop, Luggage repair service, Luggage store, Wholesaler",423701,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Vaijapur S.O, Akoli Wadgaon B.O, Bhaggaon B.O",+91 77199 44007,N/A,5.0,412.0,"Aurangpura - Samarthnagar Rd, near Matchwell, Gulmandi Corner, Gulmandi, Shahgunj, Chhatrapati Sambhajinagar, Maharashtra 431001","Gulmandi Corner, Gulmandi, Shahgunj",19.8845234,75.329746,ChIJrYKgQH6Z2zsRlJDNGQbLoX0,https://www.google.com/maps/place/?q=place_id:ChIJrYKgQH6Z2zsRlJDNGQbLoX0,part_138,2026-09-22 06:22:48
Royal Leather Store,Leather Goods and Bags,Upholstery shop,"Upholstery shop, Fabric store",423701,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Vaijapur S.O, Akoli Wadgaon B.O, Bhaggaon B.O",N/A,N/A,4.8,104.0,"Next To gulzar Cenima pandariba, Gulzar Cenima Road, Chhatrapati Sambhajinagar, Maharashtra 431001","Mahavir Chowk, Shahgunj",19.886208999999997,75.331878,ChIJReF9pQ2Y2zsRzV7k5FJbba8,https://www.google.com/maps/place/?q=place_id:ChIJReF9pQ2Y2zsRzV7k5FJbba8,part_138,2026-09-22 06:22:48
VALLABH BAGS,Leather Goods and Bags,Bag shop,"Bag shop, Baby store, Bedding store, Gift shop, Handbags shop, Leather wholesaler, Outlet mall",423701,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Vaijapur S.O, Akoli Wadgaon B.O, Bhaggaon B.O",+91 96736 47444,https://vallabh-bag.grexa.site/,4.9,255.0,"CHETAK GHODA, TOWARDS, Jawahar Nagar Rd, Sindhi Colony, Chhatrapati Sambhajinagar, Maharashtra 431001",Sindhi Colony,19.8687555,75.34244389999999,ChIJg2ekZ4Ki2zsR6YbcFOH3rSI,https://www.google.com/maps/place/?q=place_id:ChIJg2ekZ4Ki2zsR6YbcFOH3rSI,part_138,2026-09-22 06:22:48
Sagar Luggage,Leather Goods and Bags,Bag shop,"Bag shop, Luggage store, Belt shop",423701,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Vaijapur S.O, Akoli Wadgaon B.O, Bhaggaon B.O",+91 83290 05270,N/A,3.9,13.0,"Shop No.1, Sant Eknath Rang Mandir Rd, Praihad Sankul, New Usmanpura, Chhatrapati Sambhajinagar, Maharashtra 431005","Praihad Sankul, New Usmanpura",19.8699628,75.3284145,ChIJVVVVlWSY2zsRIDbQC432tVo,https://www.google.com/maps/place/?q=place_id:ChIJVVVVlWSY2zsRIDbQC432tVo,part_138,2026-09-22 06:22:48
Shri Vighnaharta Bag House,Leather Goods and Bags,Bag shop,Bag shop,423701,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Vaijapur S.O, Akoli Wadgaon B.O, Bhaggaon B.O",+91 94040 05002,N/A,4.8,17.0,"Pandariba Rd, opposite V.K. Market, Mahavir Chowk, Shahgunj, Chhatrapati Sambhajinagar, Maharashtra 431001","Mahavir Chowk, Shahgunj",19.8866843,75.33277249999999,ChIJL-1mh_-Z2zsRUMZYjq1tvYw,https://www.google.com/maps/place/?q=place_id:ChIJL-1mh_-Z2zsRUMZYjq1tvYw,part_138,2026-09-22 06:22:48
Bag Shopee,Leather Goods and Bags,Store,Store,423701,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Vaijapur S.O, Akoli Wadgaon B.O, Bhaggaon B.O",+91 95953 99888,N/A,,,"Shop No1, City Chowk, Paithan Gate-Nirala Bazar Rd, Kasari Bazar, Mahavir Chowk, Shahgunj, Chhatrapati Sambhajinagar, Maharashtra 431001","Kasari Bazar, Mahavir Chowk, Shahgunj",19.887949199999998,75.3301973,ChIJ_7EdHg2Z2zsRrQ673amFq0U,https://www.google.com/maps/place/?q=place_id:ChIJ_7EdHg2Z2zsRrQ673amFq0U,part_138,2026-09-22 06:22:48
Safari Bag Exclusive Store - Prozone Mall,Leather Goods and Bags,Bag shop,"Bag shop, Luggage store",423701,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Vaijapur S.O, Akoli Wadgaon B.O, Bhaggaon B.O",+91 88560 18075,https://stores.safaribags.com/safari-bags/bag-store-in-chhatrapati-sambhajinagar/bag-store-in-Prozone-Mall/safari-bag-exclusive-store-in-Prozone-Mall-chhatrapati-sambhajinagar--72FuIC/home,4.9,260.0,"Shop No 06, Prozone Mall, nearby Vero Moda Clothing Store, Sector C, Industrial Area, Chilkalthana, Mansatipur, Chhatrapati Sambhajinagar, Maharashtra 431006","Sector C, Industrial Area, Chilkalthana",19.8775102,75.3718095,ChIJfxfGEh-j2zsREC5jcKRPUpc,https://www.google.com/maps/place/?q=place_id:ChIJfxfGEh-j2zsREC5jcKRPUpc,part_138,2026-09-22 06:22:48
V S BAG HOUSE,Leather Goods and Bags,Bag shop,Bag shop,423701,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Vaijapur S.O, Akoli Wadgaon B.O, Bhaggaon B.O",N/A,N/A,4.0,3.0,"Jawahar Colony Rd, Uttam Nagar, Sindhi Colony, Chhatrapati Sambhajinagar, Maharashtra 431005","Uttam Nagar, Sindhi Colony",19.871122099999997,75.3453447,ChIJZWj92C-j2zsRQnTNK5yrLGo,https://www.google.com/maps/place/?q=place_id:ChIJZWj92C-j2zsRQnTNK5yrLGo,part_138,2026-09-22 06:22:48
Swapnil Bag House,Leather Goods and Bags,Tailor,Tailor,423701,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Vaijapur S.O, Akoli Wadgaon B.O, Bhaggaon B.O",+91 99233 39111,N/A,5.0,14.0,"Shop No 1, Pundlik Nagar Rd, Near Tirumala Mangal Karyalay, Husain Colony, Nyay Nagar, Chhatrapati Sambhajinagar, Maharashtra 431009","Near Tirumala Mangal Karyalay, Husain Colony, Nyay Nagar",19.8657675,75.3568106,ChIJfcluEYmi2zsR1oowusnbUa0,https://www.google.com/maps/place/?q=place_id:ChIJfcluEYmi2zsR1oowusnbUa0,part_138,2026-09-22 06:22:48
V.I.P HUMSAFAR,Leather Goods and Bags,Luggage store,Luggage store,423701,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Vaijapur S.O, Akoli Wadgaon B.O, Bhaggaon B.O",+91 97307 02821,N/A,4.0,38.0,"Shop No. 15, Market, under ground shop, Sanmitra Colony, Nirala Bazar, Chhatrapati Sambhajinagar, Maharashtra 431001","Sanmitra Colony, Nirala Bazar",19.880233999999998,75.3249151,ChIJq6qqnmyY2zsRE9LK7LmmGT8,https://www.google.com/maps/place/?q=place_id:ChIJq6qqnmyY2zsRE9LK7LmmGT8,part_138,2026-09-22 06:22:48
