business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jay Shree Ram Plumbing Works,Plumber,Plumber,Plumber,423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",+91 77208 35102,N/A,5.0,,"01, CIDCO Waluj Mahanagar 1, Tisgaon, Wadgaon Kolhati, Maharashtra 431133",CIDCO Waluj Mahanagar 1,19.8615963,75.2387509,ChIJQ9lqCWaZ2zsRAU6BM8EtMMg,https://www.google.com/maps/place/?q=place_id:ChIJQ9lqCWaZ2zsRAU6BM8EtMMg,part_138,2026-09-22 06:23:34
Shradha Plumbing Works Services,Plumber,Plumber,Plumber,423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",+91 98500 84860,N/A,5.0,,"More Chowk Rd, Mohatadevi Road, Mohata Devi Chowk, Bajaj Nagar, Waluj, Wadgaon Kolhati, Chhatrapati Sambhajinagar, Maharashtra 431136","Mohata Devi Chowk, Bajaj Nagar, Waluj",19.8450707,75.2445754,ChIJ9571XYqb2zsRHLOlVaYCvdI,https://www.google.com/maps/place/?q=place_id:ChIJ9571XYqb2zsRHLOlVaYCvdI,part_138,2026-09-22 06:23:34
MHARASHTRA HARDWARE Electrical plumbing,Plumber,Electrician,"Electrician, Hardware store",423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",+91 70208 18861,N/A,5.0,,"Khuldabad, Maharashtra 431101",423702,20.00686,75.1911535,ChIJQ0V7LJaT2zsRnkLTMaH6cTk,https://www.google.com/maps/place/?q=place_id:ChIJQ0V7LJaT2zsRnkLTMaH6cTk,part_138,2026-09-22 06:23:34
"Fabrication, Plumbing electrical",Plumber,Contractor,Contractor,423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",N/A,https://pravinpatil.com/,,,"Thakare Chowk, Waluj, Waladgaon, Wadgaon Kolhati, Maharashtra 431136",Waluj,19.8399102,75.2362381,ChIJCdnHtU2b2zsRaF0a3YfbOg4,https://www.google.com/maps/place/?q=place_id:ChIJCdnHtU2b2zsRaF0a3YfbOg4,part_138,2026-09-22 06:23:34
Shaha Home 🏠,Plumber,Plumber,Plumber,423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",N/A,N/A,,,"23HH+W2Q, Vitkheda, Maharashtra 431102",423702,20.0298327,75.07761959999999,ChIJG-ZeAgCN2zsR8RgdTE0_mQk,https://www.google.com/maps/place/?q=place_id:ChIJG-ZeAgCN2zsR8RgdTE0_mQk,part_138,2026-09-22 06:23:34
Kulswamini Niwas,Plumber,Plumber,Plumber,423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",N/A,N/A,5.0,,"V66Q+JGR, Wadgaon, Wadgaon Kolhati, Maharashtra 431136",423702,19.8616161,75.2387698,ChIJK9vZee2b2zsRYIMPn3xlejc,https://www.google.com/maps/place/?q=place_id:ChIJK9vZee2b2zsRYIMPn3xlejc,part_138,2026-09-22 06:23:34
Sai Agro Agency,Plumber,Plumbing supply store,Plumbing supply store,423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",+91 94213 10001,N/A,4.0,,"R4QQ+779 Jai Malla Chowk, 431133, Wadgaon Road, Ambelohal, Maharashtra 431133",423702,19.8394598,75.1398025,ChIJjS8hDNmE2zsRL2otUgxxDug,https://www.google.com/maps/place/?q=place_id:ChIJjS8hDNmE2zsRL2otUgxxDug,part_138,2026-09-22 06:23:34
Abhishek Traders,Plumber,Hardware store,Hardware store,423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",+91 94220 69197,https://www.instagram.com/abhishek_traders_111/,5.0,,"near Anjali petrol pump, Gangapur, Maharashtra 431109",423702,19.7014855,75.01747399999999,ChIJESXPre2B2zsRel_0HZuuUeU,https://www.google.com/maps/place/?q=place_id:ChIJESXPre2B2zsRel_0HZuuUeU,part_138,2026-09-22 06:23:34
SHRI KRUSHNA AGRO AGENCY,Plumber,Agricultural Product Wholesaler,"Agricultural Product Wholesaler, Agricultural service, Hardware store, Pipe supplier, Pipes Wholesaler, Pump supplier, Rainwater tank supplier, Solar hot water system supplier, Water Pump Supplier, Wire and cable supplier",423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",+91 99601 10244,N/A,5.0,,"Opp Police st. , Main Road , Deogaon Rangari Tq. Kannad Chh, Maharashtra 431115",423702,20.0344665,75.0334264,ChIJdyQac7CL2zsRBgMSltiz7Ik,https://www.google.com/maps/place/?q=place_id:ChIJdyQac7CL2zsRBgMSltiz7Ik,part_138,2026-09-22 06:23:34
R A Multiservices,Plumber,Industrial consultant,"Industrial consultant, Metal finisher, Metallurgy company, Plating service",423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",N/A,N/A,5.0,,"Gut no 48, plot no 26, MIDC, Waluj, Ranjangaon (Shenpunji), Maharashtra 431136","Ranjangaon Shenpunji, Waluj",19.850211299999998,75.22359879999999,ChIJAwGntsqb2zsRWF7Kib8CGC4,https://www.google.com/maps/place/?q=place_id:ChIJAwGntsqb2zsRWF7Kib8CGC4,part_138,2026-09-22 06:23:34
AllrounderMH20,Plumber,Plumber,"Plumber, Service establishment, Electrician",423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",+91 70586 64703,https://www.instagram.com/allroundermh20?igsh=Yjl4eWF2bHpnbWh6,,,"AllrounderMH20, 423702, India",423702,19.8517424,75.20723,ChIJnU0ino-cRKER3LfaVOfJ4xU,https://www.google.com/maps/place/?q=place_id:ChIJnU0ino-cRKER3LfaVOfJ4xU,part_138,2026-09-22 06:23:34
Plumbing Mind,Plumber,Plumber,Plumber,423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",+91 90219 12691,N/A,5.0,12.0,"Bhavani Nagar, Harsul, Maharashtra 423702",Bhavani Nagar,19.92838,75.01155039999999,ChIJXS3q2piJ2zsRgrI0dEUFHVM,https://www.google.com/maps/place/?q=place_id:ChIJXS3q2piJ2zsRgrI0dEUFHVM,part_138,2026-09-22 06:23:34
Dinesh Plumbing Works,Plumber,Plumber,Plumber,423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",N/A,http://www.dinesh.com/,5.0,2.0,"Bhawani nagar Lasur station, Maharashtra 423702",Lasur,19.928185199999998,75.0115357,ChIJ5ceb9Z6J2zsRLh0VDngTYW4,https://www.google.com/maps/place/?q=place_id:ChIJ5ceb9Z6J2zsRLh0VDngTYW4,part_138,2026-09-22 06:23:34
Aurangabad Prince Multitrade Private Limited,Plumber,Pipes Wholesaler,"Pipes Wholesaler, Painting",423702,Maharashtra Circle,Aurangabad Region,Aurangabad Division,"Lasur Station S.O, Gajgaon B.O, Gawali Shivra B.O",+91 240 299 4896,http://www.apmpl.com/,4.4,,"Colgate Square, B-14/10/5, beside Cosmo Films, MIDC, Waluj, Wadgaon Kolhati, Maharashtra 431133","MIDC, Waluj",19.8388255,75.2325345,ChIJT2MGkrSb2zsRJSCrzDx2opA,https://www.google.com/maps/place/?q=place_id:ChIJT2MGkrSb2zsRJSCrzDx2opA,part_138,2026-09-22 06:23:35
