business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Parmeshwari Fitness Centre,Gym and Fitness Center,Weight loss service,Weight loss service,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 89995 14192,N/A,4.4,15.0,"Ramanand Nagar Rd, Opp Girana Water Tank, Yashwant Nagar, Jalgaon, Maharashtra 425002",Yashwant Nagar,20.9965068,75.55076319999999,ChIJMWjcnsoP2TsR4VoajaCE5RQ,https://www.google.com/maps/place/?q=place_id:ChIJMWjcnsoP2TsR4VoajaCE5RQ,part_140,2026-09-22 06:00:28,1562
ICON FITNESS CLUB,Gym and Fitness Center,Gym,Gym,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",N/A,N/A,4.5,13.0,"Aurangabad - Highway Near Kia showroom Police colony stop, Jalgaon, Maharashtra 425003",Supreme Colony,20.9775645,75.5931198,ChIJQWhACVcP2TsRzdmzDi8msFs,https://www.google.com/maps/place/?q=place_id:ChIJQWhACVcP2TsRzdmzDi8msFs,part_140,2026-09-22 06:00:28,1563
H.M ARENA FITNESS,Gym and Fitness Center,Gym,Gym,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",N/A,N/A,5.0,,"23Q6+RMM, Muktainagar, Maharashtra 425306",425303,21.0395756,76.06166619999999,ChIJZwTVSgC52TsRG5B4Q1pw0Pk,https://www.google.com/maps/place/?q=place_id:ChIJZwTVSgC52TsRG5B4Q1pw0Pk,part_140,2026-09-22 06:00:29,1564
Star Fitness Club,Gym and Fitness Center,Fitness center,Fitness center,425304,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Bhalod S.O (Jalgaon), Anjale B.O, Borkheda B.O",+91 94235 79414,https://www.instagram.com/star_fitnesss_club?igsh=amU3bzVwaTZoa3Ew,4.7,,"Jining Press Godown, behind Mahalaxmi Super Shop, Bari Wada, Yawal, Maharashtra 425301",Bari Wada,21.170033399999998,75.70008589999999,ChIJRSEoqjwB2TsRxgiaA4LXk58,https://www.google.com/maps/place/?q=place_id:ChIJRSEoqjwB2TsRxgiaA4LXk58,part_140,2026-09-22 06:01:10,5147
Kala Nutan Fitness Gym,Gym and Fitness Center,Gym,Gym,425304,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Bhalod S.O (Jalgaon), Anjale B.O, Borkheda B.O",N/A,N/A,4.7,,"5P94+GQC, New, Vyas Nagar, Yawal, Maharashtra 425301",Vyas Nagar,21.1688086,75.70690259999999,ChIJYTyoyAkB2TsRoArWkPsNtuY,https://www.google.com/maps/place/?q=place_id:ChIJYTyoyAkB2TsRoArWkPsNtuY,part_140,2026-09-22 06:01:10,5148
ALIFEFITNESS (Gym & Health Club),Gym and Fitness Center,Gym,Gym,425304,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Bhalod S.O (Jalgaon), Anjale B.O, Borkheda B.O",+91 99703 88816,N/A,5.0,,"1623,First Floor,Gurjar Bhuwan,Near Nagar Parishad SAVDA,Tal-Raver, Dist, Savda, Maharashtra 425502",425304,21.1495039,75.8878996,ChIJnRXTKb-v2TsR_T4dLWF-848,https://www.google.com/maps/place/?q=place_id:ChIJnRXTKb-v2TsR_T4dLWF-848,part_140,2026-09-22 06:01:10,5149
Central Fitness Unisex Gym,Gym and Fitness Center,Gym,Gym,425304,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Bhalod S.O (Jalgaon), Anjale B.O, Borkheda B.O",N/A,N/A,4.7,101.0,"first floor, Central bank, Station Rd, Hanuman Wadi, Chalisgaon, Maharashtra 424101",Hanuman Wadi,20.4624949,75.00400239999999,ChIJyTxl-NpV2TsRcoY9C0L1Y58,https://www.google.com/maps/place/?q=place_id:ChIJyTxl-NpV2TsRcoY9C0L1Y58,part_140,2026-09-22 06:01:12,5150
THE SKYHAWK FITNESS. Unisex Gym and Fitness center.,Gym and Fitness Center,Gym,Gym,425305,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Varangaon S.O, Achegaon B.O, Fulgaon B.O",+91 96376 98087,N/A,4.1,,"The Skyhawk Fitness, near Pharmacy College, Sakegaon, Maharashtra 425311",425305,21.041719999999998,75.7449729,ChIJ5cqtxy-m2TsRwj9_XQjrvvM,https://www.google.com/maps/place/?q=place_id:ChIJ5cqtxy-m2TsRwj9_XQjrvvM,part_140,2026-09-22 06:01:51,7087
Rex Gym,Gym and Fitness Center,Gym,Gym,425305,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Varangaon S.O, Achegaon B.O, Fulgaon B.O",N/A,N/A,4.2,,"2RR4+CW5, Sundar Nagar, Kandari, Maharashtra 425201",Sundar Nagar,21.0410102,75.8073711,ChIJ3Sw_G-Cl2TsRpD8ZQN9Jx9k,https://www.google.com/maps/place/?q=place_id:ChIJ3Sw_G-Cl2TsRpD8ZQN9Jx9k,part_140,2026-09-22 06:01:51,7088
MS Fitness Gym💪🏻,Gym and Fitness Center,Fitness center,Fitness center,425305,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Varangaon S.O, Achegaon B.O, Fulgaon B.O",N/A,N/A,,,"ZRTC near Telephone tower, Anand nagar, Zonal Training Schools, Fekari, Maharashtra 425201","Anand nagar, Zonal Training Schools",21.0477292,75.830494,ChIJExVluEel2TsRFuUILyAcX8U,https://www.google.com/maps/place/?q=place_id:ChIJExVluEel2TsRFuUILyAcX8U,part_140,2026-09-22 06:01:51,7089
