business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sri Sharda Madhyamik Junior College,Junior College and Degree College,Junior college,Junior college,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 99237 99121,N/A,4.0,,"2RPX+XQX, Deepnagar, Nimbhore Budruk, Maharashtra 425307",Deepnagar,21.0374981,75.8494985,ChIJt9Ele6Kl2TsR_ChoXgQqUBc,https://www.google.com/maps/place/?q=place_id:ChIJt9Ele6Kl2TsR_ChoXgQqUBc,part_140,2026-09-22 06:00:42,3015
Dhanaji Nana Vidyalaya & Junior College,Junior College and Degree College,Junior college,Junior college,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 2584 284 296,http://www.dnv.org/,4.3,,"6V3P+88W, Rozode, Maharashtra 425504",425303,21.203365599999998,75.8858298,ChIJYQlRcJut2TsRBuN-ZRYF_5s,https://www.google.com/maps/place/?q=place_id:ChIJYQlRcJut2TsRBuN-ZRYF_5s,part_140,2026-09-22 06:00:42,3016
K.C.E. Society's Swami Vivekanand Junior College,Junior College and Degree College,Junior college,"Junior college, College",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 257 223 4281,https://svkm.kces.in/Aboutus/about_college,4.1,,"Moolji, 2H23+7J8 Jaitha College Campus, MJ College Rd, Shivram Nagar, Ramanand Nagar, Jalgaon, Maharashtra 425002","Shivram Nagar, Ramanand Nagar",21.0004866,75.5548628,ChIJO9fHJLQP2TsRSYXQnlGPXhM,https://www.google.com/maps/place/?q=place_id:ChIJO9fHJLQP2TsRSYXQnlGPXhM,part_140,2026-09-22 06:00:42,3017
New Government Junior College and Degree College,Junior College and Degree College,Junior college,"Junior college, Government college",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",N/A,N/A,4.2,444.0,"Oppsite, Anusha Granites, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4810801,78.41537,ChIJxfEBIaWRyzsRVo-RliSGy5Y,https://www.google.com/maps/place/?q=place_id:ChIJxfEBIaWRyzsRVo-RliSGy5Y,part_140,2026-09-22 06:00:44,3018
"Government Degree College, Kukatpally",Junior College and Degree College,College,College,425304,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Bhalod S.O (Jalgaon), Anjale B.O, Borkheda B.O",N/A,https://gdcts.cgg.gov.in/kukatpally.edu,4.1,356.0,"FCJ8+J67, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4815298,78.4155518,ChIJSf8GhpiRyzsR_yUB8t-DFmw,https://www.google.com/maps/place/?q=place_id:ChIJSf8GhpiRyzsR_yUB8t-DFmw,part_140,2026-09-22 06:01:24,5692
Vijetha Junior and Degree College For Girls,Junior College and Degree College,College,College,425304,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Bhalod S.O (Jalgaon), Anjale B.O, Borkheda B.O",+91 89770 49755,https://www.vijethacollege.com/,3.0,8.0,"H. No 1-287/24&25, Beside substation, Balaji Nagar, Miyapur X Roads Miyapur, Serilingampalle (M), Hyderabad, Telangana 500049",Balaji Nagar,17.4971681,78.3602021,ChIJ9-JCdLPCTa4RaJXnt10pW4o,https://www.google.com/maps/place/?q=place_id:ChIJ9-JCdLPCTa4RaJXnt10pW4o,part_140,2026-09-22 06:01:24,5693
"J.D.M.V.P Co-Op Samaj's Shri. S. S. Patil Arts, Shri. Bhausaheb T. T. Salunkhe Commerce and Shri. G. R. Pandit Science College",Junior College and Degree College,College,"College, Art school",425304,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Bhalod S.O (Jalgaon), Anjale B.O, Borkheda B.O",N/A,N/A,3.5,17.0,"5M9X+6MP, near District Court, Madhav Nagar, Jalgaon, Yawal, Maharashtra 425301",Madhav Nagar,21.1680901,75.6992133,ChIJOeiDYNOt2TsRa6azocs-XNI,https://www.google.com/maps/place/?q=place_id:ChIJOeiDYNOt2TsRa6azocs-XNI,part_140,2026-09-22 06:01:24,5694
Chhatrapati Shivaji Junior College Jalgaon,Junior College and Degree College,Junior college,"Junior college, Educational institution",425305,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Varangaon S.O, Achegaon B.O, Fulgaon B.O",N/A,N/A,4.1,16.0,"Near Rose Garden, Shahu Nagar, In Front Of Sahyog Critical Care Center Co-Opp Housing Society, Jalgaon, Maharashtra 425001",The Co-operative Housieng Society,21.0128213,75.5597299,ChIJmezCTwUP2TsRcMXI0Sf729k,https://www.google.com/maps/place/?q=place_id:ChIJmezCTwUP2TsRcMXI0Sf729k,part_140,2026-09-22 06:02:06,8153
H J Thim College,Junior College and Degree College,College,College,425305,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Varangaon S.O, Achegaon B.O, Fulgaon B.O",+91 257 221 2735,http://iqrahjtc.in/,4.2,95.0,"A/10, NH 6, Mehrun, Jalgaon, Maharashtra 425003",Mehrun,20.998099999999997,75.57469999999999,ChIJnayiDgAP2TsRTg4DE0alUC4,https://www.google.com/maps/place/?q=place_id:ChIJnayiDgAP2TsRTg4DE0alUC4,part_140,2026-09-22 06:02:06,8154
Khandesh College Education Society's Moolji Jaitha College,Junior College and Degree College,College,"College, Graduate school",425305,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Varangaon S.O, Achegaon B.O, Fulgaon B.O",+91 257 223 7363,http://www.kcesmjcollege.in/,4.2,789.0,"XHX3+XH8, MJ College Rd, Shivram Nagar, Ramanand Nagar, Jalgaon, Maharashtra 425002","Shivram Nagar, Ramanand Nagar",20.9999173,75.5539521,ChIJta4HJbQP2TsRIfyCyFSlNqk,https://www.google.com/maps/place/?q=place_id:ChIJta4HJbQP2TsRIfyCyFSlNqk,part_140,2026-09-22 06:02:06,8155
