business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Euphoria Luxury Spa,Spa,Health spa,"Health spa, Day spa, Spa, Spa and health club",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 75075 90707,N/A,4.8,72.0,"Gold City Hospital, 4th Floor, Nayantara Arcade City Pride Mall Besides, 146, Pimprala Rd, near Govinda Risha Stop, Nasheman Colony, Master colony, Pratap Nagar, Jalgaon, Maharashtra 425001","Nasheman Colony, Master colony, Pratap Nagar",21.0146341,75.5606351,ChIJUy1WI9IP2TsRpmLqrK5-Aic,https://www.google.com/maps/place/?q=place_id:ChIJUy1WI9IP2TsRpmLqrK5-Aic,part_140,2026-09-22 06:00:37,2392
Spa Berry - Body Spa In Jalgaon,Spa,Spa,"Spa, Day spa, Foot massage parlor, Health spa, Massage spa, Massage therapist, Spa and health club, Sports massage therapist, Thai massage therapist",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 98928 21833,https://spaberryjalgaon.in/,4.2,34.0,"Nehru Chowk, Shop No. 10, 2nd Floor, Santbaba Hardasram Market, Station Rd, near Khandesh Central Mall, Navi Peth, Jalgaon, Maharashtra 425001","Navi Peth, Pratap Nagar",21.0147783,75.562523,ChIJGW-H1RoP2TsR3RA6L19nxGc,https://www.google.com/maps/place/?q=place_id:ChIJGW-H1RoP2TsR3RA6L19nxGc,part_140,2026-09-22 06:00:37,2393
Lumina Family Spa Body Massage Center,Spa,Day spa,Day spa,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 95275 92200,N/A,4.9,26.0,"1st Floor Shop No 51, Sant Baba Hardasram Market, Big, Saraf Bazar Rd, Pratap Nagar, Jalgaon, Maharashtra 425001",Pratap Nagar,21.014822499999998,75.5625409,ChIJ3WnYFZUP2TsR6A3WNN82Iek,https://www.google.com/maps/place/?q=place_id:ChIJ3WnYFZUP2TsR6A3WNN82Iek,part_140,2026-09-22 06:00:37,2394
Nakshatra Wellness & Spa,Spa,Spa,Spa,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 96658 31818,https://nakshatrawellness.com/,3.8,8.0,"1st Floor, Ring Rd, near Lilavati complex, Pratap Nagar, Jalgaon, Maharashtra 425001",Pratap Nagar,21.011193799999997,75.55526689999999,ChIJ9eA55O4P2TsRcNOJ1AxPyFo,https://www.google.com/maps/place/?q=place_id:ChIJ9eA55O4P2TsRcNOJ1AxPyFo,part_140,2026-09-22 06:00:37,2395
Spa Gold,Spa,Massage spa,Massage spa,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",N/A,https://spagold.in/,4.6,41.0,"5th Floor, City Center Building, Govinda Riksha Stop, Mahatma Gandhi Rd, Pratap Nagar, Jalgaon, Maharashtra 425001",Pratap Nagar,21.0141717,75.5625472,ChIJIW-dMtQP2TsRLA7Nw-vY9dg,https://www.google.com/maps/place/?q=place_id:ChIJIW-dMtQP2TsRLA7Nw-vY9dg,part_140,2026-09-22 06:00:37,2396
Sparsh Spa Jalgaon,Spa,Day spa,"Day spa, Foot massage parlor, Health spa, Massage spa, Massage therapist, Spa, Spa and health club, Sports massage therapist, Thai massage therapist",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 91522 91135,https://sparshspajalgaon.in/,5.0,6.0,"Shop No. 10, 2nd Floor, Santbaba Hardasram Market Station Road, Nehru Chowk, near Khandesh Central Mall, Navi Peth, Jalgaon, Maharashtra 425001","Navi Peth, Pratap Nagar",21.0147647,75.5625204,ChIJsawS2wwP2TsR0Dffd03abyE,https://www.google.com/maps/place/?q=place_id:ChIJsawS2wwP2TsR0Dffd03abyE,part_140,2026-09-22 06:00:37,2397
Melrose Spa,Spa,Massage spa,Massage spa,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 93707 86770,https://sites.google.com/view/melrosespa/home,4.1,58.0,"2nd Floor, Kochure Heights, Khwajamiya Rd, beside Dr. Sahasrabuddhe Clinc, above Shubham Housing Finance, Jalgaon, Maharashtra 425001",Datta Colony,21.0113709,75.55508259999999,ChIJB6piuvwP2TsRIqT_s8-hc30,https://www.google.com/maps/place/?q=place_id:ChIJB6piuvwP2TsRIqT_s8-hc30,part_140,2026-09-22 06:00:37,2398
Spa Palace,Spa,Spa,Spa,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 70672 94721,https://spapalaceindia.com/,4.7,35.0,"2nd Floor, Puneri Amrutulya, Windsor Heights, Bazar, Ring Rd, near Tanishq Showroom, Tagore Nagar, Jalgaon, Maharashtra 425001",Tagore Nagar,21.007889499999997,75.5555384,ChIJzSIYcj0P2TsRJACEijlGPXM,https://www.google.com/maps/place/?q=place_id:ChIJzSIYcj0P2TsRJACEijlGPXM,part_140,2026-09-22 06:00:37,2399
Ocean Wellness and spa,Spa,Massage spa,Massage spa,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 77589 92276,N/A,5.0,1.0,"Ocean Wellness and spa, Windsor Heights, Ring Rd, Tagore Nagar, Jalgaon, Maharashtra 425001",Tagore Nagar,21.0079034,75.555589,ChIJ-4eW67YP2TsRCD61Eb_BFcg,https://www.google.com/maps/place/?q=place_id:ChIJ-4eW67YP2TsRCD61Eb_BFcg,part_140,2026-09-22 06:00:37,2400
Oasis family spa,Spa,Day spa,"Day spa, Beauty Parlour, Craniosacral therapy, Foot massage parlor, Hot bedstone spa, Laser tag center, Massage supply store, Massage therapist, Spa, Thai massage therapist",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 77119 92273,N/A,4.7,69.0,"Oasis family spa 3rd floor, windsor heights , opposite Veg aroma Hotel, Ring Rd, near J.D.C.C. Bank, Jalgaon, Maharashtra 425001",Tagore Nagar,21.0078483,75.5555768,ChIJF2yzcHMP2TsR2iH7HLZmBJA,https://www.google.com/maps/place/?q=place_id:ChIJF2yzcHMP2TsR2iH7HLZmBJA,part_140,2026-09-22 06:00:37,2401
