business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SUNNY DA DHABA,Dhaba and Highway Restaurant,Dhaba,"Dhaba, Family restaurant",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 73011 11997,N/A,4.7,,"SHOP NO 07, Dhule Hwy, near BPCL PUMP, Erandol, Bhalgaon Bk., Maharashtra 425109",425303,20.9072186,75.281938,ChIJEfTwLL0_2TsRfct6L42--ww,https://www.google.com/maps/place/?q=place_id:ChIJEfTwLL0_2TsRfct6L42--ww,part_140,2026-09-22 06:00:17
Hotel New Jai Bhole,Dhaba and Highway Restaurant,Restaurant,"Restaurant, Vegetarian restaurant",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 98223 26829,N/A,4.1,,"Near, Mumbai - Nagpur Hwy, Nashirabad, Maharashtra 425309",425303,21.0142369,75.6742378,ChIJAc6tKlcI2TsRij0SjM-D7V4,https://www.google.com/maps/place/?q=place_id:ChIJAc6tKlcI2TsRij0SjM-D7V4,part_140,2026-09-22 06:00:17
Nana cha dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",N/A,N/A,4.0,,"Bhusawal Rd, Jamner, Maharashtra 424206",425303,20.8228595,75.7841021,ChIJkWpWqjef2TsRViqx091pD-M,https://www.google.com/maps/place/?q=place_id:ChIJkWpWqjef2TsRViqx091pD-M,part_140,2026-09-22 06:00:17
SHRI SHIVANAND DHABA,Dhaba and Highway Restaurant,Dhaba,Dhaba,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 74107 99090,N/A,4.2,,"NH 6, near Indian Oil Petrol Pump, Erandol Rural, Maharashtra 425109",Sambhaji Nagar,20.9333226,75.342107,ChIJ7zS13ukX2TsRZMz7ZO7zpaA,https://www.google.com/maps/place/?q=place_id:ChIJ7zS13ukX2TsRZMz7ZO7zpaA,part_140,2026-09-22 06:00:17
HOTEL GAURAV,Dhaba and Highway Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Restaurant",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 74481 08333,N/A,3.8,,"SHOP NO 2, 2H4Q+G9Q, HIGHWAY, Ayodhya Nagar, Old MIDC, Bhusawal, Jalgaon, Maharashtra 425003","Ayodhya Nagar, Old MIDC",21.0070192,75.58888859999999,ChIJTbq1qhsP2TsRmCWletg_DiU,https://www.google.com/maps/place/?q=place_id:ChIJTbq1qhsP2TsRmCWletg_DiU,part_140,2026-09-22 06:00:17
Jai Bhavani Hotel (Dhaba),Dhaba and Highway Restaurant,Dhaba,Dhaba,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",N/A,N/A,3.6,,"X9RR+9WJ, Pimpri Bk., Maharashtra 425103",425303,20.990960299999998,75.392274,ChIJ8bzEaQYX2TsRhdixbt0LDHA,https://www.google.com/maps/place/?q=place_id:ChIJ8bzEaQYX2TsRhdixbt0LDHA,part_140,2026-09-22 06:00:17
HOTEL SAI PRASADAMM,Dhaba and Highway Restaurant,Restaurant,Restaurant,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 93707 01523,N/A,4.8,,"MH SH 14, Chopda, Maharashtra 425107",425303,21.2242701,75.28058949999999,ChIJjfUCbxvf2DsR-4KXh8cBgjI,https://www.google.com/maps/place/?q=place_id:ChIJjfUCbxvf2DsR-4KXh8cBgjI,part_140,2026-09-22 06:00:17
Hotel Shantaj bharit center,Dhaba and Highway Restaurant,Restaurant,Restaurant,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 81490 98106,N/A,4.1,,"6H3M+VJ2, MH SH 4, Kingaon, Kingaon Bk, Maharashtra 425302",425303,21.2046493,75.5840211,ChIJz-_vHV0C2TsR_DYcoVH6qrI,https://www.google.com/maps/place/?q=place_id:ChIJz-_vHV0C2TsR_DYcoVH6qrI,part_140,2026-09-22 06:00:17
Sayali Restaurant,Dhaba and Highway Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant, Dhaba, Fast food restaurant, Restaurant, Tea house, Vegetarian restaurant",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",N/A,N/A,4.1,,"25, Ring Rd, Pratap Nagar, Jalgaon, Maharashtra 425001",Pratap Nagar,21.0098652,75.555424,ChIJ4fCDDrkP2TsRQLwNCSFrJbk,https://www.google.com/maps/place/?q=place_id:ChIJ4fCDDrkP2TsRQLwNCSFrJbk,part_140,2026-09-22 06:00:17
Shri Chakradhar Swami Prasadam Restaurant and Bharit Center,Dhaba and Highway Restaurant,Family restaurant,Family restaurant,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",N/A,N/A,3.7,,"Ankleshwar - Burhanpur Hwy, near Sai Baba Mandir, Adavad, Maharashtra 425303",425303,21.2240012,75.4353754,ChIJvXg6tcrj2DsRHDsMF2xaQSw,https://www.google.com/maps/place/?q=place_id:ChIJvXg6tcrj2DsRHDsMF2xaQSw,part_140,2026-09-22 06:00:17
