business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Epic 5678 Dance & Fitness Academy,Music and Dance Academy,Fitness center,"Fitness center, Dance club",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 77095 54587,https://www.instagram.com/epic_5678_dance_fitness/profilecard/?igsh=a3pqNGc0dnA3dW84,4.7,,"274, 3rd floor ,India Plaza, Dominoz Pizza, Swatantrya Chowk - Pande Chowk Rd, near Indira Garage, Jalgaon, Maharashtra 425001","New Joshi Colony, Prabhat Colony",21.002892,75.5635053,ChIJcb_aLQoP2TsR1uCa8zdgspM,https://www.google.com/maps/place/?q=place_id:ChIJcb_aLQoP2TsR1uCa8zdgspM,part_140,2026-09-22 06:00:44
TaalYog Music Academy,Music and Dance Academy,Music school,"Music school, Education center",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 72191 24718,N/A,4.8,,"Plot no. 43, near rotary bhavan, Mayadevi Nagar, Samata Nagar, Jalgaon, Maharashtra 425002","Mayadevi Nagar, Samata Nagar",20.9894173,75.5546963,ChIJwz3VBrEP2TsRblU2Vbly5kw,https://www.google.com/maps/place/?q=place_id:ChIJwz3VBrEP2TsRblU2Vbly5kw,part_140,2026-09-22 06:00:44
Gladiator Dance Classes,Music and Dance Academy,Dance school,Dance school,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 98236 45100,N/A,4.9,,"Adarsha Nagar Adarsha Nagar, Adarsh Nagar Rd, Ganesh Nagar, Ganapati Nagar, Jalgaon, Maharashtra 425002","Ganesh Nagar, Ganapati Nagar",20.992175,75.5622527,ChIJFVzhjk0O2TsRxF31-J3dFk8,https://www.google.com/maps/place/?q=place_id:ChIJFVzhjk0O2TsRxF31-J3dFk8,part_140,2026-09-22 06:00:44
Dharma's MUSIC & DANCE Academy,Music and Dance Academy,Dance school,Dance school,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 94930 71498,N/A,4.9,,"1-4, S Kota Road, near SBI Collectorate Jn. Branch, Sai Baba Nagar, Vizianagaram Cantonment, Siriyalapeta, Andhra Pradesh 535003","Sai Baba Nagar, Vizianagaram Cantonment",18.1199776,83.3840031,ChIJEwqKs8blOzoRdQ0OMKlABA8,https://www.google.com/maps/place/?q=place_id:ChIJEwqKs8blOzoRdQ0OMKlABA8,part_140,2026-09-22 06:00:44
Raj Music and Dance Classes,Music and Dance Academy,Dance school,"Dance school, Dance club, Dance store, Guitar instructor, Hip Hop Dance Class, Yoga studio",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 87888 85079,http://www.rajmusicdanceclasses.in/,4.9,,"Gurukrupa English Medium School, opp. Tanish Pearls, Wagholi, Charholi Budruk, Pune, Pimpri-Chinchwad, Maharashtra 412105","Wagholi, Charholi Budruk",18.659665099999998,73.898607,ChIJV042KbHHwjsRaBEb6CHR_yI,https://www.google.com/maps/place/?q=place_id:ChIJV042KbHHwjsRaBEb6CHR_yI,part_140,2026-09-22 06:00:44
RIDHI SINDHI DANCE STUDIO,Music and Dance Academy,Dance school,Dance school,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 93729 85789,N/A,4.7,,"Shop No 1, Aakashwani Road, near Union Bank, New Joshi Colony, Prabhat Colony, Jalgaon, Maharashtra 425001","New Joshi Colony, Prabhat Colony",20.9972198,75.564679,ChIJb7gQw7IP2TsRc8ugHidprMc,https://www.google.com/maps/place/?q=place_id:ChIJb7gQw7IP2TsRc8ugHidprMc,part_140,2026-09-22 06:00:44
N Square Music Academy,Music and Dance Academy,Guitar instructor,Guitar instructor,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 72765 19619,https://www.instagram.com/nsquare_musicacademy?igsh=dHZ0MXRybDRjazhm&utm_source=qr,5.0,,"Shikshak Wadi, IMR College Campus, Plot-10, behind Harish Sweet Mart, Ajay Colony, Jalgaon, Maharashtra 425001",Ajay Colony,21.01186,75.54746,ChIJ0VVx668P2TsRqx7me11N72Y,https://www.google.com/maps/place/?q=place_id:ChIJ0VVx668P2TsRqx7me11N72Y,part_140,2026-09-22 06:00:44
SID Music Academy,Music and Dance Academy,Music instructor,Music instructor,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 83293 39725,N/A,5.0,,"Plot no 8, Block 130/2 Sai Geetai Nagar, behind Janavi Hotel, Jalgaon, Maharashtra 425001","Swanand Nagar, Sagar Nagar",21.0095,75.5883924,ChIJmwqDmHcP2TsRN-Ded4WNCzc,https://www.google.com/maps/place/?q=place_id:ChIJmwqDmHcP2TsRN-Ded4WNCzc,part_140,2026-09-22 06:00:44
Mudra School Of Bharatnatyam,Music and Dance Academy,Dance school,Dance school,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 94239 78208,N/A,4.8,,"Suyog 144, Navi Peth, Jalgaon, Maharashtra 425001","Navi Peth, Jaikisan Wadi",21.0146798,75.5661453,ChIJIZFgmqMP2TsRTyqybr-PYio,https://www.google.com/maps/place/?q=place_id:ChIJIZFgmqMP2TsRTyqybr-PYio,part_140,2026-09-22 06:00:44
Pt. Sanjay Patki,Music and Dance Academy,Music instructor,Music instructor,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 70283 68678,N/A,5.0,,"Mayadevi Nagar, Yashwant Nagar, Jalgaon, Maharashtra 425002","Mayadevi Nagar, Yashwant Nagar",20.9900569,75.55362819999999,ChIJ____v0kO2TsRwbpUKvbfrL8,https://www.google.com/maps/place/?q=place_id:ChIJ____v0kO2TsRwbpUKvbfrL8,part_140,2026-09-22 06:00:44
