business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bobby snehals makeup artist,Bridal Makeup Artist,Make-up artist,Make-up artist,425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",N/A,https://call.whatsapp.com/video/yWtaCGay5x0zvfggJVHrYv,5.0,,"09/21, near by sant Dnyaneshwar school, Mehrun, Rameshwar Nagar, Jalgaon, Maharashtra 425001","Mehrun, Rameshwar Nagar",20.993315199999998,75.578321,ChIJ1SG1bAAP2TsRfx5n7znHMmY,https://www.google.com/maps/place/?q=place_id:ChIJ1SG1bAAP2TsRfx5n7znHMmY,part_140,2026-09-22 06:04:47
Jalgaon_makeup_artist,Bridal Makeup Artist,Make-up artist,Make-up artist,425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 83905 00289,https://www.instagram.com/sk_international_makeover?igsh=MW0yZDlyczVwenJrdA==,5.0,,"Tambapura, Jalgaon, Maharashtra 425003",Tambapura,20.986299799999998,75.575238,ChIJlZp-Q-6ygSQR24CuZ2AOeaA,https://www.google.com/maps/place/?q=place_id:ChIJlZp-Q-6ygSQR24CuZ2AOeaA,part_140,2026-09-22 06:04:47
Beautify Makeup Artist,Bridal Makeup Artist,Make-up artist,Make-up artist,425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",N/A,N/A,,,"block no 21, Old, Jalgaon-Asoda Rd, behind Mohan theatre, Kanchan Nagar, Rampeth, Jalgaon, Maharashtra 425001","Kanchan Nagar, Rampeth",21.016466299999998,75.5791167,ChIJjxEUe6wP2TsRau89yXHiNjI,https://www.google.com/maps/place/?q=place_id:ChIJjxEUe6wP2TsRau89yXHiNjI,part_140,2026-09-22 06:04:47
Jayanti's Makeup Studio & Beauty Salon (Academy),Bridal Makeup Artist,Make-up artist,"Make-up artist, Beautician, Facial spa",425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 94322 23028,http://jayantismakeoverandparlour.online/,4.9,147.0,"Mamoni Apartment, BA 37, Jhilpar, Desh Bandhu Nagar, Baguiati, Kolkata, West Bengal 700059","Jhilpar, Desh Bandhu Nagar, Baguiati",22.613572599999998,88.4253873,ChIJ2ekClTef-DkRzgedYwXxK28,https://www.google.com/maps/place/?q=place_id:ChIJ2ekClTef-DkRzgedYwXxK28,part_140,2026-09-22 06:04:48
ShizzB Makeover & academy,Bridal Makeup Artist,Make-up artist,Make-up artist,425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 79061 07631,N/A,4.7,104.0,"Chowk, Shimla Bypass Rd, near Post Office, Subhash Nagar, Dehradun, Shewala Kala, Uttarakhand 248171",Subhash Nagar,30.293291999999997,77.99834179999999,ChIJb9Q7vcUrCTkRmTCGK52pKtc,https://www.google.com/maps/place/?q=place_id:ChIJb9Q7vcUrCTkRmTCGK52pKtc,part_140,2026-09-22 06:04:48
The Makeover Bridal & Designing Studio,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beauty Parlour, Boutique, Bridal shop, Fashion designer",425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 80861 45731,https://www.instagram.com/themakeoverbds?igsh=MXhrd2F5cnY4dzU1bQ==,4.9,761.0,"Melarannoor, Karamana, Thiruvananthapuram, Keralam 695002","Melarannoor, Karamana",8.4900003,76.9657859,ChIJM5C6Rw27BTsRCxg6Mp0_aZs,https://www.google.com/maps/place/?q=place_id:ChIJM5C6Rw27BTsRCxg6Mp0_aZs,part_140,2026-09-22 06:04:48
Moumita'ss Makeup Artistry,Bridal Makeup Artist,Make-up artist,Make-up artist,425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 98369 99119,https://moumitassmakeupartistry.in/,4.6,49.0,"Shivam Apartment, 368/D, SN Roy Rd, Sahapur, New Alipore, Kolkata, Flat2E, West Bengal 700038","Sahapur, New Alipore",22.5076496,88.3304208,ChIJ8V2wButxAjoRnz41MF2zEGk,https://www.google.com/maps/place/?q=place_id:ChIJ8V2wButxAjoRnz41MF2zEGk,part_140,2026-09-22 06:04:48
Makeover by Pooja Gowda,Bridal Makeup Artist,Make-up artist,Make-up artist,425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 81051 87383,https://www.instagram.com/makeoverby_poojagowda,5.0,5.0,"JR Enclave, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034","Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector",12.9283971,77.6370652,ChIJ2fTVvycVrjsRpFuAlIYgJj0,https://www.google.com/maps/place/?q=place_id:ChIJ2fTVvycVrjsRpFuAlIYgJj0,part_140,2026-09-22 06:04:48
N R Makeup world,Bridal Makeup Artist,Make-up artist,Make-up artist,425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",N/A,http://www.nrmakeup.in/,4.8,40.0,"102, 1st Cross Rd, Balaji Layout, Balaji Nagar, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085","Balaji Layout, Balaji Nagar, Banashankari 3rd Stage, Banashankari",12.931539599999999,77.5589698,ChIJpUEImGk_rjsRUqOJF3-otCw,https://www.google.com/maps/place/?q=place_id:ChIJpUEImGk_rjsRUqOJF3-otCw,part_140,2026-09-22 06:04:48
Artbysruj Makeup,Bridal Makeup Artist,Make-up artist,"Make-up artist, Stylist",425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",N/A,https://www.instagram.com/artbysruj,4.9,137.0,"Bharat Dynamics Limited, MIG 303, near RO water plant, behind ESI hospital, BDL Colony, Bharat Heavy Electricals Limited, Ramachandrapuram, Hyderabad, Telangana 502032","BDL Colony, Bharat Heavy Electricals Limited",17.5054752,78.2853116,ChIJU3kBPtLzyzsRPhP7mMh2v6g,https://www.google.com/maps/place/?q=place_id:ChIJU3kBPtLzyzsRPhP7mMh2v6g,part_140,2026-09-22 06:04:48
