business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Blueantz Advertising,PPC Advertising Agencies,Advertising agency,"Advertising agency, Branding agency, Design agency, E-commerce service, Graphic designer, Internet marketing service, Marketing agency, Video production service, Website designer",425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 83350 67075,https://www.blueantz.in/,4.0,55.0,"Ground Floor and 2nd Floor, Trinayani Plaza, 36A, 1, Purbachal Kalitala Rd, Kolkata, West Bengal 700078","Purbachal Kalitala, Kalikapur, Haltu",22.5037242,88.399372,ChIJQUX8MlhxAjoRdTbHiTFI94g,https://www.google.com/maps/place/?q=place_id:ChIJQUX8MlhxAjoRdTbHiTFI94g,part_140,2026-09-22 06:05:01
Bud Creative Ad Agency,PPC Advertising Agencies,Advertising agency,"Advertising agency, Internet marketing service, Marketing agency",425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 98868 33138,http://www.budindia.com/,4.3,,"1st, Floor, 826, 3rd Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043","HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar",13.0179347,77.6463172,ChIJe9dDvNYWrjsRBcucFEgrIMQ,https://www.google.com/maps/place/?q=place_id:ChIJe9dDvNYWrjsRBcucFEgrIMQ,part_140,2026-09-22 06:05:01
Web Converts,PPC Advertising Agencies,Advertising agency,"Advertising agency, Internet marketing service, Branding agency, Marketing agency, Marketing consultant, Website designer",425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 91486 64991,https://webconverts.com/,5.0,,"2nd floor, Krishna Arcade, 4, Kodigehalli Main Rd, Balaji Layout, Tatanagar, Koti Hosahalli, Bengaluru, Karnataka 560094","Balaji Layout, Tatanagar, Koti Hosahalli",13.0514882,77.57498489999999,ChIJ3WajSBYXrjsRfQtBqYP2_tY,https://www.google.com/maps/place/?q=place_id:ChIJ3WajSBYXrjsRfQtBqYP2_tY,part_140,2026-09-22 06:05:01
𝗔𝗺𝗮𝘆𝘁𝗶𝗰𝘀,PPC Advertising Agencies,Advertising agency,"Advertising agency, Marketing agency, Branding agency, E - Commerce Agency, Graphic designer, Internet marketing service, Marketing consultant, Media company, Website designer",425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 98182 26393,https://www.amaytics.com/?utm_source=GMB&utm_medium=Knowledge+Panel&utm_campaign=GMB+Click,4.9,,"Unit No-220, 2nd, Universal Trade Tower, Badshahpur Sohna Rd, Block S, Sector 49, Gurugram, Haryana 122018","Block S, Sector 49",28.415031,77.0420109,ChIJDxaySbufjYARpFdZjXYZFYU,https://www.google.com/maps/place/?q=place_id:ChIJDxaySbufjYARpFdZjXYZFYU,part_140,2026-09-22 06:05:01
Rednirus Digital Media,PPC Advertising Agencies,Internet marketing service,Internet marketing service,425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 98888 85364,https://www.rednirus.in/,4.5,,"2nd Floor, SCO 207, Sector 14, BEL Colony, Budanpur, Panchkula, Haryana 134109","BEL Colony, Budanpur",30.6837448,76.8462152,ChIJ9SVgM_OVDzkRLRO2vuZHb8o,https://www.google.com/maps/place/?q=place_id:ChIJ9SVgM_OVDzkRLRO2vuZHb8o,part_140,2026-09-22 06:05:01
ADVERTSHIP - best digital marketing company,PPC Advertising Agencies,Internet marketing service,"Internet marketing service, Service establishment",425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 70095 78033,https://advertship.com/,,,"ADVERTSHIP - best digital marketing company, 425309, India",425309,21.0680074,82.7525294,ChIJT_PkrWZxHwERH3EmO-55ms4,https://www.google.com/maps/place/?q=place_id:ChIJT_PkrWZxHwERH3EmO-55ms4,part_140,2026-09-22 06:05:01
Apptians,PPC Advertising Agencies,Marketing agency,"Marketing agency, Computer support and services, Human resource consulting, Software company, Website designer",425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 70422 02435,https://apptians.com/,4.9,,"1473, South Extension I, Wazir Nagar, New Delhi, Delhi 110003","South Extension I, Wazir Nagar",28.5710859,77.22483319999999,ChIJWctzvl7iDDkRI0nT6hSEwxA,https://www.google.com/maps/place/?q=place_id:ChIJWctzvl7iDDkRI0nT6hSEwxA,part_140,2026-09-22 06:05:01
Growth Hackers,PPC Advertising Agencies,Marketing agency,Marketing agency,425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 81470 62690,https://growthhackers.digital/,4.6,,"8th Floor, Whitefield Main Rd, Brigade Metropolis, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048","Brigade Metropolis, Garudachar Palya, Mahadevapura",12.9916994,77.7028745,ChIJq7PHIjYRrjsR6tRUGp2Ujro,https://www.google.com/maps/place/?q=place_id:ChIJq7PHIjYRrjsR6tRUGp2Ujro,part_140,2026-09-22 06:05:01
"Apptians SEO Company Ghaziabad - Best SEO Agency in Ghaziabad, Uttar Pradesh",PPC Advertising Agencies,Marketing agency,Marketing agency,425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 70422 02435,N/A,,,"Bharat City, E2 202, Tilla Mode - Farukh Nagar Rd, Loni, Ghaziabad, Afzalpur, Uttar Pradesh 201102",Loni,28.729045,77.3381407,ChIJK7Iuws75DDkR0UCHrwAk_us,https://www.google.com/maps/place/?q=place_id:ChIJK7Iuws75DDkR0UCHrwAk_us,part_140,2026-09-22 06:05:01
ONEwAY EDU SOLUTION,PPC Advertising Agencies,Website designer,"Website designer, Computer support and services, Service establishment, Internet marketing service, Software company, Telephone Marketing Agency",425309,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nashirabad S.O, Jalgaon K H B.O, Sunasgaon B.O",+91 90456 10802,https://onewayedusolution.com/,5.0,,"ONEwAY EDU SOLUTION, 425309, India",425309,24.0053178,76.406086,ChIJu24ycbUW5w8R6UWPayAJsoY,https://www.google.com/maps/place/?q=place_id:ChIJu24ycbUW5w8R6UWPayAJsoY,part_140,2026-09-22 06:05:01
