business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
hm digital marketing services,Digital Marketing Agencies,Internet marketing service,Internet marketing service,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 95791 51598,N/A,5.0,,"Kunte Rd, near shiv kunj building, Saraf Bazar, Amalner, Maharashtra 425401",Saraf Bazar,21.0384229,75.06321539999999,ChIJIRxyguP9iwkRC7lLfC3KX8M,https://www.google.com/maps/place/?q=place_id:ChIJIRxyguP9iwkRC7lLfC3KX8M,part_140,2026-09-22 06:07:24
Aavizon Digital Marketing Agency,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Service establishment, Marketing agency, Website designer",425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 99212 09699,N/A,4.5,,"Aavizon Digital Marketing Agency, 425401, India",425401,19.8972895,74.6467292,ChIJTxJw3INwuIQRpkaAMcXnfPI,https://www.google.com/maps/place/?q=place_id:ChIJTxJw3INwuIQRpkaAMcXnfPI,part_140,2026-09-22 06:07:24
LAPID INDIA DIGITAL,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Digital printing service, Service establishment, Marketing consultant, Video editing service, Website designer",425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 75593 57157,https://www.lapidindia.com/,5.0,,"LAPID INDIA DIGITAL, 425401, India",425401,21.0680074,82.7525294,ChIJm4IG3ctQOk4RffwzCrwNTPo,https://www.google.com/maps/place/?q=place_id:ChIJm4IG3ctQOk4RffwzCrwNTPo,part_140,2026-09-22 06:07:24
FREELANCER ELECTION CAMPAIGN MANAGEMENT COMPANY,Digital Marketing Agencies,Marketing agency,Marketing agency,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",N/A,https://freelancercampaign.in/,4.8,,"patil gadhi, 4283 A, Shahadu Appanchi Haveli, Tal, Chopda, Maharashtra 425107",Sanjivani Nagar,21.2417512,75.2971091,ChIJ1UCHvgrf2DsR9wEmIupu76w,https://www.google.com/maps/place/?q=place_id:ChIJ1UCHvgrf2DsR9wEmIupu76w,part_140,2026-09-22 06:07:24
Prime & Pixel Media,Digital Marketing Agencies,Advertising agency,Advertising agency,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 85510 87832,https://youtube.com/@primeandpixelmedia?si=re4jGyewcCZN6srJ,5.0,,"Studio Dinesh, Mundada Market Lane No 7, infront of Sukhkarta CT scan, Parola Rd, Dhule, Maharashtra 424001","Dongare Maharaj Nagar, Pawan Nagar",20.903928099999998,74.7877822,ChIJuUA59nrP3jsRvP-Rjt8NZO8,https://www.google.com/maps/place/?q=place_id:ChIJuUA59nrP3jsRvP-Rjt8NZO8,part_140,2026-09-22 06:07:24
SHRAKPBMEDIA - Advertising Agency |Digital marketing agency | Media Marketing Company,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Service establishment, Marketing agency, Website designer",425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",N/A,https://shrakpbmedia.com/,,,"SHRAKPBMEDIA - Advertising Agency |Digital marketing agency | Media Marketing Company, 425401, India",425401,21.186266399999997,74.8257232,ChIJVSKsw5IXBA8RTtNC2Pjl0n0,https://www.google.com/maps/place/?q=place_id:ChIJVSKsw5IXBA8RTtNC2Pjl0n0,part_140,2026-09-22 06:07:24
Digitalong - Web & Marketing Services,Digital Marketing Agencies,Website designer,"Website designer, Service establishment, Internet marketing service, Internet service provider, Web hosting company",425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 77758 49923,https://digitalong.in/,5.0,,"Digitalong - Web & Marketing Services, 425401, India",425401,20.761514,74.0298856,ChIJ9QgxhW8a5EARwBYNYw8TTek,https://www.google.com/maps/place/?q=place_id:ChIJ9QgxhW8a5EARwBYNYw8TTek,part_140,2026-09-22 06:07:24
"""Shree Enterprises - Digital Marketing & Advertising agency",Digital Marketing Agencies,Advertising agency,Advertising agency,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 91588 72689,https://shree-enterprises-bohara.grexa.site/,,,"bohare, amalner, Bohara, Maharashtra 425402",bohare,21.179692199999998,75.0207856,ChIJY2XvDk4hRCIRB7lC3YFPf-8,https://www.google.com/maps/place/?q=place_id:ChIJY2XvDk4hRCIRB7lC3YFPf-8,part_140,2026-09-22 06:07:24
Shree Enterprises,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency",425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 83292 55261,https://www.facebook.com/profile.php?id=61577189964735,,,"AT POST BOHARE, TAL, AMALNER, Jalgaon, Maharashtra 425402",425401,21.1791743,75.0214506,ChIJnRZ_YSAr2TsR7cGnUaQ-qCE,https://www.google.com/maps/place/?q=place_id:ChIJnRZ_YSAr2TsR7cGnUaQ-qCE,part_140,2026-09-22 06:07:24
Shaurya Multimedia - Graphics & Video,Digital Marketing Agencies,Graphic designer,Graphic designer,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 97307 71307,https://www.youtube.com/@Shauryamultimedia,5.0,6.0,"Kalinka mata mandir, Kasar Galli, Hanuman Nagar, Amalner, Maharashtra 425401",Hanuman Nagar,21.035381599999997,75.0652063,ChIJmRw91ggv2TsRdpvhsg1DNDA,https://www.google.com/maps/place/?q=place_id:ChIJmRw91ggv2TsRdpvhsg1DNDA,part_140,2026-09-22 06:07:24
Swaraj printing hub,Digital Marketing Agencies,Graphic designer,Graphic designer,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 74997 48173,https://swaraj-printing-hub.grexa.site/,5.0,7.0,"Balaji Nagar, Parola, Maharashtra 425111",Balaji Nagar,20.8725013,75.1194362,ChIJSUuW9D032TsRSMkCioqlILY,https://www.google.com/maps/place/?q=place_id:ChIJSUuW9D032TsRSMkCioqlILY,part_140,2026-09-22 06:07:24
M-Studioz,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Advertising Photographer, Graphic designer, Recording studio, Music producer, Video editing service, Video production service, Website designer",425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 70587 73979,http://www.mstudiozmedia.com/,4.9,16.0,"5,Madhav Colony, 80 Feet Rd, Dhule, Maharashtra 424004",Pawan Nagar,20.9001116,74.7826889,ChIJads660zP3jsR-7eTtbfUHI0,https://www.google.com/maps/place/?q=place_id:ChIJads660zP3jsR-7eTtbfUHI0,part_140,2026-09-22 06:07:24
WEBIN INDIA :- Perfect Media Solution,Digital Marketing Agencies,Marketing agency,"Marketing agency, Website designer",425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",N/A,https://pawanshirsath.github.io/,5.0,,"Koli boarding,Patilgadi, nearby bus stand,chopda Chopda, district:-jalgoan, Chopda, Maharashtra 425107",Sanjivani Nagar,21.243189899999997,75.2970766,ChIJC6HlmC3f2DsReh1TNsGMTIc,https://www.google.com/maps/place/?q=place_id:ChIJC6HlmC3f2DsReh1TNsGMTIc,part_140,2026-09-22 06:07:25
