business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sai Seva Provision & General stores,Kirana Store,General store,General store,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 91583 24093,N/A,5.0,27.0,"Sane Guruji Housing Society, Dis, near Swami Samarth Temple, Amalner, Maharashtra 425401",Suyog Society,21.0392397,75.0584223,ChIJH9JIek8t2TsRmTtvU9mx4HA,https://www.google.com/maps/place/?q=place_id:ChIJH9JIek8t2TsRmTtvU9mx4HA,part_140,2026-09-22 06:06:51
B N KIRANA SHOPPE,Kirana Store,Grocery store,"Grocery store, Indian grocery store",425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 92267 00070,N/A,3.9,14.0,"Shop No.1 Kunte Chowk, Near, Main Road, Amalner, Maharashtra 425401",Marathe Galli,21.0434011,75.0640511,ChIJxRnrW0gv2TsRX-WVSWOuSQ0,https://www.google.com/maps/place/?q=place_id:ChIJxRnrW0gv2TsRX-WVSWOuSQ0,part_140,2026-09-22 06:06:51
Pritesh Kirana And General Store,Kirana Store,General store,General store,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 90213 58298,N/A,3.0,2.0,"Shop No 1, Surabhi Colony, Amalner Rural, Maharashtra 425401",Surabhi Colony,21.030113099999998,75.05114689999999,ChIJsxVzfAEt2TsRoMSBYzCb9H0,https://www.google.com/maps/place/?q=place_id:ChIJsxVzfAEt2TsRoMSBYzCb9H0,part_140,2026-09-22 06:06:51
Matoshree kirana and general store,Kirana Store,General store,General store,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 99602 09751,N/A,,,"Row house, lane no.1, Tambepura, Amalner, Maharashtra 425401",Tambepura,21.0570891,75.0627879,ChIJabvBDKUv2TsRcx3UoDQhfLI,https://www.google.com/maps/place/?q=place_id:ChIJabvBDKUv2TsRcx3UoDQhfLI,part_140,2026-09-22 06:06:51
Mauli Kirana Shop,Kirana Store,General store,General store,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 76206 42250,N/A,,,"Sho No 01, Ekrukhi Gav Amalner, Sane Nagar, Amalner, Maharashtra 425401",Sane Nagar,21.0425877,75.0574227,ChIJXQASoKot2TsRgAsuH2fhsB8,https://www.google.com/maps/place/?q=place_id:ChIJXQASoKot2TsRgAsuH2fhsB8,part_140,2026-09-22 06:06:51
Yogendra amruttuly,Kirana Store,General store,General store,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 91467 02632,N/A,5.0,63.0,"Suyog Society, Amalner, Maharashtra 425401",Suyog Society,21.0392471,75.0546895,ChIJRdB9AN4t2TsRzZync9qVDEw,https://www.google.com/maps/place/?q=place_id:ChIJRdB9AN4t2TsRzZync9qVDEw,part_140,2026-09-22 06:06:51
Kulswamini General Store & Xeox,Kirana Store,General store,General store,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 83293 72129,N/A,2.0,1.0,"Bapuji Smruti, Kunte Rd, Saraf Bazar, Amalner, Maharashtra 425401",Saraf Bazar,21.0386284,75.06415919999999,ChIJNWEs_3cv2TsRhLRiCLkRzAk,https://www.google.com/maps/place/?q=place_id:ChIJNWEs_3cv2TsRhLRiCLkRzAk,part_140,2026-09-22 06:06:51
Swami Kirana Janral And icecrim,Kirana Store,Grocery store,Grocery store,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 70200 54241,N/A,5.0,2.0,"Shop No 1, LIC Colony, Kranti Nagar, Amalner, Maharashtra 425401","LIC Colony, Kranti Nagar",21.0379012,75.0481073,ChIJGyU7uKgt2TsRJlJXl1o2rn0,https://www.google.com/maps/place/?q=place_id:ChIJGyU7uKgt2TsRJlJXl1o2rn0,part_140,2026-09-22 06:06:51
New Mundada Provision and General Stores,Kirana Store,Indian grocery store,Indian grocery store,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",+91 70283 57057,N/A,5.0,1.0,"Infront of MSEB, Bombay Galli, Marathe Galli, Amalner, Maharashtra 425401",Marathe Galli,21.0462939,75.0640724,ChIJd1EXjJkv2TsRLnr6bvi7PaU,https://www.google.com/maps/place/?q=place_id:ChIJd1EXjJkv2TsRLnr6bvi7PaU,part_140,2026-09-22 06:06:51
Sadguru Provision & General Store,Kirana Store,General store,General store,425401,Maharashtra Circle,Aurangabad Region,Jalgaon Division,"Amalner S.O (Jalgaon), AmbaPimpri B.O, Bharvas B.O",N/A,N/A,5.0,1.0,"House no:-33, Rajaram Nagar, Besides, Shirud Naka Rd, Amalner, Amalner Rural, Maharashtra 425401",425401,21.0294289,75.06026299999999,ChIJuReU1t8t2TsR_Y1H52jcnCs,https://www.google.com/maps/place/?q=place_id:ChIJuReU1t8t2TsR_Y1H52jcnCs,part_140,2026-09-22 06:06:51
