business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"VOICE Pet Hospital, HBR layout",Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Animal hospital, Cat boarding service, Dog day care center, Emergency veterinarian service, Pet boarding service, Pet microchip scanning station, Pet store, Pet supply store, Veterinary pharmacy",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 90196 32005,https://www.voicepethospital.com/,4.8,1174.0,"880, Dr, 5th Cross Rd, 1st Stage, Hennur Gardens, Bengaluru, Karnataka 560043","1st Stage, Hennur Gardens",13.0325565,77.6309552,ChIJvaoPGHkXrjsRnR1h5mjjiFI,https://www.google.com/maps/place/?q=place_id:ChIJvaoPGHkXrjsRnR1h5mjjiFI,part_140,2026-09-22 06:08:12
Jaipur Pet Hospital,Veterinary Clinic and Pet Hospital,Animal hospital,Animal hospital,425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 82392 44888,https://www.jaipurpethospital.com/,4.2,793.0,"Plot No. 35, Kalwar Rd, opposite CM Child Hospital, Chander Nagar, Roop Nagar, Jhotwara, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302012","Chander Nagar, Roop Nagar, Jhotwara",26.9453863,75.71221059999999,ChIJEZ0JViuzbTkRZapmPjV1UwU,https://www.google.com/maps/place/?q=place_id:ChIJEZ0JViuzbTkRZapmPjV1UwU,part_140,2026-09-22 06:08:12
Supertails RT Nagar Pet Clinic & Grooming Centre,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Diagnostic center, E-commerce service, Emergency veterinarian service, Pet groomer, Pet store, Pet supply store, Veterinary pharmacy",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 80 6213 7667,https://healthcare.supertails.com/rtnagar-clinic-lp/,4.9,48.0,"First Floor, No. 160, RT Nagar Main Rd, Phase 3, Matadahalli, Krishnappa Block, Ganganagar, Bengaluru, Karnataka 560032","Phase 3, Matadahalli, Krishnappa Block, Ganganagar",13.0167744,77.5914971,ChIJY7nLQZoXrjsRqgBa_8LCLsI,https://www.google.com/maps/place/?q=place_id:ChIJY7nLQZoXrjsRqgBa_8LCLsI,part_140,2026-09-22 06:08:12
Veterinary Hospitals,Veterinary Clinic and Pet Hospital,Veterinary care,Veterinary care,425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",N/A,N/A,4.3,18.0,"22°01'51. 74°54'32., 0""N, Rd Number 6, Anand Nagar Society, Sector 24, Gandhinagar, Gujarat 451551","Anand Nagar Society, Sector 24",22.030846099999998,74.9089625,ChIJUWLjVD35YTkR-toWc7iLPp8,https://www.google.com/maps/place/?q=place_id:ChIJUWLjVD35YTkR-toWc7iLPp8,part_140,2026-09-22 06:08:12
City Pet Hospital,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Pet groomer, Pet supply store, Pet trainer, Animal hospital, Veterinary pharmacy",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 70146 70440,http://citypethospital.in/,4.5,586.0,"688/01, Chota Chauraha, Shastri Nagar, Dadabari, Kota, Rajasthan 324009","Shastri Nagar, Dadabari",25.1587511,75.8272582,ChIJqdOIYKeFbzkRjk8IfVykk4U,https://www.google.com/maps/place/?q=place_id:ChIJqdOIYKeFbzkRjk8IfVykk4U,part_140,2026-09-22 06:08:12
Happy Paw's Pet Clinic & Pet Shop,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Pet store, Pet supply store, Veterinary pharmacy",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 93019 37782,N/A,4.5,125.0,"Shree Krishna Sanchi Point, Sankara eye hospital, CG-1, Vijay Nagar, Scheme No 74, Indore, Madhya Pradesh 452010","Vijay Nagar, Scheme No 74",22.7603649,75.88909319999999,ChIJHb0hnkQDYzkRc7BfWYZFye0,https://www.google.com/maps/place/?q=place_id:ChIJHb0hnkQDYzkRc7BfWYZFye0,part_140,2026-09-22 06:08:12
Dr nigam pet clinic & vaccination center,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 74156 51423,https://jsdl.in/DT-29IUMUQ6666,4.6,97.0,"88 tirupati nager infront of deepak kirana store infront of Deepak kirana, near saint paul school, Lalaram Nagar, Indore, Madhya Pradesh 452001","Geeta Nagar Colony, Lalaram Nagar",22.7145518,75.89212069999999,ChIJu2k0Iez9YjkR1jCJvrZuZxU,https://www.google.com/maps/place/?q=place_id:ChIJu2k0Iez9YjkR1jCJvrZuZxU,part_140,2026-09-22 06:08:12
The Pets Vet Veterinary Hospital,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Pet store, Animal hospital, Veterinary pharmacy",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",N/A,N/A,4.6,56.0,"41, SC Rd, Shastri Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302016",Shastri Nagar,26.9337128,75.7960931,ChIJOdpHf2mzbTkRB9UlDlnmRoo,https://www.google.com/maps/place/?q=place_id:ChIJOdpHf2mzbTkRB9UlDlnmRoo,part_140,2026-09-22 06:08:12
Lifeline Veterinary Clinic,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Pet store, Animal hospital",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 86869 07747,https://lifelineveterinaryclinic.com/,4.1,492.0,"Hyderguda Attapur 143 pillar, Hyderguda, Hyderabad, Telangana 500048","Hyderguda, Hyderaguda",17.365316999999997,78.42589269999999,ChIJ0_w6p02WyzsR6EtXjcohSCA,https://www.google.com/maps/place/?q=place_id:ChIJ0_w6p02WyzsR6EtXjcohSCA,part_140,2026-09-22 06:08:12
dr.sid's pet clinic ( डॉ. सिद्धार्थ ),Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 97823 16564,https://bit.ly/3qGpd4d,4.8,,"127vijay nagar, Vijay Nagar, Alwar, Rajasthan 301001",Vijay Nagar,27.58232,76.6072989,ChIJHR4TWruZcjkRR5bFkXx0iU8,https://www.google.com/maps/place/?q=place_id:ChIJHR4TWruZcjkRR5bFkXx0iU8,part_140,2026-09-22 06:08:13
Alwar Pet Clinic,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Pet store",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 90246 50510,N/A,4.7,,"C-808, Budh Vihar, Alwar, Rajasthan 301001","C Block, Budhvihar",27.588614,76.6119655,ChIJbwQUrbCZcjkRY9FHEa7jekA,https://www.google.com/maps/place/?q=place_id:ChIJbwQUrbCZcjkRY9FHEa7jekA,part_140,2026-09-22 06:08:13
My Pet Clinic - Best Veterinary Hospitals in Vizag,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Animal hospital, Emergency veterinarian service, Pet adoption service, Pet boarding service, Pet groomer, Surgeon",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 63017 12955,https://mypetclinicvizag.com/,4.7,,"Beside Foodex And Jack Frost, Bank St, Muralinagar, Madhavadhara, Visakhapatnam, Andhra Pradesh 530007","Muralinagar, Madhavadhara",17.7473817,83.2626774,ChIJ61d_EPRdOToRHV2sREErPjk,https://www.google.com/maps/place/?q=place_id:ChIJ61d_EPRdOToRHV2sREErPjk,part_140,2026-09-22 06:08:13
Sarvadnya Pet Care Unit,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 93719 07897,https://spcuvet.com/,4.6,,"Vishwanath Vihar, near, Vaishno Mata Marg, Indrayani Nagar, Chaitanya Park, Sector No. 1, Bhosari, Pimpri-Chinchwad, Maharashtra 411039","Indrayani Nagar, Chaitanya Park, Sector No. 1, Bhosari",18.635932699999998,73.84471429999999,ChIJ6TbFJYPHwjsRNPtMN-SCgkg,https://www.google.com/maps/place/?q=place_id:ChIJ6TbFJYPHwjsRNPtMN-SCgkg,part_140,2026-09-22 06:08:13
Kota dog pet clinic Veterinary hospital in kota . Dog clinic in kota,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Dog day care center, Dog walker, Pet groomer, Pet microchip scanning station, Pet moving service, Pet store, Pet trainer",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 98870 54733,http://www.kotadogpetclinic.com/,4.0,,"plot no 36, 37, in front of chamatkari veer hanuman mandir, near DAV School Road, Sector - C, Talwandi, Kota, Rajasthan 324005","Sector - C, Talwandi",25.1509453,75.8459786,ChIJrdD5y9uEbzkRoe29hM1q6d8,https://www.google.com/maps/place/?q=place_id:ChIJrdD5y9uEbzkRoe29hM1q6d8,part_140,2026-09-22 06:08:13
Galaxy pet clinic,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Hospital",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 80058 02170,https://galaxypetclinicalwar.com/,5.0,,"scheme No : 1, 10 A-22, Vivek Vihar, Ram Nagar, Alwar, Rajasthan 301001","Vivek Vihar, Ram Nagar",27.5755986,76.6074376,ChIJp1NIIXGbcjkR5bCTMODQyRA,https://www.google.com/maps/place/?q=place_id:ChIJp1NIIXGbcjkR5bCTMODQyRA,part_140,2026-09-22 06:08:13
Pet Wellness Clinic and Derm Centre,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Emergency veterinarian service, Animal hospital",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 86572 43559,N/A,4.7,,"Dwarka Suncrest Phase 1 Shop No. 1-4 Kokane, Chowk, Rahatani Rd, Pimple Saudagar, Pimpri-Chinchwad, Maharashtra 411017","Rambagh Colony, Pimple Saudagar",18.5985227,73.7899961,ChIJ3_w5UO-4wjsRa8MpV0bS_DQ,https://www.google.com/maps/place/?q=place_id:ChIJ3_w5UO-4wjsRa8MpV0bS_DQ,part_140,2026-09-22 06:08:13
Blue Pulse Pet Clinic,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Animal hospital",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 90962 59336,https://appointik.in/bluepulsepetclinic/,4.7,386.0,"Shop No. 07, Royal Imperio, 'E' Wing, Kokane Chowk, near Chitale Sweet, Rahatani, Pimpri-Chinchwad, Maharashtra 411017","Prassana Colony, Rahatani",18.5983248,73.7904624,ChIJLYLZuBi5wjsRsHsyNX5A5XA,https://www.google.com/maps/place/?q=place_id:ChIJLYLZuBi5wjsRsHsyNX5A5XA,part_140,2026-09-22 06:08:14
NIYA PET HOSPITAL,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 70194 63435,N/A,4.7,134.0,"31, Kanteerava Studio Main Rd, next to TARAN SAGAR HOTEL, Narasimha Layout, Nandini Layout, Bengaluru, Karnataka 560022","Narasimha Layout, Nandini Layout",13.019630999999999,77.5393718,ChIJHTyblqo9rjsRy8iO_XGFK38,https://www.google.com/maps/place/?q=place_id:ChIJHTyblqo9rjsRy8iO_XGFK38,part_140,2026-09-22 06:08:14
VET AND PET'S HUB - veterinary wholesale medicine and pet clinic,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Doctor, Pet boarding service, Pet groomer, Pet store, Pet trainer, Veterinary pharmacy, Wholesaler",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 91410 59869,N/A,4.8,53.0,"Krishna complex, BH Rd, channappa extension, Jyothi Nagar, Nelamangala Town, Karnataka 562123","channappa extension, Jyothi Nagar",13.0956044,77.4041167,ChIJS61dnjMlrjsRcMkxGSPAR3Q,https://www.google.com/maps/place/?q=place_id:ChIJS61dnjMlrjsRcMkxGSPAR3Q,part_140,2026-09-22 06:08:14
Sri Santhoshi vet and pet agencies,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, General store, Pet store, Pharmacy, Veterinary pharmacy",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 98498 14732,N/A,5.0,731.0,"Santhoshi Nilayam, Madhura Nagar, Shamshabad, Hyderabad, Telangana 501218","Madhura Nagar, Shamshabad",17.262250899999998,78.3870498,ChIJq7rh_yC8yzsR0wqmP9lVXAk,https://www.google.com/maps/place/?q=place_id:ChIJq7rh_yC8yzsR0wqmP9lVXAk,part_140,2026-09-22 06:08:14
VETMEX ANIMAL HEALTH,Veterinary Clinic and Pet Hospital,Manufacturer,Manufacturer,425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 63545 80964,http://www.vetmex.in/,4.4,14.0,"23, Haji Ali Chembers, near, Jinpara Main Rd, Chowk, Wankaner, Gujarat 363621",Chowk,22.6085741,70.95111469999999,ChIJV1hLZjKWWTkRJOy2qrRYQxo,https://www.google.com/maps/place/?q=place_id:ChIJV1hLZjKWWTkRJOy2qrRYQxo,part_140,2026-09-22 06:08:14
Sreenivasa vet pharma,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Emergency veterinarian service, Pet supply store, Pet store, Veterinary pharmacy",425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 91546 22075,N/A,4.9,13.0,"Shop No:12, Kinnera Complex, Satyanarayana Puram, Gudivada, Andhra Pradesh 521301",Satyanarayana Puram,16.4297953,80.9971395,ChIJ6bAVhJEdNjoRoQa-GBXcF5s,https://www.google.com/maps/place/?q=place_id:ChIJ6bAVhJEdNjoRoQa-GBXcF5s,part_140,2026-09-22 06:08:14
Supraja Enterprises Veterinary Medicines,Veterinary Clinic and Pet Hospital,Veterinary care,Veterinary care,425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 89127 06828,N/A,4.5,111.0,"29-2-37, CMR Road, Jagaamba Opposite Veterinary Hospital, Near District judge Court, Visakhapatnam, Andhra Pradesh 530020","Prakasaraopeta, Nehru Nagar, Ram Nagar",17.7163689,83.3043497,ChIJ6aUzXhdDOToR82AmaVU1_xg,https://www.google.com/maps/place/?q=place_id:ChIJ6aUzXhdDOToR82AmaVU1_xg,part_140,2026-09-22 06:08:14
SRI VINAYAKA VET PHARMA,Veterinary Clinic and Pet Hospital,Veterinary pharmacy,Veterinary pharmacy,425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 78427 34402,http://www.vinayakavet2021.com/,4.8,13.0,"PARADISE HOTEL BACK SIDE, RAVI ANJANEYA VAARI STREET, Kurnool Rd, Ongole, Andhra Pradesh 523002",Venkateswara Nagar,15.514745399999999,80.03782439999999,ChIJp9urf9EBSzoRimmWSH0ny2Q,https://www.google.com/maps/place/?q=place_id:ChIJp9urf9EBSzoRimmWSH0ny2Q,part_140,2026-09-22 06:08:14
Vet-needs Group,Veterinary Clinic and Pet Hospital,Manufacturer,Manufacturer,425403,Maharashtra Circle,Aurangabad Region,Dhule Division,"Betawad S.O, Ajande BK B.O, Mudawad B.O",+91 80 2357 4720,https://www.vetneedsgroup.com/,4.7,12.0,"Door no, 1150, 5th Main Rd, A Block, Milk Colony, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560010","A Block, Milk Colony, 2nd Stage, Rajajinagar",13.007762699999999,77.5557243,ChIJeayh__I9rjsRKRtX3hn2tRA,https://www.google.com/maps/place/?q=place_id:ChIJeayh__I9rjsRKRtX3hn2tRA,part_140,2026-09-22 06:08:14
