business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Yogesh patil,Businesses,Housing development,Housing development,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,,,"6RG9+H2Q, Nardana, Dattane, Maharashtra 425404",425404,21.226469899999998,74.817641,ChIJ6WmBTv0p3zsR-EpNGk5QodI,https://www.google.com/maps/place/?q=place_id:ChIJ6WmBTv0p3zsR-EpNGk5QodI,part_140,2026-09-22 06:09:12
Datta e,Businesses,Housing development,Housing development,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,,,"6RH9+539, शिंदखेड, Dattane, Maharashtra 425404",425404,21.227941299999998,74.8176536,ChIJ3-WeNQAp3zsRfSpZcsN3TSs,https://www.google.com/maps/place/?q=place_id:ChIJ3-WeNQAp3zsRfSpZcsN3TSs,part_140,2026-09-22 06:09:12
Home,Businesses,Apartment building,Apartment building,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,5.0,1.0,"5RWG+HX3, Nardana, Maharashtra 425404",425404,21.1963783,74.8274229,ChIJ7wW9EgAp3zsRF2oERuMjd8U,https://www.google.com/maps/place/?q=place_id:ChIJ7wW9EgAp3zsRF2oERuMjd8U,part_140,2026-09-22 06:09:12
Ajay Marathe House,Businesses,Apartment building,Apartment building,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,5.0,2.0,"5RXG+9F9, Pimprad, Maharashtra 425404",425404,21.19842,74.8262274,ChIJWXQaNAAp3zsR5Y0JoSRDzlQ,https://www.google.com/maps/place/?q=place_id:ChIJWXQaNAAp3zsR5Y0JoSRDzlQ,part_140,2026-09-22 06:09:12
Jayesh patil,Businesses,Aquaculture farm,Aquaculture farm,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,5.0,1.0,"6VQ3+C3H Jayesh, Varshi, Maharashtra 425404",425404,21.2385584,74.8527386,ChIJTUErlUYp3zsRZmmYJ2-M7xs,https://www.google.com/maps/place/?q=place_id:ChIJTUErlUYp3zsRZmmYJ2-M7xs,part_140,2026-09-22 06:09:12
S C E P L,Businesses,Electric utility company,Electric utility company,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,,,"5RVJ+3HR, Nardana, Maharashtra 425404",425404,21.192743,74.83139729999999,ChIJVYvxJAAp3zsRlnkjGmidxfA,https://www.google.com/maps/place/?q=place_id:ChIJVYvxJAAp3zsRlnkjGmidxfA,part_140,2026-09-22 06:09:12
Reshmai niwas,Businesses,Apartment building,Apartment building,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,5.0,1.0,"Shop5, Betavad Chawfuli, Nardana, Maharashtra 425404",Betavad Chawfuli,21.1965284,74.8271614,ChIJHeUFUQAp3zsRx7YDjHzXEYc,https://www.google.com/maps/place/?q=place_id:ChIJHeUFUQAp3zsRx7YDjHzXEYc,part_140,2026-09-22 06:09:12
Dsp farm,Businesses,Farm,Farm,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,,,"7V78+M4X, Kamkhede, Maharashtra 425404",425404,21.264243,74.8653449,ChIJxYmnEAAv3zsRYiB3s5Mmazg,https://www.google.com/maps/place/?q=place_id:ChIJxYmnEAAv3zsRYiB3s5Mmazg,part_140,2026-09-22 06:09:12
RT Manufacturing,Businesses,Manufacturer,Manufacturer,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,,,"6R87+979, Ajande Khurd, Maharashtra 425404",425404,21.2159239,74.8132387,ChIJ1Z6tHQAp3zsRKIui6a3IOU8,https://www.google.com/maps/place/?q=place_id:ChIJ1Z6tHQAp3zsRKIui6a3IOU8,part_140,2026-09-22 06:09:12
बळीराज निवास,Businesses,Condominium complex,Condominium complex,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,4.7,3.0,"6RH8+8XC, दत्ताणे, Dattane, Maharashtra 425404",425404,21.228301599999998,74.81739739999999,ChIJE5pUh5op3zsRIRPRKTw_Oz8,https://www.google.com/maps/place/?q=place_id:ChIJE5pUh5op3zsRIRPRKTw_Oz8,part_140,2026-09-22 06:09:12
Dharma Borse,Businesses,Housing development,Housing development,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,,,"6RG8+VJ, Dattane, Maharashtra 425404",425404,21.2272306,74.81652439999999,ChIJ4_WLHwAp3zsR1jcQhqBkalQ,https://www.google.com/maps/place/?q=place_id:ChIJ4_WLHwAp3zsR1jcQhqBkalQ,part_140,2026-09-22 06:09:12
Utkarsh Green Energy PVT LTD,Businesses,Solar Energy Company,Solar Energy Company,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,5.0,2.0,"AH47, Dabhashi, Varud, Maharashtra 425405",425404,21.211794299999998,74.8507856,ChIJB8DgfwAp3zsRhVfIqHbloQc,https://www.google.com/maps/place/?q=place_id:ChIJB8DgfwAp3zsRhVfIqHbloQc,part_140,2026-09-22 06:09:12
Shree Sarvadnya Green House,Businesses,Manufacturer,Manufacturer,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,5.0,5.0,"Shirpur Bypass Rd, Shirpur, Krantinagar, Untawad, Maharashtra 425405","Shirpur, Krantinagar",21.3122887,74.8606581,ChIJhXAjAQAv3zsRqygWC00_8mE,https://www.google.com/maps/place/?q=place_id:ChIJhXAjAQAv3zsRqygWC00_8mE,part_140,2026-09-22 06:09:13
H&D TECHNICAL TEXTILES LLP,Businesses,Manufacturer,Manufacturer,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,http://www.hdgroupindia.com/,5.0,10.0,"SURVEY NO 535/2/A/1 PLOT NO 01 PATAN SHIVAR VILLAGE NIRGUDI, TEL, Shindkhede, Patan, Maharashtra 425406",TEL,21.268773,74.7809736,ChIJ-VvEy94v3zsRf7GN37kth7U,https://www.google.com/maps/place/?q=place_id:ChIJ-VvEy94v3zsRf7GN37kth7U,part_140,2026-09-22 06:09:13
REVATI ENGINEERING WORKS,Businesses,Electric generator shop,Electric generator shop,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",+91 84218 31228,N/A,5.0,,"MELANE ROAD NARDANA NARDANA, TAL, Shindkhede, Maharashtra 425404",425404,21.1934948,74.830141,ChIJgaNBBEcp3zsRFY09R8wmYjY,https://www.google.com/maps/place/?q=place_id:ChIJgaNBBEcp3zsRFY09R8wmYjY,part_140,2026-09-22 06:09:13
Sawata Agro Traders,Businesses,Store,Store,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,4.0,,"6RXH+26W, Varshi, Maharashtra 425404",425404,21.247605399999998,74.8280882,ChIJqbeSMigp3zsRLb6sWNTSD-Y,https://www.google.com/maps/place/?q=place_id:ChIJqbeSMigp3zsRLb6sWNTSD-Y,part_140,2026-09-22 06:09:13
