business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jeevak Balrugnalay And Maternity Home,Nursing Home and Maternity Hospital,Hospital,Hospital,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",+91 2562 220 456,N/A,4.3,11.0,"19,Municipal Colony, Nehru Nagar ,Wadibhokar Road,, Near Nehru Nagar Water Tank,Deopur, Dhule, Maharashtra 424002",Municipal Colony,20.9146204,74.7737136,ChIJZ23T94XF3jsR9ZX-NG7V69U,https://www.google.com/maps/place/?q=place_id:ChIJZ23T94XF3jsR9ZX-NG7V69U,part_140,2026-09-22 06:08:45
Siddhi Maternity Hospital,Nursing Home and Maternity Hospital,Hospital,Hospital,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,4.9,54.0,"WQFH+866, in front of Gindodiya Hospital, Vidyanagri, Deopur, Dhule, Maharashtra 424005","Vidyanagri, Deopur",20.9232928,74.7780078,ChIJv7T_-4DF3jsRf-uzymPG2Ys,https://www.google.com/maps/place/?q=place_id:ChIJv7T_-4DF3jsRf-uzymPG2Ys,part_140,2026-09-22 06:08:45
Radhaswami Maternity Home,Nursing Home and Maternity Hospital,Hospital,Hospital,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",+91 2562 226 433,N/A,4.0,20.0,"3, BEHIND MODERN NURSERY, JAIHIND HIGHSCHOOL CHOWK, DEOPUR,, Dhule, Maharashtra 424002","Jaihind Colony, Deopur",20.9116792,74.77060089999999,ChIJ5WQTtI_F3jsR_3-YqrbWii8,https://www.google.com/maps/place/?q=place_id:ChIJ5WQTtI_F3jsR_3-YqrbWii8,part_140,2026-09-22 06:08:45
AMOD MATERNITY HOSPITAL ( DR MR & MRS MAHAJANI ),Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Hospital",425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,4.4,14.0,"6th,Lane, Parola Rd, Dhule, Maharashtra 424001",Nagar Patti,20.9032321,74.77941009999999,ChIJ9cgVSvXF3jsR3wDlRrsY3Po,https://www.google.com/maps/place/?q=place_id:ChIJ9cgVSvXF3jsR3wDlRrsY3Po,part_140,2026-09-22 06:08:45
Bafna Hospital And Maternity Home,Nursing Home and Maternity Hospital,Hospital,Hospital,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",+91 99414 12006,N/A,2.9,15.0,"Mahindale, Dhule, Maharashtra 424001",Mahindale,20.9027714,74.7647011,ChIJVeQXN5PF3jsRtGEO7U5J-vE,https://www.google.com/maps/place/?q=place_id:ChIJVeQXN5PF3jsRtGEO7U5J-vE,part_140,2026-09-22 06:08:45
"Ram Surgical and Maternity Hospital | Best Gynaecologist in Dhule | Laparoscopic Treatment, PCOD, Fibroids",Nursing Home and Maternity Hospital,Hospital,"Hospital, Doctor, Obstetrician-gynecologist, Gynecologist, Maternity Centre, Medical Center, Women's health clinic, Pregnancy care center, Surgeon, Surgical center",425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",+91 2562 234 630,https://youtube.com/channel/UCHZxMEOyZXv4bHEXbFbGzYw,4.9,37.0,"16 Badgujar Plots, Parola Rd, Dhule, Maharashtra 424004",Pawan Nagar,20.902125299999998,74.7828732,ChIJaSgDt1_P3jsRBt4YVbn4cOw,https://www.google.com/maps/place/?q=place_id:ChIJaSgDt1_P3jsRBt4YVbn4cOw,part_140,2026-09-22 06:08:45
Ranade Maternity Hospital,Nursing Home and Maternity Hospital,Maternity Centre,Maternity Centre,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",+91 93736 57925,N/A,4.8,32.0,"1245, Lane Number 4, opp. Bank Of Maharashtra, Nagar Patti, Dhule, Maharashtra 424001",Nagar Patti,20.9052448,74.7781017,ChIJZewi5orF3jsRzzFI_87Kbtw,https://www.google.com/maps/place/?q=place_id:ChIJZewi5orF3jsRzzFI_87Kbtw,part_140,2026-09-22 06:08:45
Kulkarni Maternity Hospital,Nursing Home and Maternity Hospital,Hospital,Hospital,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",+91 93714 80325,N/A,4.0,21.0,"Garud Baag, Navnath Nager, Dhule, Maharashtra 424001","Garud Baag, Navnath Nager",20.9027217,74.7679872,ChIJ5YXTspLF3jsRXdT7_viS1Zo,https://www.google.com/maps/place/?q=place_id:ChIJ5YXTspLF3jsRXdT7_viS1Zo,part_140,2026-09-22 06:08:45
Saroj Maternity Hospital,Nursing Home and Maternity Hospital,Hospital,Hospital,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",+91 94210 26350,N/A,4.5,10.0,"WQCH+VFJ, Vidyanagri, Deopur, Dhule, Maharashtra 424005","Vidyanagri, Deopur",20.9222151,74.7786254,ChIJ-WBAwoDF3jsRefPuvydM4YI,https://www.google.com/maps/place/?q=place_id:ChIJ-WBAwoDF3jsRefPuvydM4YI,part_140,2026-09-22 06:08:45
"Thakare Hospital,Deopur Dhule",Nursing Home and Maternity Hospital,Hospital,Hospital,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",+91 2562 222 590,N/A,4.3,22.0,"Wadibhokar Rd, Deopur, Dhule, Maharashtra 424002",Deopur,20.9157738,74.77097719999999,ChIJtQX1bIXF3jsR90dPzGEomeQ,https://www.google.com/maps/place/?q=place_id:ChIJtQX1bIXF3jsR90dPzGEomeQ,part_140,2026-09-22 06:08:45
THORAT hospital,Nursing Home and Maternity Hospital,Maternity Centre,Maternity Centre,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,5.0,2.0,"PLOT NO 9,JAMANAGIRI ROAD,NR DUTTA, Maharashtra 424001",425404,20.898094699999998,74.7646831,ChIJ2fMxKb3F3jsRmpWGilC1-VU,https://www.google.com/maps/place/?q=place_id:ChIJ2fMxKb3F3jsRmpWGilC1-VU,part_140,2026-09-22 06:08:45
Gayatri Hospital Maternity,Nursing Home and Maternity Hospital,Hospital,Hospital,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",+91 80556 63909,https://shirpurhelpcenter.in/2022/03/14/836/,4.9,217.0,"Chopda Jin, near Bus Stop, Shirpur, Varvade, Shirpur-Warwade, Maharashtra 425405","Shirpur, Varvade",21.3403174,74.8855833,ChIJT1Ejh1ot3zsR1PR3q5CccY0,https://www.google.com/maps/place/?q=place_id:ChIJT1Ejh1ot3zsR1PR3q5CccY0,part_140,2026-09-22 06:08:45
"Krishna Hospital Maternity Home & Diabetic, Heart Care Center",Nursing Home and Maternity Hospital,Hospital,Hospital,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,https://shirpurhelpcenter.in/2023/03/25/krishna-hospital-shirpur/,3.5,2.0,"Kashiram Nagar, near Gujarathi Complex, Shirpur, Siddharth Nagar, Shirpur-Warwade, Maharashtra 425405","Shirpur, Siddharth Nagar",21.3446096,74.8829662,ChIJixueX50t3zsRn0jje21ceko,https://www.google.com/maps/place/?q=place_id:ChIJixueX50t3zsRn0jje21ceko,part_140,2026-09-22 06:08:45
Matruseva Maternity Hospital,Nursing Home and Maternity Hospital,Maternity Centre,Maternity Centre,425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",N/A,N/A,3.4,27.0,"Plot No. 17, Shriram Nagar, Wadibhokar Rd, Deopur, Dhule, Maharashtra 424002",Deopur,20.9159231,74.7715581,ChIJrQlNCoXF3jsRVpkYIamwuys,https://www.google.com/maps/place/?q=place_id:ChIJrQlNCoXF3jsRVpkYIamwuys,part_140,2026-09-22 06:08:45
Pawar Hospital - Obstetrician Gynecologist in Dhule,Nursing Home and Maternity Hospital,Obstetrician-gynecologist,"Obstetrician-gynecologist, Gynecologist, Hospital, Urology clinic",425404,Maharashtra Circle,Aurangabad Region,Dhule Division,"Nardana S.O, Ajande KH B.O, Kamkheda B.O",+91 95452 98060,https://pawarhospital.org/,4.6,121.0,"38, Sadguru colony, oppo.Navtej Bazar, Sharda Nagar, Sudarshan Colony, Bhoi Society, Dhule, Maharashtra 424005","Sharda Nagar, Sudarshan Colony, Bhoi Society",20.928458,74.7775501,ChIJ9fy5VDbF3jsR4jg7cWguMz0,https://www.google.com/maps/place/?q=place_id:ChIJ9fy5VDbF3jsR4jg7cWguMz0,part_140,2026-09-22 06:08:45
