business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SDP HR Solution,HR Planning and Recruitment,Recruiter,"Recruiter, Employment agency",425409,Maharashtra Circle,Aurangabad Region,Dhule Division,"Shahada S.O, Ambapur B.O, Bhade B.O",+91 97129 14207,https://sdp-hr-solution.grexa.site/,4.7,,"610, GOLDEN SQUARE, SIXTH FLOOR, BESIDES D-MART, NEAR, ABC Cir, Bharuch, Gujarat 392015",Bholav,21.7228323,73.00445619999999,ChIJkzZ5hpcg4DsRcci742eFjWM,https://www.google.com/maps/place/?q=place_id:ChIJkzZ5hpcg4DsRcci742eFjWM,part_140,2026-09-22 06:11:54
MANRAJ JOB CONSULTANCY PVT. LTD.,HR Planning and Recruitment,BPO Placement Agency,BPO Placement Agency,425409,Maharashtra Circle,Aurangabad Region,Dhule Division,"Shahada S.O, Ambapur B.O, Bhade B.O",+91 87674 80838,N/A,3.7,,"NEWS HOUSE, RAMDOOT HANUMAN CHAUK, Desaipura, Sonabai Nagar, Nandurbar, Maharashtra 425412","Desaipura, Sonabai Nagar",21.3596494,74.2506384,ChIJ3Sow4M0J3zsRL_UjDiCIQH0,https://www.google.com/maps/place/?q=place_id:ChIJ3Sow4M0J3zsRL_UjDiCIQH0,part_140,2026-09-22 06:11:54
"Manish Man Power Agency,",HR Planning and Recruitment,Employment agency,Employment agency,425409,Maharashtra Circle,Aurangabad Region,Dhule Division,"Shahada S.O, Ambapur B.O, Bhade B.O",+91 84949 29444,https://manishmanpower.com/,3.8,22.0,"G9, Mailaralingeshwar Sadan, behind PWD Quarters, opp. District Training Center, Jewargi Colony, Uday Nagar, Kalaburagi, Karnataka 585102","Jewargi Colony, Uday Nagar",17.3132825,76.8172531,ChIJaUoon1W_yDsRcRZzV-sVNW8,https://www.google.com/maps/place/?q=place_id:ChIJaUoon1W_yDsRcRZzV-sVNW8,part_140,2026-09-22 06:11:55
D Vision HR Solution,HR Planning and Recruitment,Employment agency,Employment agency,425409,Maharashtra Circle,Aurangabad Region,Dhule Division,"Shahada S.O, Ambapur B.O, Bhade B.O",N/A,N/A,,,"Presidency Complex, opposite Tata Motors, above Surbhi Hotel, Gadkari Chowk, Trimbak Naka, Matoshree Nagar, Nashik, Maharashtra 422002","Gadkari Chowk, Trimbak Naka, Matoshree Nagar",19.9927457,73.7826011,ChIJ5SyJZA_r3TsRhk3E_rP_d80,https://www.google.com/maps/place/?q=place_id:ChIJ5SyJZA_r3TsRhk3E_rP_d80,part_140,2026-09-22 06:11:55
Ensure HR Solutions,HR Planning and Recruitment,Recruiter,"Recruiter, Service establishment",425409,Maharashtra Circle,Aurangabad Region,Dhule Division,"Shahada S.O, Ambapur B.O, Bhade B.O",N/A,https://ensurehr.in/,,,"Ensure HR Solutions, 425409, India",425409,21.0680074,82.7525294,ChIJyTKXB9nsnwQRw7srM9ozqpk,https://www.google.com/maps/place/?q=place_id:ChIJyTKXB9nsnwQRw7srM9ozqpk,part_140,2026-09-22 06:11:55
Crown HR Services,HR Planning and Recruitment,Recruiter,"Recruiter, Employment agency",425409,Maharashtra Circle,Aurangabad Region,Dhule Division,"Shahada S.O, Ambapur B.O, Bhade B.O",+91 99136 62233,http://www.crownhrservices.com/,4.8,186.0,"507 - 5th Floor, Notus IT Park -D Tower Sarabhai campus, Genda Cir, Vadodara, Gujarat 390023",Subhanpura,22.318828699999997,73.1670958,ChIJbZkT2azIXzkRSkHMvNX5klc,https://www.google.com/maps/place/?q=place_id:ChIJbZkT2azIXzkRSkHMvNX5klc,part_140,2026-09-22 06:11:55
Karma Consultants,HR Planning and Recruitment,Recruiter,"Recruiter, BPO Placement Agency, Consultant, Human resource consulting, Unemployment office",425409,Maharashtra Circle,Aurangabad Region,Dhule Division,"Shahada S.O, Ambapur B.O, Bhade B.O",+91 93702 53222,http://karmaconsultants.co.in/,3.6,33.0,"B101, 1st floor, Kadam Mansion, above IndianOverseas Bank, Mahatma Nagar, Nashik, Maharashtra 422005","Mahatma Nagar, Parijat Nagar",19.9989477,73.7540815,ChIJ____O3K45zsRY_VCNR5a75c,https://www.google.com/maps/place/?q=place_id:ChIJ____O3K45zsRY_VCNR5a75c,part_140,2026-09-22 06:11:55
Catalysts - Best HR Consultant in Vadodara - HR services in Vadodara,HR Planning and Recruitment,Recruiter,"Recruiter, Consultant, Employment agency, Human resource consulting",425409,Maharashtra Circle,Aurangabad Region,Dhule Division,"Shahada S.O, Ambapur B.O, Bhade B.O",+91 98254 82016,https://catalystshr.com/,4.8,118.0,"S/F-12, Shivalaya-2, 16, Vasna Rd, near Raneshwar Temple, opp. HP Petrol Pump, Ashwamegh Nagar, Tandalja, Vadodara, Gujarat 390007","Ashwamegh Nagar, Tandalja",22.2945237,73.1520491,ChIJFw4iICDGXzkRv3hAM3Y3T-k,https://www.google.com/maps/place/?q=place_id:ChIJFw4iICDGXzkRv3hAM3Y3T-k,part_140,2026-09-22 06:11:55
Recruto Alliance Pvt Ltd,HR Planning and Recruitment,Recruiter,"Recruiter, Payroll Service Provider, Employment center, Student career counseling office",425409,Maharashtra Circle,Aurangabad Region,Dhule Division,"Shahada S.O, Ambapur B.O, Bhade B.O",+91 72279 76248,http://www.recrutoalliance.com/,4.7,320.0,"433, The Boulevard, Nr Pratham Circle, Gallaria street, Pal, Adajan, Surat, Gujarat 394510","Adajan Gam, Adajan",21.189895099999998,72.7828534,ChIJB8uaWdNN4DsRYvJtOl5WRs4,https://www.google.com/maps/place/?q=place_id:ChIJB8uaWdNN4DsRYvJtOl5WRs4,part_140,2026-09-22 06:11:55
Talent Spiders Hr Solutions,HR Planning and Recruitment,Consultant,Consultant,425409,Maharashtra Circle,Aurangabad Region,Dhule Division,"Shahada S.O, Ambapur B.O, Bhade B.O",+91 99985 46540,http://www.talentspiders.in/,4.4,15.0,"1st Floor, Bbhavani Complex, Opp. Kotak Mahindra Bank, Shravan Chowkdi, Link Rd, Bharuch, Gujarat 392001",Nipan Nagar,21.7216816,72.986318,ChIJ3yjyZVYn4DsRRwIm72xIPhQ,https://www.google.com/maps/place/?q=place_id:ChIJ3yjyZVYn4DsRRwIm72xIPhQ,part_140,2026-09-22 06:11:55
