business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Mahalaxmi Batteries, EXIDE Battery",Car and Bike Battery Dealer,Battery Store,Battery Store,425415,Maharashtra Circle,Aurangabad Region,Dhule Division,"Akkalkuwa S.O, Ankushvihir B.O, Jamane B.O",+91 98603 39865,N/A,5.0,1.0,"NH 6, in front of Panchayat Samiti, Nandura, Maharashtra 443404",Qureshi Nagar,20.8366533,76.4554484,ChIJrzg4A7vj2TsRU6Msi1_k_Ts,https://www.google.com/maps/place/?q=place_id:ChIJrzg4A7vj2TsRU6Msi1_k_Ts,part_140,2026-09-22 06:15:01
J K Battery,Car and Bike Battery Dealer,Auto parts store,Auto parts store,425415,Maharashtra Circle,Aurangabad Region,Dhule Division,"Akkalkuwa S.O, Ankushvihir B.O, Jamane B.O",+91 98238 49787,N/A,,,"Shop No 1 Near Narmada Agency Dhule Chawk, Nandurbar, Maharashtra 425412","Desaipura, Sonabai Nagar",21.3599624,74.2500791,ChIJARGvOlsJ3zsRS-UlGy4LBbc,https://www.google.com/maps/place/?q=place_id:ChIJARGvOlsJ3zsRS-UlGy4LBbc,part_140,2026-09-22 06:15:01
Ambika Battery (Authorized Dealer),Car and Bike Battery Dealer,Car battery store,Car battery store,425415,Maharashtra Circle,Aurangabad Region,Dhule Division,"Akkalkuwa S.O, Ankushvihir B.O, Jamane B.O",+91 98230 62814,N/A,4.2,29.0,"Manmad Rd, near bsnl office, Nagde, Sakori, Maharashtra 423107",Nagde,19.719144999999997,74.479083,ChIJlXjfV0BZ3DsRvimy9tgaJ4U,https://www.google.com/maps/place/?q=place_id:ChIJlXjfV0BZ3DsRvimy9tgaJ4U,part_140,2026-09-22 06:15:01
Sairam Batteries,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler",425415,Maharashtra Circle,Aurangabad Region,Dhule Division,"Akkalkuwa S.O, Ankushvihir B.O, Jamane B.O",+91 99222 98959,N/A,5.0,53.0,"Parli Vaijanath-Beed Hwy, Wadwani, Maharashtra 431144",425415,18.993744,76.0396075,ChIJEw62dAI1xTsR7xOj6ESiXRk,https://www.google.com/maps/place/?q=place_id:ChIJEw62dAI1xTsR7xOj6ESiXRk,part_140,2026-09-22 06:15:01
deep jyoti battery,Car and Bike Battery Dealer,Auto parts store,"Auto parts store, Auto repair shop",425415,Maharashtra Circle,Aurangabad Region,Dhule Division,"Akkalkuwa S.O, Ankushvihir B.O, Jamane B.O",+91 94237 27865,N/A,5.0,2.0,"deep jyoti battery, Jafrabad, Maharashtra 431206",425415,20.1907592,76.01266009999999,ChIJWT3TByE_2jsRDLC8Gp8VG6E,https://www.google.com/maps/place/?q=place_id:ChIJWT3TByE_2jsRDLC8Gp8VG6E,part_140,2026-09-22 06:15:01
Exide Care - Exide House | Car Battery/Bike Battery/Inverter,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler, Battery Store",425415,Maharashtra Circle,Aurangabad Region,Dhule Division,"Akkalkuwa S.O, Ankushvihir B.O, Jamane B.O",+91 80 6935 1675,https://stores.exidecare.com/exide-care-exide-house-car-battery-bike-battery-inverter-battery-store-bafana-nanded-256969/Home,4.3,12.0,"Paradsise Complex, T Point, Bafana, opposite Income Tax Office, Samrat Nagar, Hyder Bagh, Dashmesh Nagar, Harsh Nagar, Nanded, Maharashtra 431604","Samrat Nagar, Hyder Bagh, Dashmesh Nagar, Harsh Nagar",19.157983899999998,77.322136,ChIJezTGJRzl1jsRRQ0QtgUZTCs,https://www.google.com/maps/place/?q=place_id:ChIJezTGJRzl1jsRRQ0QtgUZTCs,part_140,2026-09-22 06:15:01
Om Sai Battery Dabhadi,Car and Bike Battery Dealer,Chauffeur service,Chauffeur service,425415,Maharashtra Circle,Aurangabad Region,Dhule Division,"Akkalkuwa S.O, Ankushvihir B.O, Jamane B.O",+91 79723 72573,N/A,5.0,3.0,"Shop No 3, Main, Chouk, Dabhadi, Maharashtra 431215",425415,20.042742699999998,75.72985709999999,ChIJD-Y_oCBL2jsRjaHcipRvOP0,https://www.google.com/maps/place/?q=place_id:ChIJD-Y_oCBL2jsRjaHcipRvOP0,part_140,2026-09-22 06:15:01
Exide Care - Krishana Batteries,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler, Battery Store",425415,Maharashtra Circle,Aurangabad Region,Dhule Division,"Akkalkuwa S.O, Ankushvihir B.O, Jamane B.O",+91 80 6984 4601,https://stores.exidecare.com/exide-care-krishana-batteries-battery-store-battery-store-purna-parbhani-327895/Home,4.0,13.0,"Jaiswal complex, Bus Stand, main Road, Mahavir Nagar, Purna, Maharashtra 431511",Mahavir Nagar,19.184303699999997,77.0348836,ChIJ-QwiE8co0DsRPIKFWot7I3Y,https://www.google.com/maps/place/?q=place_id:ChIJ-QwiE8co0DsRPIKFWot7I3Y,part_140,2026-09-22 06:15:01
Dinesh Battery Sales & Service,Car and Bike Battery Dealer,Car battery store,Car battery store,425415,Maharashtra Circle,Aurangabad Region,Dhule Division,"Akkalkuwa S.O, Ankushvihir B.O, Jamane B.O",+91 91674 95222,N/A,4.4,132.0,"Limited Mufti, Azam Chowk, Shop No: BSH-6, Saraf Kaskar Industrial Premises Co-Op Society, Swami Vivekanand Rd, Jogeshwari West, Mumbai, Maharashtra 400102","Oshiwara, Jogeshwari West",19.1493325,72.8433836,ChIJRZ6zsDG25zsRV_Pdgq-rb1w,https://www.google.com/maps/place/?q=place_id:ChIJRZ6zsDG25zsRV_Pdgq-rb1w,part_140,2026-09-22 06:15:01
Exide care (shamim battery),Car and Bike Battery Dealer,Battery Store,Battery Store,425415,Maharashtra Circle,Aurangabad Region,Dhule Division,"Akkalkuwa S.O, Ankushvihir B.O, Jamane B.O",+91 95617 52403,N/A,5.0,,"NH 65, near bharat petroleum, Naldurg, Maharashtra 413602",425415,17.817294699999998,76.26895329999999,ChIJpet8CsHxxTsR3ZeOaTlzEYU,https://www.google.com/maps/place/?q=place_id:ChIJpet8CsHxxTsR3ZeOaTlzEYU,part_140,2026-09-22 06:15:02
