business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
TOSHNIWAL GRANITES PVT LTD,Granite Dealer,Granite supplier,Granite supplier,425424,Maharashtra Circle,Aurangabad Region,Dhule Division,"Purushottam Nagar S.O, Dongargaon B.O, Gogapur B.O",+91 92810 22687,http://toshniwalgranites.com/,4.1,,"7R9F+HG6 Vi),Choutappal(Mandal, dist, Malkapur, Telangana 508252",425424,17.2689169,78.8237608,ChIJYRJTV-QNyzsRN4aRMaPcj-8,https://www.google.com/maps/place/?q=place_id:ChIJYRJTV-QNyzsRN4aRMaPcj-8,part_140,2026-09-22 06:20:13
Karthik Marble And Granites,Granite Dealer,Granite supplier,Granite supplier,425424,Maharashtra Circle,Aurangabad Region,Dhule Division,"Purushottam Nagar S.O, Dongargaon B.O, Gogapur B.O",+91 98454 05551,N/A,4.4,,"Karthik Marble And Granites, K Channasandra, Bengaluru, Karnataka 560113",K Channasandra,13.0427887,77.67995549999999,ChIJIaXyrCcRrjsRje9Lzh8rM6Y,https://www.google.com/maps/place/?q=place_id:ChIJIaXyrCcRrjsRje9Lzh8rM6Y,part_140,2026-09-22 06:20:13
OM MARBLES AND GRANITES,Granite Dealer,Granite supplier,"Granite supplier, Marble supplier",425424,Maharashtra Circle,Aurangabad Region,Dhule Division,"Purushottam Nagar S.O, Dongargaon B.O, Gogapur B.O",+91 96112 66313,N/A,4.5,,"24/2, Rampura village, bidarahalli, hobli, Ramapura, Karnataka 560077",Pete Krishnappa layout,13.0521716,77.6809037,ChIJ-zLBatYQrjsRqdHxGfnjADc,https://www.google.com/maps/place/?q=place_id:ChIJ-zLBatYQrjsRqdHxGfnjADc,part_140,2026-09-22 06:20:13
Devi Sri Marble & Granites,Granite Dealer,Marble supplier,Marble supplier,425424,Maharashtra Circle,Aurangabad Region,Dhule Division,"Purushottam Nagar S.O, Dongargaon B.O, Gogapur B.O",N/A,N/A,4.0,,"37J5+97P opp: milk chilling centre, Hyderabad Rd, Balaji Colony, Nalgonda, Telangana 508001",Balaji Colony,17.0809672,79.2582153,ChIJLc-NaHUpyzsRTV5WiSpxlQg,https://www.google.com/maps/place/?q=place_id:ChIJLc-NaHUpyzsRTV5WiSpxlQg,part_140,2026-09-22 06:20:13
Shri Ram granites,Granite Dealer,Granite supplier,Granite supplier,425424,Maharashtra Circle,Aurangabad Region,Dhule Division,"Purushottam Nagar S.O, Dongargaon B.O, Gogapur B.O",N/A,N/A,5.0,,"Rampura, Ramapura, Karnataka 560049",Rampura,13.0519678,77.6863335,ChIJG9sp7O4RrjsRkWZO9EEEpRY,https://www.google.com/maps/place/?q=place_id:ChIJG9sp7O4RrjsRkWZO9EEEpRY,part_140,2026-09-22 06:20:13
Rishikesh Marble & Granite Private Limited (Stock Yard),Granite Dealer,Granite supplier,"Granite supplier, Marble contractor, Warehouse",425424,Maharashtra Circle,Aurangabad Region,Dhule Division,"Purushottam Nagar S.O, Dongargaon B.O, Gogapur B.O",+91 93931 02505,N/A,4.3,12.0,"Door No. 9-5-58, Oppsoite Durga Temple, Shivaji Palem, Isukathota, Maddilapalem, Visakhapatnam, Andhra Pradesh 530017","Oppsoite Durga Temple, Shivaji Palem, Isukathota, Maddilapalem",17.739922699999997,83.32667599999999,ChIJuWx5PVJDOToR_wtvLmfEpR8,https://www.google.com/maps/place/?q=place_id:ChIJuWx5PVJDOToR_wtvLmfEpR8,part_140,2026-09-22 06:20:14
SMK Granites,Granite Dealer,Granite supplier,Granite supplier,425424,Maharashtra Circle,Aurangabad Region,Dhule Division,"Purushottam Nagar S.O, Dongargaon B.O, Gogapur B.O",+91 90366 39396,N/A,4.9,,"94 20, 4th Main Rd, Rajaji Nagar Industrial Town, Rajajinagar, Bengaluru, Karnataka 560044","Rajaji Nagar Industrial Town, Rajajinagar",12.9813979,77.5469863,ChIJE8R9PncWrjsRJCREDX8EjNo,https://www.google.com/maps/place/?q=place_id:ChIJE8R9PncWrjsRJCREDX8EjNo,part_140,2026-09-22 06:20:14
Mayur Marbles,Granite Dealer,Granite supplier,"Granite supplier, Marble supplier",425424,Maharashtra Circle,Aurangabad Region,Dhule Division,"Purushottam Nagar S.O, Dongargaon B.O, Gogapur B.O",+91 98843 32760,http://www.mayurmarbles.com/,4.8,556.0,"178, Poonamallee High Rd, Pallavan Nagar, Maduravoyal, Chennai, Tamil Nadu 600095","Pallavan Nagar, Maduravoyal",13.061295999999999,80.16505459999999,ChIJP93hv-FlUjoRCNZ2UUKwJe0,https://www.google.com/maps/place/?q=place_id:ChIJP93hv-FlUjoRCNZ2UUKwJe0,part_140,2026-09-22 06:20:15
Poddar Granites,Granite Dealer,Granite supplier,"Granite supplier, Marble supplier, Natural Stone Exporter, Stone supplier, Tile store",425424,Maharashtra Circle,Aurangabad Region,Dhule Division,"Purushottam Nagar S.O, Dongargaon B.O, Gogapur B.O",+91 96188 07437,https://poddargranites.in/,3.7,73.0,"SY No: 137, Plot No: 19, Nagole Rd, Samathapuri, L. B. Nagar, Hyderabad, Telangana 500102","Samathapuri, L. B. Nagar",17.3793182,78.5576651,ChIJ73pIrNGYyzsRUWQ7dFDivUs,https://www.google.com/maps/place/?q=place_id:ChIJ73pIrNGYyzsRUWQ7dFDivUs,part_140,2026-09-22 06:20:15
Shri Kota Stones,Granite Dealer,Granite supplier,"Granite supplier, Flooring store, Marble supplier, Natural stone supplier, Natural Stone Wholesaler, Stone supplier",425424,Maharashtra Circle,Aurangabad Region,Dhule Division,"Purushottam Nagar S.O, Dongargaon B.O, Gogapur B.O",+91 95000 21234,http://khushistone.com/,4.9,35.0,"No. 6/2A1, Survey, Poonamallee High Rd, Nerkundram, Chennai, Tamil Nadu 600107",Nerkundram,13.071514299999999,80.18527089999999,ChIJ8UagIlNhUjoRlwwpBTvuMeU,https://www.google.com/maps/place/?q=place_id:ChIJ8UagIlNhUjoRlwwpBTvuMeU,part_140,2026-09-22 06:20:15
A2Z STONE GALLERIA,Granite Dealer,Stone supplier,"Stone supplier, Natural stone supplier, Natural Stone Wholesaler, Tile store",425424,Maharashtra Circle,Aurangabad Region,Dhule Division,"Purushottam Nagar S.O, Dongargaon B.O, Gogapur B.O",+91 88848 55588,http://www.a2zstone.com/,5.0,752.0,"Oppsite to A2Z Tile Store, 47, Hosur Rd, Nanjappa Layout, Adugodi, Bengaluru, Karnataka 560030","Nanjappa Layout, Adugodi",12.9422056,77.6080324,ChIJ10ez4usVrjsRa8YnKQkwxc8,https://www.google.com/maps/place/?q=place_id:ChIJ10ez4usVrjsRa8YnKQkwxc8,part_140,2026-09-22 06:20:15
