business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gram panchayt Boradi,Offices,Government office,Government office,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",N/A,N/A,5.0,,"GVCV+GHJ, Boradi, Maharashtra 425428",425428,21.5213397,74.8938904,ChIJFS3vres13zsRBDfM-07gzBg,https://www.google.com/maps/place/?q=place_id:ChIJFS3vres13zsRBDfM-07gzBg,part_140,2026-09-22 06:22:16
आदिवासी समाज अमरधाम बोराडी,Offices,Immigration & naturalization service,Immigration & naturalization service,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",N/A,N/A,5.0,1.0,"GWC3+R6, Boradi, Maharashtra 425428",425428,21.5220754,74.9031041,ChIJ_2BGCBo13zsRqDLeBWFsaVo,https://www.google.com/maps/place/?q=place_id:ChIJ_2BGCBo13zsRqDLeBWFsaVo,part_140,2026-09-22 06:22:16
Village Panchayat Office Gadhaddeo,Offices,Government office,Government office,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",N/A,N/A,4.8,,"Shahada Sangvi Khamkheda, SH-1, Lasur Amalner Road, Gadhaddeo, Dhule, Gadhaddeo, Maharashtra 425428",Gadhaddeo,21.6049907,74.806206,ChIJ_9UKT8BI3zsRaIQ_LKAzu60,https://www.google.com/maps/place/?q=place_id:ChIJ_9UKT8BI3zsRaIQ_LKAzu60,part_140,2026-09-22 06:22:16
ग्राम पंचायत ऑफिस बुडकी,Offices,Government office,Government office,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",N/A,N/A,5.0,,"SH 1 Boradi, Budki, Maharashtra 425428",425428,21.527416,74.8705011,ChIJayKPvaw33zsRqmDthY-1qRc,https://www.google.com/maps/place/?q=place_id:ChIJayKPvaw33zsRqmDthY-1qRc,part_140,2026-09-22 06:22:16
Range Forest office,Offices,Government office,Government office,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",N/A,N/A,,,"GWG3+2F2, Boradi, Maharashtra 425428",425428,21.5250018,74.90363649999999,ChIJSeTAWwA13zsRaS3CAGblQQc,https://www.google.com/maps/place/?q=place_id:ChIJSeTAWwA13zsRaS3CAGblQQc,part_140,2026-09-22 06:22:16
श्री सतीदेवी ग्रामिण सहकारी पतसंस्था बोराडी,Offices,Corporate office,Corporate office,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",N/A,N/A,4.0,,"GV9V+VJX, Boradi, Maharashtra 425428",425428,21.5197449,74.89409839999999,ChIJOakNG9813zsRwqSvsduk1xA,https://www.google.com/maps/place/?q=place_id:ChIJOakNG9813zsRwqSvsduk1xA,part_140,2026-09-22 06:22:16
Sukalal Bhau Tamasha Mandal Boradikar,Offices,Corporate office,Corporate office,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 94202 56564,N/A,,,"GVFR+GM6, Boradi, Maharashtra 425428",425428,21.5237777,74.89164579999999,ChIJVVVVVek13zsRjw3XN4dGcsU,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVek13zsRjw3XN4dGcsU,part_140,2026-09-22 06:22:16
MSEB Boradi,Offices,Government office,Government office,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",N/A,N/A,,,"GV7V+539, Boradi, Maharashtra 425428",425428,21.512918799999998,74.892748,ChIJ9_Us3yA13zsRcnFKfVgNfOI,https://www.google.com/maps/place/?q=place_id:ChIJ9_Us3yA13zsRcnFKfVgNfOI,part_140,2026-09-22 06:22:16
Dhule Maharashtra,Offices,Housing complex,Housing complex,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",N/A,N/A,4.5,,"GXQ5+253, Umarda, Nimbari, Maharashtra 425428",425428,21.5375019,74.9579158,ChIJB0_DLgA13zsR4SGf_MnQXHI,https://www.google.com/maps/place/?q=place_id:ChIJB0_DLgA13zsR4SGf_MnQXHI,part_140,2026-09-22 06:22:16
Forest Reng office,Offices,Government office,Government office,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",N/A,N/A,3.0,,"FXGX+4HX, MH SH 1, Hadakhed, Sangvi, Maharashtra 425405",425428,21.4753607,74.99897179999999,ChIJp8sr_IXL2DsR5CiUXlwp36E,https://www.google.com/maps/place/?q=place_id:ChIJp8sr_IXL2DsR5CiUXlwp36E,part_140,2026-09-22 06:22:16
