business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dermaglow Skin Clinic Goa - Dr. Sejal Gauns,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 95032 65926,https://drsejaldermaglowskinclinicgoa.my.canva.site/dr-sejal-gauns,4.8,,"Gauns Childcare hospital, near xaviers college, Dangui Colony, Mapusa, Goa 403507",Dangui Colony,15.6001461,73.8113588,ChIJW9oFec3rvzsRkq-zE70Q9g4,https://www.google.com/maps/place/?q=place_id:ChIJW9oFec3rvzsRkq-zE70Q9g4,part_140,2026-09-22 06:21:51
Dr. AMRUTA DINKAR's SKIN (DERMATOLOGY) CLINIC,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 70280 16336,N/A,4.9,,"Office No 32, Third Floor, Titanium Building, Duler Ground Rd, above Max Showroom, Karaswada, Mapusa, Goa 403526",Karaswada,15.6042138,73.8202487,ChIJX_0-yRjrvzsRXDGwgwqZST0,https://www.google.com/maps/place/?q=place_id:ChIJX_0-yRjrvzsRXDGwgwqZST0,part_140,2026-09-22 06:21:51
Dr Karla's Skin Oasis Clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 80073 36544,N/A,4.9,,"first floor, Uma Shanker building, opposite vasant arcade, Comba, Margao, Goa 403602",Comba,15.2749145,73.955676,ChIJ46CN7MezvzsRYB0rBQk8fNg,https://www.google.com/maps/place/?q=place_id:ChIJ46CN7MezvzsRYB0rBQk8fNg,part_140,2026-09-22 06:21:51
The Skin Clinic ( Dr. Ankita S. Prabhudesai),Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 90219 20781,N/A,4.7,,"Shop No. 7, First Floor Buildmore Business Park, Khorlim Xim, Mapusa, Goa 403507",425428,15.5908641,73.8066663,ChIJc4NHXjLrvzsR_i5ixRWW6Zg,https://www.google.com/maps/place/?q=place_id:ChIJc4NHXjLrvzsR_i5ixRWW6Zg,part_140,2026-09-22 06:21:51
SKINCARE CLINIC by Dr Amritha Pai Shenoy,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 98232 31656,N/A,4.4,,"A-8 Menino Trade Centre,Next to Bank of India, Ponda, Goa 403401",Durgabhat,15.401641,74.006282,ChIJaSMOf5W6vzsR5EgbYJvqlyI,https://www.google.com/maps/place/?q=place_id:ChIJaSMOf5W6vzsR5EgbYJvqlyI,part_140,2026-09-22 06:21:51
Resilience Clinic,Skin Clinic and Dermatologist,Dermatologist,"Dermatologist, Blood testing service, Doctor, General practitioner",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 96370 12953,https://resilienceclinic.co.in/,4.9,,"Shop 8, Block 3, Milroc Colina, Pilar, Dongrim, Goa 403204",Milroc Colina,15.4398466,73.9014334,ChIJtcx7kgm5vzsRxkanJl9KR-w,https://www.google.com/maps/place/?q=place_id:ChIJtcx7kgm5vzsRxkanJl9KR-w,part_140,2026-09-22 06:21:51
"Dr. Ana Teles - Derma Skin, Hair and Aesthetics Clinic",Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 80874 42275,https://dranateles.com/,4.6,,"ground floor, Narvenkar residency, next to Oorja wellness center, Murmuti, Comba, Margao, Goa 403601","Murmuti, Comba",15.2807938,73.95616609999999,ChIJOQAAANOzvzsRUlvwWw6KOVI,https://www.google.com/maps/place/?q=place_id:ChIJOQAAANOzvzsRUlvwWw6KOVI,part_140,2026-09-22 06:21:51
Kakode's Skin Clinic,Skin Clinic and Dermatologist,Doctor,Doctor,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 75074 47111,N/A,4.1,,"First, Anant Dhara Building, next to Raymond showroom, Pajifond, Margao, Goa 403601",Pajifond,15.2726653,73.9613117,ChIJp6hDwemzvzsRPT36ikP46h4,https://www.google.com/maps/place/?q=place_id:ChIJp6hDwemzvzsRPT36ikP46h4,part_140,2026-09-22 06:21:51
Dr Agnita Kamat Skin & Hair Clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 93599 57892,N/A,4.4,,"Office No 26, 1st Floor Vasant Arcade Building, opposite Popular High School, Comba, Margao, Goa 403601",Comba,15.274906,73.9553612,ChIJ785DtKyzvzsRxut8LpriNfs,https://www.google.com/maps/place/?q=place_id:ChIJ785DtKyzvzsRxut8LpriNfs,part_140,2026-09-22 06:21:51
Dr. Ana Sharlen Teles skin specialist,Skin Clinic and Dermatologist,Doctor,Doctor,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 80874 42275,http://dranateles.com/,4.7,,"ground floor, Narvenkar Residency, next to Oorja Wellness centre, Murmuti, Comba, Margao, Goa 403601","Murmuti, Comba",15.2807798,73.9562124,ChIJZbzYzNqzvzsRJ4b3-6HZ0-I,https://www.google.com/maps/place/?q=place_id:ChIJZbzYzNqzvzsRJ4b3-6HZ0-I,part_140,2026-09-22 06:21:51
Diya Skin Care Clinic,Skin Clinic and Dermatologist,Medical clinic,Medical clinic,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 93091 23939,N/A,3.9,,"First Floor, A-138, opp. Almeida High School, Khadpabandh, Ponda, Goa 403401",Khadpabandh,15.4010582,74.0035851,ChIJ2xJNq5W6vzsRxBvfPYwcjTE,https://www.google.com/maps/place/?q=place_id:ChIJ2xJNq5W6vzsRxBvfPYwcjTE,part_140,2026-09-22 06:21:51
WESS - Wanda's Esthetic & Skin Solutions,Skin Clinic and Dermatologist,Skin care clinic,Skin care clinic,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 76668 69263,http://www.wessgoa.com/,4.6,,"Joenette Apartments, Ground Floor, Off, Dayanand Bandodkar Marg, opp. पब्लिक पार्क, Miramar, Panaji, Goa 403001",Miramar,15.4860948,73.81107949999999,ChIJAVNjNunAvzsRiWG4eyLGQxA,https://www.google.com/maps/place/?q=place_id:ChIJAVNjNunAvzsRiWG4eyLGQxA,part_140,2026-09-22 06:21:51
DR RESHU' SKIN SOLUTIONS,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Medical clinic, Dermatologist, Specialized clinic",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 83907 08479,http://www.drreshuskinsolutions.in/,4.4,,"A building shop number 14 CD signature Gogol, Margao-Chandor-Curchorem Rd, Salcete, Cupangale Society, Margao, Goa 403601","Salcete, Cupangale Society",15.2865282,73.980496,ChIJ5car5NazvzsRsYBG18_YwJE,https://www.google.com/maps/place/?q=place_id:ChIJ5car5NazvzsRsYBG18_YwJE,part_140,2026-09-22 06:21:51
Dr. Rakhi Ghodge,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",N/A,N/A,3.3,,"7XCR+7CM, Gogol Housing Board, Davorlim, Goa 403707",Gogol Housing Board,15.270716199999999,73.991045,ChIJf2gO7zayvzsRhcDmrr35aGg,https://www.google.com/maps/place/?q=place_id:ChIJf2gO7zayvzsRhcDmrr35aGg,part_140,2026-09-22 06:21:51
Anshu's Skin & Hair Clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Medical spa, Dermatologist",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 91822 88455,https://anshusclinic.com/,4.9,,"H.NO.2-55, Anshu's Skin Hair and Laser Clinic, KGB/98, 3rd floor, above HDFC BANK branch2, opposite RAMKY ONE GALAXIA, Nallagandla, Telangana 500019",Gopanpalle,17.461309099999998,78.3082325,ChIJ2UcHacWTyzsREfXWLHT2bIQ,https://www.google.com/maps/place/?q=place_id:ChIJ2UcHacWTyzsREfXWLHT2bIQ,part_140,2026-09-22 06:21:52
Dr.Sailaja Skin Care Clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 81869 94444,N/A,4.1,,"1st Floor, Eluru Rd, beside Vins Complex, Vijayatakies Centre, Governor Peta, Vijayawada, Andhra Pradesh 520002","Vijayatakies Centre, Governor Peta",16.5141328,80.632791,ChIJ4f37Z1XlNToRZJC4CSrn06c,https://www.google.com/maps/place/?q=place_id:ChIJ4f37Z1XlNToRZJC4CSrn06c,part_140,2026-09-22 06:21:52
DR. SRINIVAS SKIN CLINIC AND HAIR CLINIC,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Hair transplantation clinic, Hospital, Laser hair removal service, Dermatologist",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 93913 59996,N/A,5.0,,"Dornakal Rd, beside Vijayasri Blood Bank, Suryaraopeta, Governor Peta, Vijayawada, Andhra Pradesh 520002","Suryaraopeta, Governor Peta",16.513070499999998,80.6357276,ChIJy1s49XrlNToRyiq-HKXGT-0,https://www.google.com/maps/place/?q=place_id:ChIJy1s49XrlNToRyiq-HKXGT-0,part_140,2026-09-22 06:21:52
