business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Godavari Mithai,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 85474 22222,N/A,4.7,,"424, MIG: 786, 425, Kukatpally Housing Board Colony, KPHB Phase 2, Kukatpally, Hyderabad, Telangana 500072","Kukatpally Housing Board Colony, KPHB Phase 2, Kukatpally",17.488949299999998,78.3963685,ChIJqTBcTviRyzsR-4OJLhxWD7o,https://www.google.com/maps/place/?q=place_id:ChIJqTBcTviRyzsR-4OJLhxWD7o,part_140,2026-09-22 06:21:44
Mahendra Mithaiwala,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 95530 99111,N/A,4.4,,"Rd Number 4,Beside jockey Store, Huda, Alkapur TownShipp, Mahalneknapur, Puppalguda, Hyderabad, Telangana 500089","Huda, Mahalneknapur, Puppalguda",17.3951213,78.37338179999999,ChIJoRk489KVyzsR3o1ymaDmeas,https://www.google.com/maps/place/?q=place_id:ChIJoRk489KVyzsR3o1ymaDmeas,part_140,2026-09-22 06:21:44
Sri Ratanlal Mithai Bhandar,Sweet Stall / Mithai Shop,Sweet shop,"Sweet shop, Bakery and Cake Shop, Dessert shop, Fast food restaurant, Indian sweets shop, Snack bar",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 98496 83830,N/A,4.2,,"3-3-5, Dandoo Pentaiah Building, #, Rashtrapati Rd, Maruthi Veedhi, Secunderabad, Telangana 500003","Nala Bazar, Maruthi Veedhi, Kalasiguda",17.436565299999998,78.4937855,ChIJ2zqPCxmayzsRJqDDDA1ZCKA,https://www.google.com/maps/place/?q=place_id:ChIJ2zqPCxmayzsRJqDDDA1ZCKA,part_140,2026-09-22 06:21:44
Agrawal Sweets,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 94250 82574,http://www.agrawalsweets.com/,4.2,,"G-4, 86/47, Sapna Sangeeta Rd, Indra Complex, Snehnagar, Indore, Madhya Pradesh 452001","Indra Complex, Snehnagar",22.7010361,75.86972449999999,ChIJh2gdCuL8YjkRbo3BVFnLCNU,https://www.google.com/maps/place/?q=place_id:ChIJh2gdCuL8YjkRbo3BVFnLCNU,part_140,2026-09-22 06:21:44
Kesariyas Sweets,Sweet Stall / Mithai Shop,Indian sweets shop,"Indian sweets shop, Bakery and Cake Shop, Sweet shop, Sweets and dessert buffet, Dessert shop, Supermarket",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 88854 76144,N/A,4.0,,"Ravi Enclave, opp. to APARNA TOWERS, Kondapur, Hanuman Nagar, Kothaguda, Hyderabad, Telangana 500084","Kondapur, Hanuman Nagar",17.4643226,78.36856809999999,ChIJF3GoXcyTyzsRDfKVcpkmnWY,https://www.google.com/maps/place/?q=place_id:ChIJF3GoXcyTyzsRDfKVcpkmnWY,part_140,2026-09-22 06:21:44
Sri Rami Reddy Pure Ghee Sweets,Sweet Stall / Mithai Shop,Sweet shop,"Sweet shop, Food producer",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 40 2782 0685,N/A,3.8,,"St Johns Rd, Opp. Secunderabad Reservation Counter, Railway Officer Colony, Railway Colony, Bhoiguda, Hyderabad, Secunderabad, Telangana 500003","Railway Officer Colony, Railway Colony, Bhoiguda",17.4350062,78.5059016,ChIJ2QDp1CGayzsRu2R2O-xuKYQ,https://www.google.com/maps/place/?q=place_id:ChIJ2QDp1CGayzsRu2R2O-xuKYQ,part_140,2026-09-22 06:21:44
Dadu's Himayathnagar,Sweet Stall / Mithai Shop,Indian sweets shop,"Indian sweets shop, Bakery and Cake Shop, Sweet shop, Sweets and dessert buffet",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 96528 12277,https://dadus.co.in/,4.2,,"Liberty Rd, opp. TTD Temple, Chandra Nagar, Himayatnagar, Hyderabad, Telangana 500029","Chandra Nagar, Himayatnagar",17.4056989,78.4791329,ChIJrUC68-CZyzsRku3TT3XslQA,https://www.google.com/maps/place/?q=place_id:ChIJrUC68-CZyzsRku3TT3XslQA,part_140,2026-09-22 06:21:44
Mishri Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",N/A,N/A,4.3,,"PR8W+6WR, Indore - Dhar Rd, Malganj, Marothia Bazar, Bombay Bazar, Indore, Madhya Pradesh 452002","Malganj, Marothia Bazar, Bombay Bazar",22.7156022,75.8472567,ChIJIcsCI6f9YjkRqtFfnCxdPNE,https://www.google.com/maps/place/?q=place_id:ChIJIcsCI6f9YjkRqtFfnCxdPNE,part_140,2026-09-22 06:21:44
Ganesh Mithai Bhandar,Sweet Stall / Mithai Shop,Indian sweets shop,"Indian sweets shop, Sweets and dessert buffet",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 83674 82128,N/A,4.1,,"1-3-1047, Kavadiguda Road, Bansilalpet, Kavadiguda, Hyderabad, Secunderabad, Telangana 500080","Bansilalpet, Kavadiguda",17.424714899999998,78.4897609,ChIJXwed_PaZyzsRHb7xeJWOh-o,https://www.google.com/maps/place/?q=place_id:ChIJXwed_PaZyzsRHb7xeJWOh-o,part_140,2026-09-22 06:21:44
Almond House,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 91212 41842,https://www.almondhouse.com/,4.8,,"8-446 & 447, Sardar Patel Rd, Sindhi Colony, Begumpet, Hyderabad, Telangana 500003","Sindhi Colony, Begumpet",17.4432886,78.47810679999999,ChIJSWQToSObyzsRGLqh3WGio-o,https://www.google.com/maps/place/?q=place_id:ChIJSWQToSObyzsRGLqh3WGio-o,part_140,2026-09-22 06:21:44
Olive Mithai Shop,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 90007 73399,https://olivemithai.com/,4.5,,"C9WM+XFH Avasa, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081","HUDA Techno Enclave, HITEC City",17.4473903,78.3842069,ChIJi_TCxR-TyzsRriYNVhQ-yX4,https://www.google.com/maps/place/?q=place_id:ChIJi_TCxR-TyzsRriYNVhQ-yX4,part_140,2026-09-22 06:21:44
Apna Sweets,Sweet Stall / Mithai Shop,Indian sweets shop,"Indian sweets shop, Breakfast restaurant, Sweet shop, Fast food restaurant, Restaurant, South Indian restaurant, Vegetarian restaurant",425428,Maharashtra Circle,Aurangabad Region,Dhule Division,"Boradi S.O, Kodid B.O, Malkatar B.O",+91 62626 14169,http://www.apnasweets.com/,3.9,,"Sapna Sangeeta Rd, Patel Nagar, Indore, Madhya Pradesh 452001",Patel Nagar,22.6996358,75.8669589,ChIJH-3-kuL8YjkRnSzD3xmWNyY,https://www.google.com/maps/place/?q=place_id:ChIJH-3-kuL8YjkRnSzD3xmWNyY,part_140,2026-09-22 06:21:44
