business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SK Laptop,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Computer Hardware Company, Computer store, Computer service, Computer support and services, Computer Wholesaler, Data recovery service, Used computer store, Website designer",425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 94201 82797,https://sklaptop.in/,4.9,226.0,"Shop No. 06, Nabi Sahab Masjid Complex, in front of SBI ATM, near Rajni chowk, Washim, Maharashtra 444505",Shukrawar Peth,20.1045029,77.136989,ChIJdxsJ3rTj0DsRzZCLm3J7U8Y,https://www.google.com/maps/place/?q=place_id:ChIJdxsJ3rTj0DsRzZCLm3J7U8Y,part_140,2026-09-22 06:27:52
Shivanya Sales Pvt Ltd,Computer Sales and Laptop Repair,Computer store,"Computer store, Battery Store, Auto Accessories Store, Commercial printer, Computer accessories store, Computer club, Computer desk store, Computer Wholesaler, Dermatologist, Printing equipment supplier",425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 97622 47193,http://shivanyasalespvtld.in/,4.8,88.0,"Shop no 23&24, subhadra mall, Baramati Midc, Rui, Maharashtra 413133",Baramati Midc,18.178333,74.60663699999999,ChIJsVPGFsyfwzsRCpPWLguk7l4,https://www.google.com/maps/place/?q=place_id:ChIJsVPGFsyfwzsRCpPWLguk7l4,part_140,2026-09-22 06:27:52
VISION LAPTOP STORE,Computer Sales and Laptop Repair,Store,Store,425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",N/A,N/A,4.5,31.0,"Canal Rd, Suryanagari, Shivdatta Apartment, Amrai, Baramati, Maharashtra 413102","Suryanagari, Shivdatta Apartment, Amrai",18.1511535,74.5798681,ChIJyy0OFT2gwzsRCnFk66pclmw,https://www.google.com/maps/place/?q=place_id:ChIJyy0OFT2gwzsRCnFk66pclmw,part_140,2026-09-22 06:27:52
"Bharati Infotech – Computer, Laptop and CCTV Store, Baramati",Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer networking service, Computer store, Computer software store, Computer Wholesaler, Security system supplier",425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 86000 86022,N/A,4.7,98.0,"Kalyani Corner, Plot No R-148 Annapurna Niwas Kalyani Corner, near New RTO Office, Aadarsh Nagar, Bandalwadi, Maharashtra 413133",Aadarsh Nagar,18.183663199999998,74.5983361,ChIJYwoeK7t1wzsRojgBYp87OBA,https://www.google.com/maps/place/?q=place_id:ChIJYwoeK7t1wzsRojgBYp87OBA,part_140,2026-09-22 06:27:52
Laptop Store | Laptop Service Center,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Computer service, Computer store",425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 77670 00605,https://www.laptopstoreindia.in/laptop-store-locations/laptop-store-pimple-saudagar/,4.8,,"512, Fourtuna Building, Shivar Chowk Mc Donalds, opp. Rainbow Plaza, Pimple Saudagar, Pune, Maharashtra 411027",Pimple Saudagar,18.595913,73.78922779999999,ChIJ___SJxm5wjsRIMCj1FAUUXs,https://www.google.com/maps/place/?q=place_id:ChIJ___SJxm5wjsRIMCj1FAUUXs,part_140,2026-09-22 06:27:53
Vishi Enterprises,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Camera repair shop, Camera store, Computer accessories store, Computer store, Data recovery service, Printer ink refill store, Printer repair service, Used computer store, Video camera repair service",425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 95523 09703,N/A,4.9,,"Turkey Complex, Be Side of PNB, Pusad Naka, Washim, Maharashtra 444505",Pusad Naka,20.1073262,77.1413773,ChIJC2A2omTj0DsRBVf_D2dNpJM,https://www.google.com/maps/place/?q=place_id:ChIJC2A2omTj0DsRBVf_D2dNpJM,part_140,2026-09-22 06:27:53
Ascent IT Solutions,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Computer consultant, Computer security service, Computer service, Computer software store, Computer store, Computer Wholesaler, Repair service, Security service",425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 80 6924 5405,https://www.ascentit-solutions.in/,4.8,220.0,"Shop no 5, Premanjali Building, Pune - Satara Rd, opp. Ellora Palace, Nityanand Society, Balaji Nagar, Dhankawadi, Pune, Maharashtra 411043","Nityanand Society, Balaji Nagar, Dhankawadi",18.4656,73.85774599999999,ChIJpUlyfILBwjsRV63o_Agvucc,https://www.google.com/maps/place/?q=place_id:ChIJpUlyfILBwjsRV63o_Agvucc,part_140,2026-09-22 06:27:53
Shree computers Sales And Services,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Computer Hardware Company, Computer software store, Computer Wholesaler",425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 77559 04023,N/A,4.5,155.0,"shop no.11, Star Gaze, Dhanori-Lohegaon Rd, opp. Goodwill orchids, near goodwill square, Madhav Nagar, Dhanori, Pune, Maharashtra 411015","Madhav Nagar, Dhanori",18.5975799,73.905626,ChIJmQ1F1sbGwjsRQe_u_R6zKYE,https://www.google.com/maps/place/?q=place_id:ChIJmQ1F1sbGwjsRQe_u_R6zKYE,part_140,2026-09-22 06:27:54
Laptop Space,Computer Sales and Laptop Repair,Computer store,"Computer store, Appliance parts supplier, Cell phone store, Computer accessories store, Computer consultant, Computer repair service",425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 97650 00888,http://laptopspace.in/,4.8,180.0,"Upper Ground Floor, S S Tower, Building Name, Shaniwar Peth, near City Police Station, near Bothare Hospital, Karad, Maharashtra 415110",Shri Datta Housing Society,17.2779406,74.18019819999999,ChIJASv99ayDwTsRMqEjItX3UQ0,https://www.google.com/maps/place/?q=place_id:ChIJASv99ayDwTsRMqEjItX3UQ0,part_140,2026-09-22 06:27:54
VENUS COMPUTERS,Computer Sales and Laptop Repair,Computer store,Computer store,425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 75072 10999,N/A,4.1,65.0,"Kata Rd, Washim, Maharashtra 444505",425506,20.124576599999997,77.12948039999999,ChIJ_89VwcPj0DsRYvB5y0PDmOg,https://www.google.com/maps/place/?q=place_id:ChIJ_89VwcPj0DsRYvB5y0PDmOg,part_140,2026-09-22 06:27:54
GS Computers,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer repair service",425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 98520 77007,https://www.gscomputercare.com/,5.0,195.0,"Shop no. 1, Datta Mandir Rd, beside Sundar Heights, Mulshi, Wakad, Pimpri-Chinchwad, Maharashtra 411057","Mulshi, Wakad",18.5975114,73.7639396,ChIJxRNfVSe5wjsRgZKEFKH1oDo,https://www.google.com/maps/place/?q=place_id:ChIJxRNfVSe5wjsRgZKEFKH1oDo,part_140,2026-09-22 06:27:54
JIOTECH COMPUTERS,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer accessories store, Computer repair service, Computer service, Computer software store, Computer Wholesaler, Used computer store",425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 80804 04237,https://jiotechcomputers.in/,4.9,431.0,"1st Floor Shop no-7, Kojagiri Apt, or near lokhandi pool, Satara Rd, opp. to Bajaj Showroom, Dhankawadi, Pune, Maharashtra 411043","Shridharnagar, Vivek Nagar, Dhankawadi",18.4611882,73.858342,ChIJGT3NUFHrwjsRws9FC7ljGII,https://www.google.com/maps/place/?q=place_id:ChIJGT3NUFHrwjsRws9FC7ljGII,part_140,2026-09-22 06:27:54
Bit-N-Byte Computer Services,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer repair service, Computer Wholesaler",425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 75076 90022,N/A,5.0,57.0,"Maldad Rd, Shivajinagar, Sangamner, Maharashtra 422605",Shivajinagar,19.579573,74.207549,ChIJ7-0ZdS0A3TsRH-jD-iYQthE,https://www.google.com/maps/place/?q=place_id:ChIJ7-0ZdS0A3TsRH-jD-iYQthE,part_140,2026-09-22 06:27:54
Lenovo Exclusive Store - Hindustan System,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer consultant, Computer desk store, Computer Wholesaler",425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 80 4889 2246,https://store.lenovo.com/in/en/marketplace/seller/profile/shop/1690800669,4.9,819.0,"Shop No. 27 Ground, Subhadra Mall, Baramati Midc, Maharashtra Industrial Development Corporation Area, Baramati, Rui, Maharashtra 413102","Baramati Midc, Maharashtra Industrial Development Corporation Area",18.178351,74.6062309,ChIJFbkz0ZSfwzsR-XSTcqKvexo,https://www.google.com/maps/place/?q=place_id:ChIJFbkz0ZSfwzsR-XSTcqKvexo,part_140,2026-09-22 06:27:54
Bhagya Sales,Computer Sales and Laptop Repair,Computer store,Computer store,425506,Maharashtra Circle,Aurangabad Region,Bhusaval Division,"Nimbhora S.O, Dasnoor B.O",+91 98224 71597,N/A,4.0,51.0,"Deshmukh Complex, Post Office, Washim, Washim, Maharashtra 444505",Bodkha,20.114097599999997,77.13614849999999,ChIJO8qSIabj0DsRJWp0HTxVzUg,https://www.google.com/maps/place/?q=place_id:ChIJO8qSIabj0DsRJWp0HTxVzUg,part_140,2026-09-22 06:27:54
